,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0275,0.9999999999999999,-9.814014761494942,-18.854087901315854,9.040073139820912,0.0125,1.0,-17.329698283294018,-17.52408675181969,0.19438846852567337,0.02,1.0,-14.534731520529537,-32.50901790362522,17.974286383095684,0.005,0.9999999999999999,-35.535749933689985,-51.203575854672266,15.667825920982281,117.45383522727273
1.0,0.0275,1.0,-10.675445901203815,-53.74900227292102,43.0735563717172,0.02,1.0,-13.998419098431903,-16.459149328805484,2.4607302303735814,0.015,1.0,-17.03330656457951,-23.952614352276917,6.919307787697406,0.005,1.0,-45.26877134049982,-55.451170003168436,10.182398662668618,117.45383522727273
2.0,0.025,1.0,-12.961205131432813,-28.831172348687385,15.869967217254572,0.02,0.9999999999999999,-13.264922128081487,-25.808212126057573,12.543289997976085,0.015,1.0,-17.57319945998053,-33.492694554866915,15.919495094886386,0.005,0.9999999999999999,-45.88678665048975,-53.441735627495454,7.554948977005701,117.45383522727273
3.0,0.02,1.0,-14.999347233077803,-37.14861172411881,22.149264491041006,0.0175,1.0,-15.994708334317306,-26.858131584009193,10.863423249691888,0.015,1.0,-18.23131100811485,-29.359019133012122,11.127708124897271,0.005,0.9999999999999999,-46.38856901977364,-50.86498342793245,4.47641440815881,117.45383522727273
4.0,0.02,1.0,-14.589827383997767,-21.091478444732495,6.501651060734728,0.0125,1.0,-18.2403218073,-39.75233522168029,21.51201341438029,0.015,1.0,-19.359575420892,-37.35414729569197,17.994571874799973,0.005,1.0,-45.005980626383824,-86.42349915625765,41.417518529873824,117.45383522727273
5.0,0.0175,1.0,-16.24273947334482,-21.259500894231277,5.016761420886457,0.0125,1.0,-19.67957521724274,-23.593796699420327,3.914221482177588,0.0125,1.0,-18.025413256340922,-27.781442977123664,9.756029720782742,0.005,0.9999999999999999,-43.691131424445715,-84.97834002893207,41.28720860448635,117.45383522727273
6.0,0.0175,1.0,-16.31982908993954,-19.68658088527906,3.366751795339521,0.01,1.0,-21.395459918708962,-22.718925940410518,1.323466021701556,0.0125,1.0,-19.220862222007774,-24.363794566905636,5.142932344897861,0.005,1.0,-45.137412281491756,-55.90997952664905,10.772567245157298,117.45383522727273
7.0,0.015,1.0,-17.08255785857758,-33.878614586535406,16.796056727957826,0.01,1.0,-21.76842788482473,-32.30460215564253,10.536174270817796,0.015,1.0,-19.128395012910143,-29.54003763040135,10.411642617491207,0.005,1.0,-44.077157639223344,-72.5705760213884,28.49341838216506,117.45383522727273
8.0,0.02,1.0,-14.443779211358063,-26.71452462887522,12.270745417517158,0.0125,0.9999999999999998,-18.901805636227476,-20.37600195239785,1.4741963161703744,0.0175,0.9999999999999999,-16.04363066702699,-26.04288230361485,9.99925163658786,0.005,1.0,-44.13974842961957,-66.15940453824115,22.019656108621575,117.45383522727273
9.0,0.025,0.9999999999999999,-12.199734616754611,-20.903980383862468,8.704245767107857,0.02,0.9999999999999999,-13.217826103030891,-22.185686997729086,8.967860894698195,0.015,1.0,-17.7664232802678,-35.843844743288486,18.077421463020684,0.005,0.9999999999999999,-44.842542109821686,-50.929454246515235,6.086912136693549,117.45383522727273
10.0,0.0225,0.9999999999999998,-12.802009632522271,-33.54361712315323,20.74160749063096,0.015,1.0,-17.29624115774451,-31.851061157891102,14.554820000146591,0.015,1.0,-18.350265976421767,-43.27589101396234,24.92562503754057,0.005,1.0,-45.137213474318294,-84.32006654884582,39.18285307452752,117.45383522727273
11.0,0.0225,1.0,-13.041609654182029,-44.5407704557843,31.49916080160227,0.0125,1.0,-17.598828187036005,-33.974880520404284,16.37605233336828,0.015,1.0,-16.890005336416213,-39.93492501571406,23.044919679297845,0.005,1.0,-45.22603291172697,-55.175409372826266,9.949376461099298,117.45383522727273
12.0,0.0175,1.0,-16.2160030780379,-45.7578751079711,29.541872029933202,0.0125,1.0,-19.34046774630645,-21.03646753054742,1.6959997842409678,0.0125,1.0,-19.270033415185633,-42.74736612458733,23.477332709401697,0.005,1.0,-45.73388181553581,-68.25254522182698,22.518663406291168,117.45383522727273
13.0,0.015,1.0,-15.471450394668377,-16.630733993276767,1.1592835986083898,0.01,1.0,-21.078581983735283,-29.0137388678278,7.9351568840925175,0.01,1.0,-20.533548133023803,-41.063034251746096,20.529486118722293,0.005,1.0,-47.07182455249864,-52.68550417748273,5.613679624984087,117.45383522727273
14.0,0.0325,0.9999999999999999,-10.276070927674754,-25.432805754265306,15.156734826590553,0.0175,0.9999999999999998,-15.809397389449423,-16.730709483331083,0.9213120938816601,0.0225,0.9999999999999998,-13.494707464560936,-29.575635542528588,16.080928077967652,0.005,1.0,-46.383418477967226,-53.7186390453014,7.335220567334176,117.45383522727273
15.0,0.0275,1.0,-10.752542851340694,-21.637687145142444,10.88514429380175,0.0175,1.0,-15.944159467092632,-19.157000095657406,3.2128406285647735,0.02,1.0,-14.076790549305517,-26.103830701658588,12.02704015235307,0.005,1.0,-46.31218739310405,-95.37294568479865,49.060758291694604,117.45383522727273
16.0,0.025,1.0,-12.077976629871825,-18.49684507666893,6.418868446797104,0.0175,1.0,-16.35595357225309,-17.95617507137561,1.6002214991225223,0.015,1.0,-16.539609959412033,-25.219635691538386,8.680025732126353,0.005,1.0,-45.90343632872043,-49.80421630257659,3.90077997385616,117.45383522727273
17.0,0.02,0.9999999999999998,-13.500523527440869,-20.588318099561242,7.087794572120373,0.015,1.0,-17.98201241909209,-30.478383585035097,12.496371165943007,0.0175,1.0,-15.07984798445438,-33.923625308715394,18.843777324261012,0.005,1.0,-43.82391430689941,-49.081941912180994,5.258027605281583,117.45383522727273
