,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.005,0.4802599822180237,-27.818914202508715,-66.22659904607586,38.40768484356715,0.005,0.20814699335880635,-46.047368442488086,-48.5675352883152,2.520166845827113,0.005,0.4858672105045601,-27.466486282782693,-54.95703165343673,27.490545370654036,0.005,0.289966087943063,-50.77547414979599,-69.59036104637667,18.81488689658068,135.99917763157896
1.0,0.005,0.3753321751784085,-28.336124182853215,-36.70228843090309,8.366164248049873,0.005,0.2662485307769075,-47.687090239281474,-70.64984349934983,22.962753260068354,0.005,0.36800442494547675,-29.903486194546915,-39.052642938278304,9.149156743731389,0.005,-0.02511747207000832,-55.76642025630824,-87.17415837489659,31.407738118588355,135.99917763157896
2.0,0.01,0.8030904239880122,-20.67441475999404,-28.805361606820526,8.130946846826486,0.005,0.375719075403666,-49.62182068769153,-54.482132631007445,4.860311943315914,0.01,0.8069217216402111,-20.33433829012937,-31.083172823390957,10.748834533261586,0.005,-0.018616342187388377,-56.3792575740643,-71.94286965319665,15.563612079132355,135.99917763157896
3.0,0.01,0.6736545872326644,-23.856344465349892,-49.247429829525956,25.391085364176064,0.005,0.5020056306457246,-49.857382572613986,-53.641261881830395,3.7838793092164096,0.01,0.6754016393126544,-23.403875598283868,-36.692556731349384,13.288681133065516,0.005,-0.016544780881538993,-58.82224212061077,-64.94825010911566,6.126007988504895,135.99917763157896
4.0,0.005,0.35674941855348546,-26.03333271248827,-32.26894087217977,6.235608159691498,0.005,-0.07855714515826348,-49.812530303266804,-59.32006654735531,9.507536244088506,0.005,0.3646586771712188,-26.58346106753409,-32.40197721143838,5.81851614390429,0.005,-0.04587585753440728,-56.495366106223926,-67.17810120893462,10.682735102710694,135.99917763157896
5.0,0.01,0.5997066936964048,-24.266711160070336,-28.52503136309138,4.258320203021043,0.005,-0.15611113639184782,-47.7143826231518,-53.05205936430169,5.337676741149892,0.01,0.6042700095083645,-24.57484927149136,-28.900689756078446,4.325840484587086,0.005,0.02125133221799582,-55.410106688385206,-66.85086925941378,11.440762571028579,135.99917763157896
6.0,0.005,0.5953234948344541,-26.683563268005127,-42.668657847696984,15.985094579691857,0.005,-0.4697323745410623,-49.28535854079372,-55.28554224472014,6.000183703926417,0.005,0.6138995668928852,-26.932553494030333,-39.56322594758544,12.630672453555103,0.005,0.051674742278016446,-54.62658565629198,-78.18834831548912,23.561762659197143,135.99917763157896
7.0,0.005,0.24058826981966844,-29.072412553300374,-51.7206201849085,22.648207631608123,0.005,0.41232645964479464,-49.418233721218385,-72.22317623743267,22.804942516214282,0.005,0.24541981450424738,-28.823815552712713,-71.76776535421128,42.94394980149856,0.005,0.007545820094378524,-56.91173590624086,-78.03907994156688,21.127344035326026,135.99917763157896
8.0,0.0075,0.24603955314444242,-25.720481740780453,-38.44327735878521,12.722795618004756,0.005,-0.1965139523427239,-45.39592138985738,-54.30967334561095,8.913751955753575,0.0075,0.26093755114504846,-25.567448973455758,-54.810861424267316,29.243412450811558,0.005,0.004152832514996437,-54.8886971158904,-82.81594616790032,27.92724905200992,135.99917763157896
9.0,0.005,0.09433244008787148,-27.996788465708363,-33.28383172481285,5.287043259104486,0.005,0.048244211892542035,-50.66750830300377,-50.681611419003275,0.014103115999503757,0.005,0.1069775886419018,-28.15475815034052,-46.819659512409764,18.664901362069244,0.005,0.038737380723198836,-55.837156565037496,-69.3534207172782,13.516264152240701,135.99917763157896
