,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0325,0.9292345216486037,-10.31629570533385,-15.37162183324153,5.05532612790768,0.025,0.9550988227836086,-12.301921128067102,-32.937846240523726,20.635925112456626,0.015,0.7649592446969793,-16.67488396945008,-30.470678510030407,13.795794540580328,0.005,0.17803585930854993,-33.79904406354197,-58.337192556286595,24.538148492744625,135.99917763157896
1.0,0.0275,0.9090776750890206,-10.749606459260798,-20.457834596127906,9.708228136867108,0.025,0.9273446339813438,-10.992085048028247,-17.096997220533233,6.104912172504985,0.01,0.48566393753102,-21.598475499535287,-73.00296132808467,51.40448582854938,0.005,-0.5249338496987449,-42.75787570766341,-62.05544698409763,19.29757127643422,135.99917763157896
2.0,0.045,0.9531202492593858,-7.498693603462382,-8.948027413104878,1.4493338096424964,0.035,0.9652480451044229,-7.867424351250934,-30.218662948650245,22.35123859739931,0.015,0.7830335414320752,-16.565425687474622,-37.84087401477728,21.275448327302655,0.01,0.8121973629651118,-24.94032861719189,-60.14045072264385,35.20012210545195,135.99917763157896
3.0,0.0425,0.9409475186174066,-7.664217148812575,-16.571096456580644,8.906879307768069,0.0425,0.9749890401809336,-6.795544890095705,-16.01569663783288,9.220151747737173,0.0175,0.7590209129594171,-14.66164207590954,-29.235980950734977,14.574338874825436,0.005,0.7468548482131503,-26.90113376644006,-53.443765296016394,26.542631529576333,135.99917763157896
4.0,0.0375,0.9448632564968007,-9.081770207888653,-24.066137788606618,14.984367580717965,0.0275,0.9632326280277013,-10.060135280383971,-33.55922281245374,23.49908753206977,0.01,0.5484562193197626,-20.036838795588466,-25.95214104347795,5.915302247889485,0.005,0.4673266661613827,-32.78337458027269,-49.18521253251385,16.40183795224116,135.99917763157896
5.0,0.0325,0.9212738929179932,-9.546401830480635,-15.651397065957216,6.104995235476581,0.03,0.9603233378048208,-10.72954874349814,-19.51518400580271,8.785635262304568,0.015,0.6488037942343381,-18.48403540099509,-24.264233518896997,5.780198117901907,0.005,-0.2641086216447475,-36.88852948850179,-55.81371731049414,18.925187821992353,135.99917763157896
6.0,0.0275,0.8968177430405279,-11.798857089186631,-14.751097813533915,2.952240724347284,0.0225,0.9572444087834292,-13.689375821100445,-20.80911277474913,7.119736953648687,0.0125,0.3401247917414392,-19.344085602784713,-32.755443785018535,13.411358182233823,0.005,-0.5995135683997872,-40.767934576051694,-49.76775451322126,8.999819937169569,135.99917763157896
7.0,0.0325,0.9280685556013872,-9.646919880945116,-17.075995302256576,7.42907542131146,0.035,0.9382947031429327,-10.053300128205752,-19.93979529621798,9.886495168012228,0.0125,0.4611065317882471,-18.03139277486792,-37.170864162086204,19.139471387218283,0.005,-0.6260350378369998,-42.59195158911871,-56.31455500112651,13.7226034120078,135.99917763157896
8.0,0.0325,0.914703547278502,-10.175740111822545,-49.4319719623403,39.25623185051775,0.0275,0.982561591348045,-11.88390867638076,-18.85652195273072,6.972613276349961,0.01,0.5418013403516573,-20.98822989279401,-29.86904320824442,8.88081331545041,0.005,-0.5863177943114293,-42.664227982197254,-53.41595195250585,10.751723970308596,135.99917763157896
9.0,0.0175,0.6276519524813277,-15.43410648330914,-22.589937429288423,7.155830945979282,0.0175,0.8584599130449126,-14.558674406442535,-29.751100110534555,15.19242570409202,0.01,0.25904415807725445,-20.97385390306844,-35.24623208477837,14.272378181709929,0.005,-0.6072564879207345,-44.320159916441796,-55.692632177827235,11.37247226138544,135.99917763157896
