,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.03,0.2613405403852753,-11.374286298794555,-19.260382325092348,7.886096026297793,0.005,0.8993107849547624,-44.65658315249185,-61.346877308750436,16.690294156258588,0.03,0.2543098139770722,-11.319797989881263,-34.25633357972114,22.936535589839874,0.01,0.33112907482791054,-21.818363205867982,-40.92395756187682,19.105594356008837,143.5546875
1.0,0.0275,-0.044942076026733946,-11.920696538888617,-27.405364305531087,15.48466776664247,0.005,0.19143914540231577,-56.7600595138427,-65.05690447788554,8.29684496404284,0.025,-0.04618244948484068,-12.099526091060884,-20.87238690340195,8.772860812341065,0.0075,0.15093260054181976,-25.967507195503053,-48.744833979462506,22.777326783959452,143.5546875
2.0,0.025,0.2613275274133054,-12.55698726688232,-13.500429825263161,0.9434425583808412,0.005,0.43823702912194945,-57.94580570829956,-82.35981515065288,24.41400944235332,0.025,0.2650855056958622,-13.02945222496032,-36.6446550274943,23.615202802533982,0.0075,0.3383301384646145,-24.88445624350792,-28.214546844127643,3.330090600619723,143.5546875
3.0,0.03,0.18344100266585947,-11.353147895773894,-29.22309325334879,17.869945357574895,0.005,0.5716093644037228,-57.54578792142389,-69.18562535079027,11.639837429366388,0.0275,0.18159482014368414,-11.851683304060064,-20.27926509305295,8.427581788992885,0.0075,0.3423951662163404,-24.872358492503047,-41.36252695326159,16.490168460758547,143.5546875
4.0,0.02,-0.22329058696678852,-14.20315002049314,-30.2544999261712,16.05134990567806,0.005,0.5166625511163024,-59.294773702503,-68.98615890730495,9.691385204801954,0.02,-0.26907829453086085,-14.766869440583159,-32.90624468454804,18.139375243964885,0.0075,0.3381293262978078,-25.114233776436635,-36.013985937373,10.899752160936366,143.5546875
5.0,0.0225,-0.02432079265977225,-13.524421773689529,-37.77590771402311,24.251485940333584,0.005,0.5676579642427333,-60.937663576784864,-65.38543748554585,4.447773908760986,0.02,-0.019248556488790248,-14.118564021171032,-24.81715359561381,10.698589574442778,0.0075,0.1804305040794076,-23.923190439194254,-29.191329572299964,5.268139133105709,143.5546875
6.0,0.0225,-0.10385536986958864,-13.746793199003235,-26.948390926253353,13.201597727250117,0.005,0.08353089410104918,-62.04637719142128,-74.31739056275386,12.271013371332579,0.02,-0.1261365262305829,-14.38387697278568,-20.425840764385423,6.041963791599743,0.01,0.19712500120157891,-23.90926805280867,-27.55237636272675,3.6431083099180803,143.5546875
7.0,0.02,0.3316273425557073,-14.510160969416145,-22.565782612826823,8.055621643410678,0.005,-0.12662124245955,-64.8174827165539,-69.37269468946491,4.55521197291101,0.02,0.3376885228686531,-15.765497117136054,-27.45528704094282,11.689789923806767,0.01,0.17025274039111774,-24.416340139000035,-26.10228549170937,1.6859453527093358,143.5546875
8.0,0.02,0.5441512672822301,-14.17493781623099,-17.290550001237698,3.1156121850067073,0.005,0.19757670570523936,-63.99761701611802,-71.78681180783181,7.78919479171379,0.02,0.5705429467149195,-14.532285069212822,-22.85793123933914,8.32564617012632,0.005,0.039702556526827464,-26.844380048058202,-37.0599018199366,10.215521771878397,143.5546875
9.0,0.025,0.15131671563532526,-12.709261888900073,-32.91177318672292,20.202511297822845,0.005,0.5812212642683928,-65.60092254534565,-70.34238502706413,4.741462481718472,0.0225,0.15164588512807448,-13.387127429098886,-35.67959384965921,22.292466420560327,0.01,0.21388377852974885,-23.698334776392738,-42.77299075606926,19.074655979676525,143.5546875
10.0,0.025,-0.10760455643094458,-12.892335066187448,-29.653198380675082,16.760863314487636,0.005,0.5665289134685135,-62.31647224555273,-75.78168502036958,13.465212774816848,0.025,-0.13251172766349256,-13.49681417340102,-20.371133439269798,6.8743192658687775,0.0075,0.2670878049096943,-23.39373496653991,-42.93557334246894,19.541838375929032,143.5546875
11.0,0.0175,-0.1554878329347288,-16.350806517327566,-47.60689622391613,31.256089706588565,0.005,0.599030563108341,-58.909427019850284,-85.88138400201159,26.971956982161302,0.015,-0.1821378457996521,-17.39303932572918,-25.667541952510618,8.274502626781437,0.01,0.15962059782597762,-24.191847833034053,-40.15969672415985,15.967848891125797,143.5546875
12.0,0.02,0.5328830692038421,-15.499125811405868,-42.93697589654851,27.437850085142642,0.005,0.6259958813343643,-59.87118215535277,-65.09325495724255,5.22207280188978,0.0175,0.5564739724465265,-16.260455612681184,-27.43995060312122,11.179494990440034,0.01,0.3839220589583826,-24.811142301247656,-42.375807620243194,17.564665318995537,143.5546875
13.0,0.025,0.172960550698851,-12.97036835973065,-21.418713237218576,8.448344877487926,0.005,0.372976599758304,-63.51283141303297,-74.5868189878964,11.073987574863423,0.025,0.19332092689409675,-13.166301417998707,-17.09361194161515,3.9273105236164447,0.01,0.2498654814850981,-23.68390816689105,-34.66148483224294,10.97757666535189,143.5546875
