,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.015,0.9873561007121434,-17.30919141402768,-19.92150887065892,2.6123174566312386,0.005,0.9925263059954532,-33.55689549099966,-39.567684262292886,6.010788771293228,0.015,0.987871130178398,-17.456258225276553,-22.160993197813482,4.704734972536929,0.005,0.9899783163224037,-32.2383670102954,-53.456161235216655,21.217794224921256,175.1853813559322
1.0,0.015,0.9908972965399325,-17.018887910751193,-36.68197136958384,19.66308345883265,0.005,0.9905692393727005,-34.23341041169064,-34.329919944564445,0.09650953287380304,0.0175,0.9914014911461965,-16.111226826463103,-26.987737862750464,10.876511036287361,0.005,0.9959896539919528,-37.870054719224974,-56.67278450482276,18.802729785597784,175.1853813559322
2.0,0.0175,0.9927754534389371,-15.815635510308915,-22.508267642842714,6.692632132533799,0.005,0.9913295189890372,-32.963560236175795,-35.87329522664976,2.9097349904739644,0.015,0.9938711614735786,-16.590351602243473,-33.94879384772913,17.358442245485655,0.005,0.9966338436755414,-37.15483261904098,-47.574669908594835,10.419837289553854,175.1853813559322
3.0,0.015,0.9890638054864785,-17.311592076343313,-25.295636963615866,7.984044887272553,0.005,0.9921585134966362,-31.91159500050157,-47.75110017667018,15.839505176168608,0.015,0.9894844543439697,-16.930576337691644,-23.146014784810745,6.2154384471191015,0.005,0.9953518494787521,-38.39690502270609,-56.11426609765148,17.717361074945387,175.1853813559322
4.0,0.025,0.9876374031318975,-13.222892692405859,-50.864691557746575,37.64179886534072,0.005,0.9885568692611579,-32.02959553915661,-55.16527943077758,23.13568389162097,0.02,0.9883632840329026,-14.3948220325859,-21.93374205495416,7.538920022368259,0.005,0.9952955071423175,-38.68054960548197,-62.08631232208408,23.405762716602112,175.1853813559322
5.0,0.02,0.9891617144219317,-14.42029709872365,-17.128674170181114,2.7083770714574644,0.005,0.989798154822247,-32.13634470050488,-63.173801078798405,31.037456378293527,0.02,0.9895423362306852,-13.484941348983739,-21.56797939189073,8.083038042906992,0.005,0.9968324927870826,-37.84245145245167,-48.21211304465709,10.369661592205418,175.1853813559322
6.0,0.0175,0.9870505096455531,-15.374352456895286,-27.236846830271787,11.862494373376501,0.005,0.988669536790582,-31.45484317297786,-36.53482496579683,5.07998179281897,0.0175,0.9883920179607575,-15.872914979301804,-25.005794797150678,9.132879817848874,0.005,0.9954212569361075,-38.70945816844929,-51.829464559872456,13.120006391423168,175.1853813559322
7.0,0.015,0.9888122965638708,-17.237485887481423,-26.323203106905993,9.08571721942457,0.005,0.9874654549275392,-32.46758053914208,-35.58455714687847,3.1169766077363903,0.015,0.9908376878425229,-17.495303982455297,-28.941232784613078,11.44592880215778,0.005,0.9981635185975051,-35.39135120858145,-62.60892092979358,27.21756972121213,175.1853813559322
8.0,0.0175,0.9903481799151916,-16.216816047303936,-17.074775252298295,0.8579592049943585,0.005,0.9864568463831703,-33.77895914898917,-40.622704923640285,6.8437457746511114,0.0175,0.9917363489284582,-15.750916367331806,-24.12029782561142,8.369381458279614,0.005,0.9960574194375119,-37.783022100439666,-49.97197096067728,12.188948860237616,175.1853813559322
9.0,0.015,0.9879431633849454,-16.83287726632005,-52.09008464970911,35.25720738338906,0.005,0.9839017621470171,-34.241044394561946,-42.26756700669129,8.026522612129341,0.0125,0.9897399549910869,-16.833348308915937,-20.68417980786468,3.850831498948743,0.005,0.9960467593972556,-36.811861760403744,-53.644887331749786,16.83302557134604,175.1853813559322
10.0,0.015,0.9888745818030975,-17.92578847784701,-32.96147694644458,15.035688468597566,0.005,0.983644877367921,-35.64658257065456,-42.36494534217145,6.718362771516894,0.015,0.9891674933884588,-17.09093288978385,-54.71476347613813,37.62383058635428,0.005,0.9957119165364858,-35.75854470883006,-49.249741793274644,13.491197084444586,175.1853813559322
11.0,0.0175,0.9908080000442746,-16.084493389469788,-21.085517622980568,5.00102423351078,0.005,0.9837088462447359,-38.21523121073755,-43.77200028038503,5.55676906964748,0.015,0.9904434803539209,-17.559245017887765,-41.653193885612005,24.09394886772424,0.005,0.9956057679965159,-38.597105891183595,-46.64899986146332,8.051893970279721,175.1853813559322
12.0,0.02,0.989374950601929,-14.64342658968117,-32.70346123948501,18.06003464980384,0.005,0.9889560839058933,-37.00502273010079,-52.48679591100007,15.481773180899282,0.0175,0.9892130013354437,-14.592672321528024,-17.693655115847715,3.100982794319691,0.005,0.9969600452994029,-37.10399105370504,-43.86377349339928,6.759782439694241,175.1853813559322
13.0,0.02,0.9869549417797637,-15.324554598688632,-26.746649927743043,11.422095329054411,0.005,0.9918336086546932,-35.34646631106335,-37.986373155050885,2.639906843987532,0.02,0.98764342824925,-14.85048305921145,-38.633485837033966,23.783002777822517,0.005,0.9963948763327152,-38.29678621623873,-52.73665379858535,14.439867582346622,175.1853813559322
14.0,0.02,0.9879217471896151,-14.845288296262593,-21.11150640229357,6.266218106030978,0.005,0.9905537932779285,-33.06928286624436,-37.70087289312422,4.631590026879863,0.015,0.988061489913784,-17.258538468820912,-39.191463803364755,21.932925334543842,0.005,0.9971192645724725,-37.23815175495483,-44.45957372840218,7.221421973447349,175.1853813559322
15.0,0.0175,0.9867369848127449,-15.233362813663726,-33.212403629546735,17.97904081588301,0.005,0.9917016883765806,-33.098860042005384,-43.55970806275063,10.460848020745246,0.015,0.9879990830052054,-16.631451600148075,-20.485696208107566,3.8542446079594903,0.005,0.9966278155062152,-36.98197425723136,-54.51744667582881,17.53547241859745,175.1853813559322
16.0,0.015,0.986819375146149,-16.57103889512885,-28.215790385484688,11.644751490355837,0.005,0.9908935250611108,-33.386013402377046,-43.070490793441635,9.68447739106459,0.0125,0.9876929562590855,-18.30967073222864,-50.828474036351416,32.51880330412278,0.005,0.9962295930740906,-33.58586591506037,-46.71982835067037,13.133962435610002,175.1853813559322
17.0,0.02,0.9899686807088739,-14.6222635710825,-30.386652599843117,15.764389028760617,0.005,0.9922490258928779,-33.75951038693779,-57.31696937100558,23.557458984067786,0.0175,0.9904331317625813,-14.774420407506854,-55.65283152958646,40.878411122079605,0.005,0.9978975137111221,-28.158774386720737,-34.033258439421104,5.874484052700367,175.1853813559322
18.0,0.0175,0.9901899868210335,-15.345588061574604,-22.828521055881055,7.48293299430645,0.005,0.9876442568539979,-31.59023711412507,-33.61956807706878,2.029330962943707,0.0175,0.9913600172933602,-15.67321683846158,-38.896622575163015,23.223405736701437,0.005,0.995795396190726,-28.247314569375185,-33.1382341318323,4.890919562457114,175.1853813559322
19.0,0.02,0.9866641899755539,-15.71916875950369,-24.51332064033882,8.794151880835129,0.005,0.9835350099715056,-32.97688163772779,-37.83281407726402,4.855932439536225,0.015,0.9878181028161674,-16.50955438161917,-32.92494902323105,16.41539464161188,0.005,0.9961349371468019,-28.86382823428027,-34.39171569301078,5.527887458730511,175.1853813559322
20.0,0.0175,0.9878013623008933,-14.655796470818206,-19.77682123480848,5.121024763990274,0.005,0.9822883716743126,-33.46530628902499,-54.09603733545076,20.630731046425772,0.0175,0.9879483241380537,-16.233486719834683,-33.06282934819442,16.829342628359736,0.0075,0.9967868940615267,-25.888412491228014,-27.875107715077284,1.9866952238492708,175.1853813559322
21.0,0.02,0.9917083986507683,-14.650492636305882,-18.413322344030924,3.762829707725041,0.005,0.9785549942653473,-33.900294164289775,-40.31753712184103,6.417242957551252,0.02,0.9921931811801054,-13.58992640151673,-19.55557494000245,5.965648538485722,0.005,0.994391688948658,-26.67893367057729,-35.32840516321709,8.649471492639801,175.1853813559322
