,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0525,0.9998985980431698,-3.885148103646952,-21.06380690286194,17.17865879921499,0.04,0.9999973151078118,-6.960213837731098,-9.801924233516237,2.841710395785139,0.03,0.9993480390001364,-10.907709772923637,-19.358109422893126,8.450399649969489,0.005,0.998034695041686,-26.214559143866836,-45.144777234010434,18.930218090143597,132.51201923076923
1.0,0.0475,0.9999578745556391,-6.882902911355244,-11.1873454880667,4.304442576711456,0.055,0.9999990256979101,-4.799617822118471,-41.42936683817738,36.62974901605891,0.025,0.9997075582564542,-11.004480336745871,-48.66667045601513,37.66219011926926,0.005,0.9606789866842401,-43.6295506334685,-65.11013248377708,21.48058185030858,132.51201923076923
2.0,0.0275,0.9996017798836756,-11.203481924691287,-31.53488420770556,20.33140228301427,0.0325,0.9998280765556177,-8.271341782552314,-20.492529128760395,12.221187346208081,0.0125,0.9995930014407499,-19.950653948837545,-34.392447463327464,14.44179351448992,0.005,0.8558017894704001,-55.88766180855944,-75.81096804575368,19.92330623719424,132.51201923076923
3.0,0.0575,0.9997504863908121,-3.6674681274896184,-16.79918617616027,13.13171804867065,0.055,0.9998878837603423,-4.985313657530072,-19.79742153531057,14.812107877780498,0.0275,0.9989168151361073,-11.267545315988077,-27.2881355260553,16.020590210067223,0.01,0.9981370822791538,-25.47983326133864,-68.69502603269528,43.21519277135664,132.51201923076923
4.0,0.035,0.9999245943173672,-9.423167982233942,-26.53554737104359,17.11237938880965,0.0375,0.9999959705963904,-7.967708734696153,-14.314570166930539,6.346861432234386,0.015,0.9995384500905994,-17.89739538762006,-37.60157457610182,19.704179188481756,0.005,0.9470390210594805,-53.249218752242385,-70.93593355715325,17.686714804910864,132.51201923076923
5.0,0.06,0.9997740153661623,-3.5792474126263274,-22.287664380742378,18.70841696811605,0.0475,0.9999594003459157,-6.480284672649752,-20.528387747794646,14.048103075144894,0.0275,0.9992685390308965,-11.988738050492437,-26.590367087955972,14.601629037463535,0.005,0.9959635572097394,-28.389828185799036,-77.36853222773388,48.97870404193485,132.51201923076923
6.0,0.0425,0.9997640636575166,-7.160116570037647,-28.315661489163297,21.15554491912565,0.0475,0.9998885195496431,-5.086020060312713,-15.457599131319919,10.371579071007206,0.0175,0.9982363129076782,-14.928702236841618,-24.351564028019453,9.422861791177835,0.005,0.964218585669084,-48.90365096892489,-64.07919903708546,15.175548068160566,132.51201923076923
7.0,0.03,0.9998337937435182,-11.144742076738952,-18.004089115691922,6.85934703895297,0.03,0.9999129731590204,-9.620065810368018,-26.047659159725825,16.427593349357807,0.01,0.9992529688547019,-21.79981958911538,-34.13739523449308,12.337575645377697,0.005,0.9534773887928019,-54.29162957281129,-66.9670815799141,12.675452007102805,132.51201923076923
8.0,0.015,0.9991999827064533,-18.038131857889514,-31.900193141684067,13.862061283794553,0.015,0.9993871092004964,-15.895813553432188,-30.394466280732424,14.498652727300236,0.005,0.9992277130471987,-29.7130649224219,-43.55431646453088,13.841251542108978,0.005,0.8285548813883463,-62.575715625182255,-74.0902515386739,11.514535913491642,132.51201923076923
9.0,0.0075,0.9996858188840216,-25.669347311167474,-36.727323173150225,11.05797586198275,0.0075,0.9997672409713182,-25.195543517181314,-31.722223652624486,6.526680135443172,0.005,0.9983328425446919,-39.610798137386844,-69.15793532651301,29.54713718912617,0.005,0.5955919896250396,-63.320453408559786,-69.17436377466002,5.853910366100237,132.51201923076923
10.0,0.055,0.9999774630313671,-4.418767433775255,-14.013898656610168,9.595131222834913,0.05,0.9999928605938727,-5.386602504392827,-25.708369016203015,20.32176651181019,0.0275,0.9998862754969005,-11.807175046439912,-22.944013083528997,11.136838037089085,0.0075,0.9951105821883127,-25.424065484782457,-73.94780516113626,48.5237396763538,132.51201923076923
11.0,0.0375,0.9999067912476912,-9.004196557600338,-23.68389976349234,14.679703205892004,0.0375,0.9999626673108446,-8.417854717569037,-21.798581184686544,13.380726467117507,0.0175,0.9997638869609009,-14.531578427572471,-50.02229509318981,35.49071666561734,0.005,0.9658135932119714,-50.34770097607631,-78.60419116580302,28.256490189726705,132.51201923076923
12.0,0.055,0.9998475136753677,-3.651987813862521,-23.607451655647264,19.95546384178474,0.0325,0.9997055950557056,-6.999081855931682,-15.18016832350366,8.181086467571976,0.0275,0.9997646051162395,-11.647130923969577,-39.829247503744185,28.182116579774608,0.0075,0.9991444712859566,-25.671810817560786,-65.02282842098876,39.35101760342798,132.51201923076923
13.0,0.0475,0.9999881317790437,-6.716129161741393,-15.968954499876125,9.25282533813473,0.055,0.9999985699605283,-4.84213431902551,-17.810850787706265,12.968716468680755,0.025,0.999910797654863,-11.555030402308965,-31.85502317786016,20.299992775551196,0.005,0.9913297187017985,-44.22179711562099,-71.18133517303964,26.959538057418655,132.51201923076923
14.0,0.0325,0.9998801306465701,-10.101889646994579,-57.65412664808483,47.55223700109025,0.0325,0.999978824661227,-8.135336915862851,-23.25095312786624,15.115616212003388,0.0125,0.9995805416562906,-19.518321107992584,-37.37223104498402,17.853909936991435,0.005,0.9365793405979268,-53.532805861913104,-87.72219117826484,34.18938531635173,132.51201923076923
15.0,0.0575,0.9998909605298988,-3.3704979173668956,-9.977341702754122,6.606843785387227,0.055,0.9999783313926899,-5.0327478063820275,-20.535165840355,15.502418033972972,0.0275,0.9995294810918645,-10.712771383893454,-21.074110109482014,10.36133872558856,0.005,0.996583562173458,-27.51967843496001,-63.501619420129316,35.9819409851693,132.51201923076923
16.0,0.0375,0.999412163329356,-8.847829027355555,-25.312818441284755,16.4649894139292,0.04,0.9996276449455512,-7.861462702606125,-27.26464770628479,19.403185003678665,0.015,0.9981889605769212,-18.178284313031575,-34.06242006262709,15.884135749595515,0.005,0.9480103473616279,-52.0098888538905,-89.05084102165289,37.040952167762384,132.51201923076923
17.0,0.02,0.9997986142175391,-14.564734712441956,-33.15299675424953,18.588262041807575,0.025,0.9998874429227824,-12.869552433969734,-29.820589654915516,16.951037220945782,0.0075,0.9988155211311334,-22.147143262191467,-60.73160081501207,38.58445755282061,0.005,0.9275829617432662,-57.901724503178265,-70.74535989390445,12.843635390726185,132.51201923076923
18.0,0.01,0.9997036959768463,-21.647681100829097,-40.426182090592064,18.778500989762968,0.0125,0.9998070539932035,-19.39353468022849,-33.02204806387705,13.62851338364856,0.005,0.9991456198950488,-33.75192333408953,-66.97768815273905,33.225764818649516,0.005,0.7317172931258958,-62.78949656051776,-72.77471477763105,9.985218217113285,132.51201923076923
19.0,0.02,0.9999049424468684,-9.175579365494047,-9.593590267997776,0.4180109025037293,0.005,0.9996401665663186,-28.31081582631171,-42.577095683231256,14.266279856919546,0.01,0.9997803733733881,-19.063011553407158,-45.914607658589574,26.851596105182416,0.01,0.9985056603041151,-25.230321955301935,-34.00308551709362,8.772763561791688,132.51201923076923
20.0,0.055,0.9999916305295296,-4.384305710763315,-36.40463294104533,32.020327230282014,0.0525,0.9999998169923567,-5.047326232560595,-13.128012303101135,8.08068607054054,0.0275,0.9999336287678826,-11.636026112766736,-26.961845212040227,15.325819099273492,0.005,0.9941521006582268,-34.624792123849645,-68.5216992620556,33.89690713820596,132.51201923076923
21.0,0.0325,0.999717570380398,-10.435346272557231,-19.007429565152812,8.57208329259558,0.035,0.9998310952072832,-8.48217858036438,-22.278499907613035,13.796321327248656,0.015,0.9999391456971123,-18.385665080941678,-33.58699508639261,15.201330005450934,0.005,0.9327959667358324,-52.660231593114666,-63.61163277073322,10.951401177618557,132.51201923076923
22.0,0.06,0.9999007127480734,-3.3989931657577332,-12.616443521052219,9.217450355294485,0.055,0.9998850730543857,-4.693746169045544,-5.8705896499526835,1.1768434809071397,0.0275,0.9998693706053944,-11.074045284559169,-17.10874425177179,6.03469896721262,0.005,0.9980049245307284,-26.974510853489523,-67.24757296840521,40.27306211491569,132.51201923076923
23.0,0.0375,0.9996062607222681,-8.472893448403937,-12.204291827166593,3.7313983787626555,0.045,0.999716721967713,-5.923673938842761,-22.49981861856211,16.57614467971935,0.0175,0.9994833997401743,-14.346318849316601,-25.581117530170015,11.234798680853414,0.005,0.9715807266062977,-49.60845424930544,-74.22566187408911,24.617207624783674,132.51201923076923
24.0,0.0525,0.9999396519611875,-3.879556949242165,-6.400498602092859,2.520941652850694,0.0325,0.9999224468921601,-7.309634032799365,-7.309634032799365,0.0,0.0225,0.9997209354507145,-12.435637084347226,-51.343594733896786,38.90795764954956,0.005,0.999094145747785,-26.406974770719962,-71.58896087335714,45.181986102637175,132.51201923076923
25.0,0.0475,0.9999070508182256,-6.4530743080355135,-11.092972618474363,4.639898310438849,0.0525,0.9999890948253166,-5.372374107151305,-20.255337148004212,14.882963040852907,0.0225,0.9995746158894682,-12.377829512878671,-31.942250584215763,19.564421071337094,0.005,0.9794639993233533,-44.70293199743098,-69.73381022919342,25.030878231762443,132.51201923076923
26.0,0.0325,0.9997193592788524,-10.204009763414042,-31.201737015380566,20.997727251966523,0.0325,0.9998887236991576,-8.73043406969214,-19.740431593136975,11.009997523444834,0.015,0.9997533689344933,-19.65039380979219,-27.493048073393126,7.842654263600934,0.005,0.9113449073861981,-56.22041175514401,-64.78130453062293,8.56089277547892,132.51201923076923
27.0,0.015,0.9996822218373639,-16.99071924348875,-32.122520078728584,15.131800835239833,0.0175,0.9995285019551059,-15.628100851550368,-29.392472881818136,13.764372030267769,0.0075,0.9992092376139715,-24.855839048750546,-57.263083368898805,32.40724432014826,0.005,0.8313137418819918,-59.03989074324558,-78.03525400637756,18.995363263131978,132.51201923076923
28.0,0.01,0.9998632109232864,-24.35119823227696,-44.474155579436356,20.122957347159396,0.0075,0.9998399922277387,-21.9499044009017,-40.47382123259217,18.52391683169047,0.005,0.9985432825995569,-36.19032897076615,-84.6518080774551,48.46147910668895,0.005,0.45620321683474196,-60.233160813973676,-70.93746911224568,10.704308298272004,132.51201923076923
29.0,0.0525,0.9998542667364114,-4.081827281446087,-10.736401401561665,6.654574120115577,0.045,0.9999850589709454,-7.066938744236147,-10.049548063241161,2.9826093190050145,0.03,0.9996083124284778,-10.783053568782414,-15.130509217099242,4.347455648316828,0.0075,0.9984523671067582,-24.90549682256786,-64.8470810661784,39.94158424361055,132.51201923076923
30.0,0.045,0.999883911941373,-7.136321872021866,-13.24674830866087,6.1104264366390035,0.0475,0.9999706672167612,-5.011228020341843,-9.068898043477155,4.057670023135312,0.02,0.9991761418422194,-14.196275431669878,-27.930185198123496,13.733909766453618,0.005,0.9790109338698875,-46.22132137685411,-64.76651018822865,18.545188811374544,132.51201923076923
31.0,0.0225,0.9996909665924847,-13.051333273580788,-20.462015291728118,7.41068201814733,0.03,0.9999921049882003,-9.016115706617699,-28.267351966528803,19.251236259911103,0.01,0.9968892248402303,-20.998291016539486,-38.22835018389882,17.230059167359332,0.005,0.9224399728430215,-45.22235001999297,-63.50614267458296,18.283792654589988,132.51201923076923
32.0,0.06,0.9999286851274085,-3.2495750076059156,-11.486394858180692,8.236819850574776,0.055,0.9999736411958184,-4.506529547172397,-8.185711286760425,3.679181739588028,0.0275,0.999760783729505,-10.688797172206677,-20.9188236382796,10.230026466072925,0.005,0.997705305392879,-26.52970193561018,-96.96489881495012,70.43519687933994,132.51201923076923
33.0,0.035,0.9997494996894506,-9.56795741533764,-13.195187254502605,3.627229839164965,0.04,0.9999521366495678,-7.513666658867496,-18.973628796845226,11.45996213797773,0.015,0.9992783061938832,-17.590461281642533,-28.485103262162077,10.894641980519545,0.005,0.946020132156978,-54.26544947691103,-69.58896608996653,15.323516613055503,132.51201923076923
