,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0275,0.9892171203478402,-11.675764970487455,-45.24273946362036,33.5669744931329,0.0175,0.9989257086477101,-15.928223573078771,-22.62656691396092,6.69834334088215,0.0125,0.9549821661585758,-19.373436988176046,-22.264939707510003,2.891502719333957,0.005,0.946537217426235,-27.627236955550632,-49.51084183038923,21.8836048748386,132.51201923076923
1.0,0.02,0.9848438885288074,-14.807984646232859,-31.48242238256916,16.6744377363363,0.01,0.9992207040499185,-21.1445079636861,-26.522401093930995,5.377893130244896,0.015,0.9913881856511036,-18.681658266702364,-38.39414258822658,19.712484321524215,0.005,0.9890581529124859,-30.35957230328135,-40.20848447909035,9.848912175809001,132.51201923076923
2.0,0.0125,0.9879049291454494,-17.084633905022987,-24.983618114909746,7.898984209886759,0.005,0.9967847532494659,-26.528743356107512,-51.28463880857411,24.755895452466596,0.0125,0.9908831808886076,-18.654489500951826,-24.999513755110637,6.345024254158812,0.005,0.9885644572550102,-31.041489474286415,-43.21168816387129,12.170198689584872,132.51201923076923
3.0,0.0125,0.9845575594194363,-19.770250222677642,-37.01724421633437,17.246993993656726,0.005,0.9623188542045916,-39.8619720067001,-46.1339989248837,6.272026918183599,0.01,0.9860425938532911,-20.711005183748856,-43.70122155831201,22.99021637456315,0.005,0.9832494129578829,-33.65637656802855,-55.55306679250635,21.8966902244778,132.51201923076923
4.0,0.01,0.9785110427218789,-22.3114175701194,-52.994587094820105,30.683169524700705,0.005,0.9647822167435908,-42.36339889217297,-44.94236322963103,2.5789643374580606,0.01,0.9807888842265269,-23.455741267185097,-41.358319979944575,17.902578712759478,0.005,0.9822364321358251,-34.682886009606165,-45.060650391815436,10.377764382209271,132.51201923076923
5.0,0.0575,0.9988899846848974,-4.048418500251236,-12.264236481662547,8.21581798141131,0.035,0.9999122089281295,-9.50489469868513,-12.687182041623888,3.182287342938759,0.04,0.9980828540499893,-7.3551032704930766,-16.46710148423297,9.111998213739893,0.015,0.9927681144225761,-18.92026781523793,-73.4183694282265,54.49810161298856,132.51201923076923
6.0,0.0425,0.9988528734210972,-7.604155460114063,-15.042110589670994,7.437955129556931,0.035,0.9997487232765805,-9.487839533923204,-32.838104853078235,23.35026531915503,0.025,0.995132163050438,-12.764317100832672,-32.5044814104466,19.74016430961393,0.0075,0.9619877813551236,-25.582839554358774,-42.390267089612735,16.80742753525396,132.51201923076923
7.0,0.0375,0.998738889170697,-8.442637253563115,-23.131475998768238,14.688838745205123,0.0375,0.9997270347249678,-9.057141584335287,-21.262494029329815,12.205352444994528,0.02,0.9901950723612422,-14.662427972269947,-36.524092727984545,21.8616647557146,0.005,0.9598715718375486,-30.719174457186252,-40.29077268305895,9.571598225872695,132.51201923076923
8.0,0.035,0.9984934901002289,-9.708556740069596,-19.64012027854387,9.931563538474272,0.0325,0.9997578639557162,-9.877852128119992,-42.27903502040736,32.40118289228737,0.0125,0.9753418237730428,-19.175746629267895,-32.64245216725876,13.466705537990865,0.005,0.9441719286624459,-34.038611217601314,-44.100513890187194,10.06190267258588,132.51201923076923
9.0,0.03,0.9977632600635246,-10.797018717452572,-26.65962522581916,15.862606508366587,0.0275,0.9996229906814211,-11.3269372716349,-21.106321019889165,9.779383748254265,0.01,0.9604155225348703,-24.069130268593547,-40.664098159129544,16.594967890535997,0.005,0.9616282426559664,-34.77292892932202,-46.415755763721805,11.642826834399784,132.51201923076923
10.0,0.02,0.9910701411664026,-14.434650986150402,-30.105001300108924,15.670350313958522,0.015,0.99902800988766,-16.973820032117846,-24.38036942764426,7.406549395526415,0.0125,0.9862366339528258,-19.34281175237165,-27.891937116396775,8.549125364025127,0.005,0.9862639946436236,-30.871873388987506,-46.67729182171385,15.805418432726345,132.51201923076923
