,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.01,0.7227439979294518,-20.782794202166144,-32.42049560639083,11.637701404224686,0.005,0.9022803462471064,-29.86812916890484,-38.70676103219545,8.838631863290612,0.0075,0.8683165024297924,-22.250524969525102,-32.223996596154166,9.973471626629063,0.005,0.8259870491754314,-26.755030767106444,-42.28589433776368,15.530863570657235,139.6748310810811
1.0,0.01,0.8256069144950501,-20.198979541716454,-42.30406507809016,22.105085536373707,0.0075,0.8697255767974781,-24.32637813900965,-25.27184339266909,0.9454652536594423,0.005,0.8542113570347492,-28.667481545166396,-34.85940365582935,6.191922110662951,0.005,0.8115159238231491,-29.40134461365751,-45.08721649151744,15.685871877859928,139.6748310810811
2.0,0.0125,0.9480550411284124,-19.26249956653083,-34.78098865713238,15.518489090601552,0.01,0.9716750928180685,-22.580969583730838,-24.016671832407866,1.4357022486770283,0.005,0.9487671468056379,-26.287114887956406,-40.03241762436414,13.745302736407737,0.005,0.7965013524922802,-34.193457706880245,-43.24360134557089,9.050143638690642,139.6748310810811
3.0,0.0125,0.8532352303699242,-19.548183768738163,-42.646223341449314,23.09803957271115,0.0075,0.9721596539256431,-23.49479929320927,-44.19582456879505,20.701025275585778,0.005,0.9459870038701585,-27.697426776192348,-29.79223424167467,2.0948074654823223,0.005,0.7747210610550957,-34.094493335432446,-47.791624357603425,13.697131022170979,139.6748310810811
4.0,0.015,0.7389654962194457,-16.94553075330132,-29.411321037170236,12.465790283868916,0.01,0.9639421112778364,-22.699536427315333,-28.96422668507578,6.264690257760446,0.0075,0.8829050692941569,-21.696187848165337,-52.629140535521344,30.932952687356007,0.005,0.5231898348049997,-32.64172109718953,-45.66882952584119,13.027108428651658,139.6748310810811
5.0,0.0125,0.4422865328470326,-18.578376694986176,-49.06350776994897,30.485131074962794,0.0075,0.9678099168816426,-24.189605260013273,-49.28980635679635,25.100201096783074,0.0075,0.8922995490909794,-22.216453759815305,-40.45232326349874,18.235869503683436,0.005,0.5534774170611941,-31.055326483963633,-50.87425337970774,19.818926895744106,139.6748310810811
6.0,0.0125,0.5630888747675938,-17.91268950334785,-25.799834667454785,7.887145164106936,0.0075,0.9827572754317235,-25.906170139904354,-38.57652857910081,12.670358439196455,0.0075,0.9490926818736841,-24.310403120264212,-49.56321267991142,25.25280955964721,0.005,0.7537207179851013,-29.122596421954327,-46.45463240707129,17.33203598511696,139.6748310810811
7.0,0.0125,0.8318593651093613,-18.8646424313243,-25.54709607762191,6.68245364629761,0.005,0.9260010827450211,-26.93175393029129,-29.493215074286326,2.561461143995036,0.005,0.9335922438262875,-26.191014648715335,-71.47160728987144,45.280592641156105,0.005,0.7237058212827778,-29.630094946604906,-34.471590087767254,4.841495141162348,139.6748310810811
8.0,0.01,0.8620719744005931,-20.184364389370298,-42.04695891046872,21.86259452109842,0.005,0.8885147386805647,-27.550514681359708,-30.45742182972837,2.9069071483686635,0.005,0.882527207761234,-27.032549934282738,-49.582049574815564,22.549499640532826,0.005,0.65076040343331,-30.165680280795108,-44.95227916039943,14.78659887960432,139.6748310810811
9.0,0.01,0.6956659881829208,-21.09172940832721,-32.504533816075465,11.412804407748254,0.005,0.9355725325108778,-27.66362617552482,-38.2582224364585,10.594596260933685,0.005,0.7999327796900505,-26.65351660207174,-52.70846975123287,26.05495314916113,0.005,0.6236193795010956,-29.55101118737791,-36.59700729714723,7.04599610976932,139.6748310810811
10.0,0.0125,0.9270568326515112,-19.715357323709565,-24.5989766082658,4.883619284556236,0.01,0.9368040735838449,-23.878666310188624,-24.673630658029566,0.794964347840942,0.0075,0.9291993801680221,-24.90384231888608,-55.71358825363905,30.80974593475297,0.005,0.5421104133671336,-32.42335144219395,-43.27858581792489,10.855234375730944,139.6748310810811
11.0,0.015,0.9861284377074939,-17.50208297702631,-20.82671026578,3.3246272887536925,0.0125,0.9955070527861286,-17.336027269641924,-29.648025906533483,12.311998636891559,0.0075,0.981733421897371,-21.865966434362647,-39.0362360723337,17.170269637971053,0.005,0.5898939480432066,-35.260564021374094,-41.45648375920908,6.195919737834984,139.6748310810811
12.0,0.0125,0.9734727441724094,-16.641147246341134,-30.45128654701193,13.810139300670794,0.0125,0.9945349196728803,-19.344019620431784,-26.29011815052405,6.946098530092268,0.01,0.9814843087993929,-22.54485526145665,-49.302359128014345,26.757503866557695,0.005,0.6548189750798358,-35.07434732384753,-48.351385083240785,13.277037759393252,139.6748310810811
13.0,0.01,0.7825649774810661,-21.001418650472473,-37.5666623162372,16.565243665764726,0.01,0.9709940553775114,-24.537899574077016,-34.860990076622315,10.323090502545298,0.005,0.8428158512929317,-26.208485053717936,-59.41868763277472,33.210202579056784,0.005,0.7194228866936119,-37.336869363230406,-47.28241693817519,9.945547574944783,139.6748310810811
14.0,0.0075,0.5328814355658041,-24.67700863074095,-31.622016874839424,6.945008244098474,0.005,0.8871547270049651,-32.38243341442576,-39.89143633973023,7.509002925304465,0.005,0.776078707679396,-28.01247109529324,-40.14880394420307,12.136332848909827,0.005,0.6954111235337294,-35.74992460197017,-69.8960659766661,34.14614137469592,139.6748310810811
15.0,0.0075,0.710896999767601,-25.34901222846354,-33.22091321367004,7.871900985206498,0.005,0.751788343837026,-31.571115329714843,-38.30368868545464,6.732573355739795,0.005,0.700604687741405,-32.68433409641667,-39.28408304345909,6.599748947042421,0.005,0.5506659058287984,-35.13002357626176,-72.93203562901958,37.80201205275782,139.6748310810811
16.0,0.005,0.39769614057433467,-26.42981574697103,-45.0422048352947,18.612389088323667,0.005,0.7019613342556117,-32.92303396096071,-41.944318711454436,9.021284750493727,0.005,0.8890126753875347,-30.458852388230948,-35.53296391996507,5.074111531734122,0.005,0.6624023994521466,-36.35687083907466,-59.1736025807668,22.816731741692138,139.6748310810811
17.0,0.01,0.7126757074305587,-23.949043187353357,-40.896172607873964,16.947129420520607,0.005,0.8930308920507672,-28.361400113452397,-50.00666800678117,21.64526789332877,0.005,0.9628610534796361,-27.542876725896765,-38.457287978153964,10.9144112522572,0.005,0.7575810535808267,-35.26043863956811,-69.37080274061559,34.11036410104748,139.6748310810811
