,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.01,0.5843500011785643,-22.84676999275809,-35.16477509318992,12.318005100431826,0.005,-0.44065196241708793,-54.89843446571649,-68.21052636163537,13.312091895918883,0.01,0.5806996519594837,-24.4050172032604,-43.56143449526684,19.156417292006438,0.005,0.41435810265546713,-37.24317584423633,-58.41453383960772,21.171357995371388,161.4990234375
1.0,0.01,0.4131858901405901,-23.817808711372557,-28.013600357168112,4.1957916457955555,0.005,0.5490125732209981,-60.46564796520918,-83.15753565038862,22.691887685179445,0.01,0.41852692655524204,-25.838460859068825,-31.270784549199306,5.432323690130481,0.005,0.23584655381317646,-35.842686110038734,-51.1835635261432,15.340877416104469,161.4990234375
2.0,0.02,0.9267371564286958,-14.003025825170429,-21.10041266331673,7.097386838146303,0.005,0.9703902449152667,-36.39651110918737,-64.95630881900594,28.559797709818568,0.025,0.9261545609518153,-12.512176731701192,-19.79713959171415,7.284962860012957,0.01,0.8882839898839814,-22.53620185573263,-34.43538847017125,11.899186614438616,161.4990234375
3.0,0.015,0.9523253669735785,-17.110686762366267,-21.683963664131912,4.573276901765645,0.005,0.8467657729352722,-51.43843958877504,-65.8055658170069,14.367126228231854,0.02,0.9561212645825422,-14.478255937915295,-26.28141193005603,11.803155992140736,0.005,0.8558276113280708,-29.334576022188493,-59.83366787595581,30.499091853767318,161.4990234375
4.0,0.02,0.9267992280149092,-14.314319552779821,-18.60185426065972,4.2875347078798995,0.005,0.9894881140657227,-39.85210507135599,-74.07666705624074,34.224561984884744,0.025,0.9303617329230708,-12.164546775124645,-22.47485899203,10.310312216905356,0.01,0.9064271964613249,-23.730059852500467,-34.897213959694334,11.167154107193866,161.4990234375
5.0,0.015,0.9447318219034332,-16.571866595727357,-19.009380365674993,2.4375137699476355,0.005,0.8993724719764478,-54.3886268016893,-75.32901881887017,20.94039201718087,0.02,0.9447507140766113,-14.226825885480373,-18.066112012467254,3.839286126986881,0.005,0.8908732869674881,-28.356281323769185,-42.4821507658356,14.125869442066413,161.4990234375
6.0,0.02,0.9696071646620027,-15.58898259941375,-20.097935526204335,4.508952926790585,0.005,0.9942770519523678,-33.02718419362415,-62.12148748742457,29.094303293800415,0.025,0.9714432628418398,-13.555936816418885,-19.205085051370826,5.649148234951941,0.01,0.9457601808505999,-24.68762634583372,-35.74766571497235,11.060039369138629,161.4990234375
7.0,0.015,0.9716906538351869,-16.944125865114323,-19.508885187062788,2.564759321948465,0.005,0.9183543653668088,-50.2742535934918,-69.75834444183512,19.48409084834332,0.0225,0.973161700490172,-13.95911049438354,-21.388881398496746,7.429770904113207,0.005,0.9406104480711135,-27.877406425574453,-46.83781293010925,18.9604065045348,161.4990234375
8.0,0.02,0.962795582400173,-15.440431885983308,-18.636089272937465,3.1956573869541565,0.005,0.994487848252647,-37.27566285448345,-61.20020437301997,23.924541518536522,0.025,0.9633699932375345,-12.49970164297479,-14.69621879018477,2.1965171472099794,0.01,0.9636552769079364,-23.405896097810093,-50.60232043550446,27.196424337694367,161.4990234375
9.0,0.015,0.9782025285386498,-16.806856459649303,-20.734573012621283,3.9277165529719795,0.005,0.9593988044520722,-53.10096001165459,-65.92309040099836,12.82213038934377,0.025,0.980031600782185,-13.805398527233175,-33.57085238232595,19.76545385509278,0.005,0.9390006418354581,-27.552157061923076,-53.06513641423568,25.512979352312605,161.4990234375
