,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0525,0.884432057197678,-5.134816687797824,-18.570504536297953,13.43568784850013,0.025,0.8991880263117956,-13.533991254986395,-21.99298893717011,8.458997682183716,0.03,0.9152987056669808,-11.238212672631104,-49.09361577276293,37.855403100131824,0.005,0.6015268118196917,-26.85799550763558,-49.53545942986984,22.67746392223426,117.45383522727273
1.0,0.035,0.9401082066417789,-7.869927028288385,-14.931798682335213,7.061871654046828,0.03,0.9252434535432125,-10.360524621930535,-17.612933171163267,7.252408549232731,0.015,0.8804715600501145,-17.810287746075822,-29.17683210795177,11.366544361875949,0.005,0.24466808032073648,-35.81266847861731,-43.60427640112644,7.7916079225091295,117.45383522727273
2.0,0.02,0.9280828306885094,-14.917021731445427,-26.915510018018217,11.99848828657279,0.0175,0.9630242727777938,-15.064095125583636,-25.137235884689613,10.073140759105977,0.01,0.7136232693419029,-22.853300578200862,-48.308012014420505,25.454711436219643,0.005,0.08457509358855024,-36.23490579869978,-48.55112058494658,12.316214786246803,117.45383522727273
3.0,0.0125,0.6156218362393923,-17.244748423687483,-38.805241800641134,21.56049337695365,0.0125,0.7455403611114916,-19.67083695192067,-53.0308865434945,33.36004959157383,0.0075,0.3885213025963954,-25.202419665317063,-41.882677712325645,16.680258047008582,0.005,0.13652898913826209,-39.576302524789625,-54.927817698971495,15.35151517418187,117.45383522727273
4.0,0.0625,0.9183509316962034,-2.800482103347495,-19.625937215493106,16.82545511214561,0.025,0.819461309992445,-10.657672577557644,-13.243327911634669,2.5856553340770247,0.04,0.9823454368971145,-7.98844922300468,-12.84225396334591,4.853804740341229,0.01,0.8830660230266708,-22.09548017462531,-41.10875428074429,19.01327410611898,117.45383522727273
5.0,0.035,0.9916774453788881,-9.288264796370095,-17.633571777543246,8.34530698117315,0.03,0.9887040188633606,-10.646800821412338,-16.433756412483294,5.7869555910709565,0.0225,0.9867583447699635,-13.010302454255624,-49.781091312631006,36.77078885837538,0.005,0.606712439134808,-32.77884767737095,-57.88159145914485,25.102743781773903,117.45383522727273
6.0,0.0875,0.9747279257722096,-1.1280883633022265,-13.165968645444497,12.037880282142272,0.0225,0.9718056526639329,-13.709647346027598,-36.07680424811928,22.367156902091683,0.06,0.9881883119910545,-3.2567413644356193,-47.36665403170256,44.10991266726694,0.0375,0.9867110901016086,-8.337320975246524,-64.74889307324473,56.4115720979982,117.45383522727273
7.0,0.0575,0.9799643923547608,-3.7802331632797896,-14.265843635455127,10.485610472175338,0.0425,0.9854530523922006,-7.041142220298767,-27.37452420084135,20.333381980542583,0.055,0.9774641663529203,-3.374155698448999,-17.45970372894371,14.08554803049471,0.01,0.9678323595289112,-20.698499588362793,-59.303799620675655,38.60530003231286,117.45383522727273
8.0,0.04,0.977614217473548,-6.522561878784426,-18.940270410856648,12.417708532072222,0.0325,0.9759978787788259,-9.476960743200939,-37.69428334668726,28.217322603486316,0.015,0.9769212726526213,-16.593271846785647,-28.648503146309533,12.055231299523886,0.005,0.32476798129764817,-44.76911919537942,-56.04172521199949,11.272606016620074,117.45383522727273
9.0,0.0275,0.950325142173932,-11.752356041862722,-21.47509598638002,9.722739944517297,0.0225,0.9582683941128218,-13.790238615336808,-30.7817974431666,16.99155882782979,0.01,0.9557058432594322,-21.875794975093324,-28.343014653147897,6.4672196780545725,0.005,0.267786180406736,-46.29996430432125,-61.98245633328395,15.682492028962699,117.45383522727273
10.0,0.0175,0.9336928578528191,-15.78260645697885,-43.46054508275023,27.67793862577138,0.015,0.915237932989847,-17.407012092080866,-30.758128592573613,13.351116500492747,0.005,0.8891292484051546,-27.992778498979348,-49.62094579087154,21.62816729189219,0.005,0.17051075606866858,-50.37114631831074,-57.867712604534496,7.496566286223754,117.45383522727273
11.0,0.085,0.9823917305067074,-1.3574664287359135,-26.199497964376537,24.842031535640622,0.0525,0.9863012636796471,-5.80269423721512,-17.987490315783482,12.184796078568361,0.05,0.9928904271369109,-5.560595591478891,-17.916339859199233,12.355744267720343,0.0375,0.989543827413103,-8.902710749654865,-52.332741940718115,43.43003119106325,117.45383522727273
12.0,0.04,0.9792550191167194,-7.766254555364338,-24.5798693042547,16.813614748890362,0.035,0.9757954675954447,-9.793784353663836,-19.443237615673187,9.64945326200935,0.02,0.9873237072484476,-13.260657742395576,-53.40505477563841,40.14439703324284,0.005,0.8193038292496192,-43.26489055557558,-58.35826224704658,15.093371691470999,117.45383522727273
13.0,0.025,0.9776374051373427,-12.17152800475295,-23.03299978961217,10.86147178485922,0.025,0.9743498040802295,-12.33316253278949,-32.605983441233434,20.272820908443943,0.0075,0.9658710747933523,-24.294458949717445,-32.95265979097173,8.658200841254285,0.005,0.3202102714356177,-50.23945213489806,-60.34005598499171,10.100603850093648,117.45383522727273
14.0,0.015,0.9449189917296388,-17.01427932882026,-34.06410476318697,17.04982543436671,0.015,0.938996040039801,-17.83076333183822,-27.93659189142594,10.10582855958772,0.005,0.9240400332507467,-31.737874029070603,-58.9488021087183,27.210928079647694,0.005,0.1244925708635578,-54.1133377562556,-80.56300050171309,26.449662745457488,117.45383522727273
15.0,0.08,0.9693792299947646,-1.4296651317027824,-29.386902954273584,27.9572378225708,0.025,0.9506940872713566,-11.720526930403706,-14.17239651616028,2.451869585756574,0.06,0.9772755752355712,-2.7082381716344828,-9.006129203129046,6.297891031494563,0.0225,0.9243526532455723,-13.925224954646438,-50.43499505961587,36.509770104969434,117.45383522727273
16.0,0.0425,0.9785921877708763,-7.795470491547695,-11.510630291813225,3.71515980026553,0.0325,0.9742180053946738,-10.43391331654804,-26.284888921756778,15.850975605208738,0.035,0.9767628010698443,-9.26219049148933,-34.239927913554,24.97773742206467,0.0075,0.9960113069451779,-25.45732313367286,-54.041613762445266,28.584290628772408,117.45383522727273
17.0,0.035,0.9855734718117952,-10.07843562204357,-15.079463108300324,5.0010274862567545,0.03,0.9858069269835793,-11.537481565762974,-23.307325258983088,11.769843693220114,0.0125,0.982719639081428,-17.990458231289274,-37.03043040384096,19.039972172551686,0.005,0.8418048535553128,-48.016064715258786,-62.041756280157344,14.025691564898558,117.45383522727273
18.0,0.0225,0.9846192527178791,-12.049686285112282,-32.389504052013066,20.339817766900786,0.02,0.9832364833161691,-14.077369815991577,-27.245866028112744,13.168496212121166,0.01,0.9812303278306512,-22.684670722019874,-39.48406223159519,16.799391509575315,0.005,0.6548098912601978,-52.40196475339477,-67.21236991922686,14.810405165832087,117.45383522727273
