,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0125,0.7241584543095926,-19.973440098665353,-31.664200589905768,11.690760491240415,0.005,-0.4945881421828537,-36.76959647896314,-62.28481848946516,25.515222010502022,0.005,0.6986143275680329,-31.313998041395305,-48.33905641778805,17.025058376392746,0.01,0.8439335702054481,-23.668341635973835,-37.90899688697574,14.240655251001908,166.70866935483872
1.0,0.01,0.6659068091134154,-23.470375669588538,-41.96381514120648,18.493439471617943,0.005,-0.4767034070858794,-37.191059798907276,-62.616556069706775,25.4254962707995,0.005,0.7030228489005227,-34.08574632632545,-46.25810067476638,12.172354348440933,0.01,0.7663843368003892,-25.184110661740554,-35.49079728880732,10.306686627066767,166.70866935483872
2.0,0.0075,0.8212360976534414,-24.726139278218014,-32.474147508124034,7.74800822990602,0.005,-0.6543829547586533,-44.77234547862167,-53.68171460414517,8.909369125523497,0.005,0.770418674121883,-35.33797405301209,-79.39250625904535,44.05453220603326,0.005,0.9027530379734158,-27.305012718641226,-45.069397835698986,17.76438511705776,166.70866935483872
3.0,0.01,0.6912893410999729,-23.066942978896236,-45.993229228162704,22.926286249266468,0.005,-0.5425065105905289,-38.71069743769769,-44.91278253949485,6.202085101797159,0.005,0.7270951637233913,-32.38731520780081,-53.06749254553495,20.680177337734136,0.005,0.9279703784125073,-26.405199509936534,-33.127747029355625,6.722547519419091,166.70866935483872
4.0,0.01,0.7326799417922855,-24.611601557569827,-31.12938211380527,6.517780556235444,0.005,-0.8030973857463807,-38.24031248085565,-40.41764932250779,2.177336841652142,0.005,0.6837287549798601,-34.74625703064325,-45.67626999001309,10.93001295936984,0.01,0.9575638290189435,-25.79510715775117,-31.01910967202532,5.224002514274151,166.70866935483872
5.0,0.0075,0.6217435459415424,-24.18051019098058,-31.914994394961255,7.734484203980674,0.005,-0.7720366727339575,-39.441928164270564,-41.869828886895355,2.4279007226247913,0.005,0.6834106819073875,-35.56885908407881,-62.133640636647115,26.564781552568306,0.005,0.9325156074424669,-26.356221774378746,-31.108268202991738,4.752046428612992,166.70866935483872
6.0,0.0075,0.6877374761827147,-25.51325443492732,-52.54673051090738,27.03347607598006,0.005,-0.7119874200923652,-37.84800916216041,-39.365575918402776,1.517566756242367,0.005,0.6716234626971397,-35.439767365478694,-78.60440760244632,43.16464023696762,0.005,0.8410409830155663,-27.123319938956488,-34.32715230009816,7.203832361141675,166.70866935483872
7.0,0.01,0.1670090959861796,-25.71911460037328,-39.50502823766788,13.785913637294598,0.005,-0.38076010668959415,-34.719581827089485,-63.82977287585918,29.110191048769693,0.005,0.7374806845431436,-36.26898062228189,-48.85387508630535,12.584894464023463,0.005,0.7889942258560424,-28.70996377203833,-39.858250126191216,11.148286354152887,166.70866935483872
8.0,0.0075,0.1561114825734145,-24.843363736159706,-37.82810356632595,12.984739830166244,0.005,-0.6856724002372374,-34.96452499057159,-36.40094018793868,1.43641519736709,0.005,0.4922696053961828,-37.602363008222454,-43.9731491496218,6.370786141399343,0.005,0.6310876025974321,-29.257955036077533,-43.143691873526805,13.885736837449272,166.70866935483872
9.0,0.0075,0.6376785725491053,-25.1749021042365,-38.47268791110243,13.297785806865932,0.005,-0.9147789379068918,-34.04874334293149,-60.370105466672435,26.321362123740947,0.005,0.5323971110893083,-36.057131063420016,-55.58945498288757,19.53232391946755,0.005,0.8442635349103547,-27.303146130182046,-35.17747502014827,7.874328889966225,166.70866935483872
10.0,0.01,0.5997886816471572,-23.859085912134898,-42.372561221592484,18.513475309457586,0.005,-0.7445546986007142,-39.19404861782988,-54.291990283795386,15.097941665965507,0.005,0.49369435216085444,-35.786437095876984,-61.3769777962181,25.590540700341116,0.0075,0.8869364266066149,-25.822883531838826,-57.28095126804504,31.45806773620621,166.70866935483872
11.0,0.01,0.687520771348241,-24.684052392574575,-28.767815534701935,4.08376314212736,0.005,-0.6838604576916041,-37.737665862970864,-47.8004217438874,10.062755880916534,0.005,0.6036370127967924,-36.175183608089846,-46.980843638397836,10.80566003030799,0.005,0.8789427428696804,-26.128897887031254,-39.32214471743214,13.193246830400884,166.70866935483872
12.0,0.0075,0.796042088756523,-25.668971311233598,-40.182869263124005,14.513897951890407,0.005,-0.3200114105392189,-40.522475282047054,-62.13084969302358,21.608374410976523,0.005,0.5132663347203776,-37.238098657586846,-49.587001031652704,12.348902374065858,0.005,0.8880107570340557,-27.572358988940515,-34.03615707310251,6.4637980841619935,166.70866935483872
13.0,0.005,0.13057537539270977,-26.303349538319416,-47.671080436636345,21.36773089831693,0.005,-0.6907802895112519,-36.5548722958414,-82.96017148760555,46.40529919176415,0.005,0.30330646228568625,-37.56564570663479,-105.86715215604326,68.30150644940846,0.005,0.9097285784270179,-28.590183523509637,-37.27193868137569,8.68175515786605,166.70866935483872
14.0,0.0075,-0.0636191567544641,-25.10253660730134,-38.746386221464306,13.643849614162967,0.005,-0.763380166378407,-39.12919014161223,-41.150377701352454,2.021187559740227,0.005,0.5433900072656542,-36.53855874878319,-43.47388962934972,6.935330880566532,0.005,0.6952054746651931,-28.980829550327847,-38.17163453028185,9.190804979954002,166.70866935483872
15.0,0.0075,0.2777785947097293,-25.635659009532375,-43.79494603653934,18.159287027006968,0.005,-0.7804396152225287,-32.86533114732597,-68.29399642997083,35.428665282644864,0.005,0.6095585047457293,-36.53639761845102,-55.812493897371176,19.276096278920157,0.005,0.762355141848127,-28.00268475821834,-43.5588961980023,15.556211439783961,166.70866935483872
16.0,0.0075,0.29588333937539424,-25.720449231972395,-34.00094063499609,8.280491403023696,0.005,-0.644130063243722,-35.051159645052465,-38.849629104648756,3.7984694595962907,0.005,0.593422660412077,-37.504994906696524,-42.531338076563244,5.0263431698667205,0.005,0.7941778129274029,-27.915723487344536,-51.751895101473124,23.836171614128588,166.70866935483872
17.0,0.005,0.36770524717046765,-26.799950914881233,-39.624964692416995,12.825013777535762,0.005,-0.5332137993254039,-35.787093002471565,-43.13236555013,7.345272547658432,0.005,0.6103078283152509,-35.99478460624671,-51.73346233272927,15.738677726482557,0.005,0.7113953835772865,-28.499298207025348,-39.37512643546768,10.87582822844233,166.70866935483872
18.0,0.005,0.41828830370097425,-26.541772945147727,-32.26044411374228,5.718671168594554,0.005,-0.6686263941223026,-39.79910595604446,-55.87828089568687,16.079174939642414,0.005,0.4975586560380386,-36.15676134282832,-48.15906969366196,12.002308350833644,0.005,0.6283464477035529,-28.794164134921765,-34.235018280152815,5.44085414523105,166.70866935483872
19.0,0.0075,0.05527096000137921,-25.90446694039965,-37.13702115734078,11.232554216941132,0.005,-0.3890957525091887,-38.59256440815245,-38.90568869012526,0.3131242819728115,0.005,0.3677994079467869,-38.62960595099947,-59.623916578570295,20.994310627570826,0.005,0.7193061921690704,-28.63299256701586,-30.301788225916585,1.6687956589007236,166.70866935483872
20.0,0.005,0.24515860590960878,-26.694563572471782,-50.15274820902981,23.458184636558027,0.005,-0.9328953022444376,-33.65347071404178,-40.330865111348004,6.677394397306223,0.005,0.31541177050120534,-37.16432250177904,-62.005438980927465,24.841116479148425,0.005,0.7373444039633167,-27.30493217715631,-51.11102694111779,23.806094763961482,166.70866935483872
21.0,0.005,0.5147701455480576,-27.183137477426683,-35.343588240619766,8.160450763193083,0.005,-0.6545188201522579,-39.68554456170552,-59.366887310047446,19.681342748341926,0.005,0.569094321076151,-37.905621018653164,-48.39822390092405,10.492602882270887,0.005,0.7395292611007819,-29.875782952835053,-55.65460629006894,25.778823337233888,166.70866935483872
22.0,0.005,0.31999745768219845,-27.214567458815647,-39.99884106544602,12.784273606630375,0.005,-0.6374953767521426,-38.3328229065636,-44.61259904582124,6.279776139257642,0.005,0.44961069332057674,-38.763223672464875,-49.6671080798031,10.903884407338225,0.005,0.7838429715305287,-28.04822633585651,-43.72910816204852,15.68088182619201,166.70866935483872
23.0,0.0075,0.3352361654244104,-24.812746865683376,-32.826504184072746,8.01375731838937,0.005,-0.5343217548967113,-37.021107719315125,-57.2333779907217,20.212270271406574,0.005,0.6678567337682395,-38.83021032996876,-55.752196006460785,16.921985676492028,0.005,0.815197716948408,-26.703105996234697,-45.50355545732263,18.800449461087936,166.70866935483872
24.0,0.005,0.4946020387718394,-26.200011278457996,-26.43980299014908,0.23979171169108326,0.005,-0.6017131261965634,-40.531712833000086,-50.87572691831127,10.344014085311187,0.005,0.5575081515667856,-38.580407775888155,-50.41779019119474,11.837382415306585,0.005,0.7531080570353246,-26.81070634525382,-35.68385937457543,8.873153029321607,166.70866935483872
25.0,0.005,-0.014992285976968596,-26.271700033148182,-44.37864532858381,18.106945295435626,0.005,-0.4624649167993091,-38.70576119744988,-68.92438996738993,30.218628769940047,0.005,0.3813237048228183,-37.96135066563495,-52.77672710045613,14.815376434821175,0.005,0.740033229961677,-28.087589857629535,-37.216532185917096,9.128942328287561,166.70866935483872
26.0,0.01,0.2862812257309051,-24.50921945616663,-27.55176696577369,3.0425475096070613,0.005,-0.8909451734613466,-37.84518324907045,-58.36155574894883,20.51637249987838,0.005,0.4482205419335681,-37.348397635542575,-54.654947661088755,17.30655002554618,0.005,0.8519204812989393,-26.90706086967532,-65.88930518407669,38.98224431440137,166.70866935483872
27.0,0.0075,0.226411274336049,-24.376678662488438,-34.96510205459393,10.58842339210549,0.005,-0.8485542935487076,-39.400877042676015,-47.83837634333676,8.437499300660747,0.005,0.4254054301168702,-36.360467901771486,-57.77014702908505,21.409679127313566,0.005,0.8579577295655316,-28.276847557986777,-37.670873543878855,9.394025985892078,166.70866935483872
28.0,0.0075,0.4065629003478074,-25.197895561043197,-30.249572841360603,5.051677280317406,0.005,-0.8209930598549311,-39.49060890084393,-41.53697813331923,2.0463692324753,0.005,0.7173324235741779,-34.50264925077309,-50.93091469647682,16.42826544570373,0.005,0.8232270181221544,-27.589354031804607,-46.21001685592109,18.620662824116483,166.70866935483872
29.0,0.0075,0.5358701540045905,-23.993002800751487,-42.40730321808886,18.414300417337376,0.005,-0.71822532417552,-36.6217769513364,-45.25453585215782,8.632758900821422,0.005,0.7069851649083879,-32.626889590138,-43.739380467883024,11.112490877745024,0.005,0.8376970239285785,-27.285121115550865,-74.33562316045976,47.050502044908896,166.70866935483872
30.0,0.0075,0.5924295753273411,-25.24461628541038,-48.42770995529094,23.183093669880563,0.005,-0.6861989526278273,-37.928766333764045,-55.942236900987695,18.01347056722365,0.005,0.7686519148371941,-32.31259000434103,-35.60467971982901,3.2920897154879754,0.005,0.8056995934510804,-27.18757174655492,-37.38334539862035,10.19577365206543,166.70866935483872
31.0,0.01,0.6371322603727823,-24.717504382787382,-43.53569251045655,18.818188127669167,0.005,-0.8469785405983474,-37.87661535275683,-43.22536760790837,5.348752255151538,0.005,0.7676073984906797,-32.36846564441417,-50.834180954213046,18.465715309798874,0.005,0.8540739600731985,-27.0955109602407,-33.923068346120694,6.827557385879995,166.70866935483872
