,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.02,1.0,-16.162706027420196,-29.745710310704958,13.583004283284762,0.005,1.0,-39.174314932990285,-47.59267257466888,8.418357641678597,0.005,0.9999999999999998,-26.503919211154,-41.47882043405761,14.974901222903611,0.015,1.0,-16.563738985664415,-20.766863185966375,4.203124200301961,132.51201923076923
1.0,0.015,0.9998971594186415,-16.59774647602976,-22.788415064630755,6.190668588600996,0.005,0.9999999950871702,-36.25301597873271,-41.37257192434903,5.1195559456163195,0.0075,0.9999999816694358,-25.05756133976675,-52.555706235568955,27.498144895802206,0.0175,0.9999914186718784,-15.896453975991252,-21.57246909846755,5.676015122476299,132.51201923076923
2.0,0.025,0.9993570901600559,-13.448082488502973,-23.897765095289625,10.449682606786652,0.005,0.9999999817062973,-39.91660258069634,-59.270155509907134,19.353552929210792,0.0075,0.9999999640862762,-25.10924289273533,-55.32200152895313,30.2127586362178,0.02,0.9998862529271902,-14.193090770662442,-37.114089604313605,22.92099883365116,132.51201923076923
3.0,0.0125,0.999582175906821,-18.672280218041397,-42.9246815509915,24.252401332950104,0.005,0.999999932605147,-50.002996000441385,-70.98041876917009,20.9774227687287,0.005,0.9999997127007619,-34.05675099806296,-61.925771471060706,27.869020472997747,0.0125,0.9999272435341067,-19.565029971510974,-30.807887993682144,11.24285802217117,132.51201923076923
4.0,0.005,0.9998687854585294,-26.145548165851924,-32.32353495284228,6.177986786990356,0.005,0.9999996315329326,-53.031383593837866,-61.02305071893517,7.991667125097301,0.005,0.9999985339147794,-43.384156720400426,-50.90312404818681,7.518967327786385,0.005,0.9999872883606429,-26.481981189619397,-46.97216902639296,20.490187836773565,132.51201923076923
5.0,0.005,0.9998833225518126,-29.102598125428653,-43.342901438231145,14.240303312802492,0.005,0.9999996417305105,-54.73085173621676,-54.73085173621676,0.0,0.005,0.9999980401720402,-46.004609484587895,-61.25260312610895,15.247993641521056,0.005,0.9999910666622676,-28.25692541671605,-36.34336127298728,8.08643585627123,132.51201923076923
6.0,0.005,0.9999407326585419,-28.52503136309138,-39.01567741415257,10.49064605106119,0.005,0.9999997457018901,-53.682485574968844,-57.282737155999854,3.60025158103101,0.005,0.9999979738517041,-44.819925540386826,-71.60256567759254,26.78264013720571,0.005,0.9999955909923925,-28.124943199945086,-30.974281419188323,2.8493382192432364,132.51201923076923
7.0,0.005,0.999755421200439,-30.65453094582345,-65.70002027162887,35.04548932580542,0.005,0.9999994733818571,-54.681173558374006,-77.68171546159851,23.00054190322451,0.005,0.9999963730747742,-46.13262743120771,-70.76243239446163,24.629804963253918,0.005,0.9997720618836223,-30.133556789574918,-52.539073254216895,22.405516464641977,132.51201923076923
8.0,0.005,0.9998103379315255,-45.05997690458577,-56.32959861247397,11.269621707888206,0.005,0.9999996227535222,-54.11722523462534,-56.634216190445756,2.516990955820418,0.005,0.9999941627983191,-52.43514733192815,-63.57790788517082,11.142760553242674,0.005,0.9996130739081774,-47.78556199099864,-58.0215844842092,10.236022493210562,132.51201923076923
9.0,0.005,0.9999479043207317,-46.84527333094888,-62.704773864962235,15.859500534013357,0.005,0.9999993672248774,-56.471080120089454,-58.06570637624318,1.5946262561537239,0.005,0.9999905381590642,-52.800273224420486,-55.3270012168549,2.5267279924344166,0.005,0.99996136785021,-50.68173454749967,-78.46463564050106,27.782901093001385,132.51201923076923
10.0,0.005,0.9999281246113538,-49.095041892122126,-54.60240199897902,5.507360106856893,0.005,0.9999996490798787,-57.5347403995491,-69.15996523860059,11.62522483905149,0.005,0.9999850296000445,-54.59900117782789,-80.0896804276652,25.490679249837314,0.005,0.9999478788745962,-51.702712218876876,-99.96510626434795,48.262394045471076,132.51201923076923
11.0,0.005,0.9999140535132923,-49.885212717795596,-57.63962958760263,7.754416869807031,0.005,0.999999238372849,-57.99530415724962,-60.12791008957024,2.1326059323206223,0.005,0.999980840742788,-55.26840489020074,-64.75799850574684,9.489593615546099,0.005,0.9999120905246748,-51.89876457820013,-76.40140946727682,24.50264488907669,132.51201923076923
12.0,0.02,0.9998006761448007,-14.482204619891569,-33.13825474780157,18.65605012791,0.005,0.999999771882437,-49.79448204985662,-55.26004912245213,5.465567072595512,0.005,0.9999999576105949,-27.484840766232367,-39.83072377068373,12.345883004451366,0.0175,0.999752754466355,-16.458582890365577,-41.90968600751518,25.4511031171496,132.51201923076923
13.0,0.01,0.9999087895505236,-24.023225480244403,-62.3501985257536,38.32697304550919,0.005,0.9999998486060722,-54.68300526892783,-62.649933741087125,7.966928472159296,0.005,0.9999994177209438,-38.7209675858817,-77.8324260244664,39.1114584385847,0.01,0.9999772627063368,-25.100820441458367,-69.21603286645072,44.11521242499235,132.51201923076923
14.0,0.005,0.9996651395658457,-36.97863908809674,-57.24474842368748,20.26610933559074,0.005,0.9999995926039684,-56.649685755666354,-58.36089934190228,1.7112135862359281,0.005,0.9999867165444104,-54.15175510457472,-63.288437516843324,9.136682412268605,0.005,0.9998824968229847,-36.81192739358586,-64.12970125128048,27.31777385769462,132.51201923076923
15.0,0.005,0.9998077614039366,-51.7206201849085,-62.3501985257536,10.6295783408451,0.005,0.9999992894717786,-57.34032627168485,-65.34905776523729,8.008731493552439,0.005,0.999957105869574,-59.04749186205676,-74.05323720289638,15.005745340839624,0.005,0.9994740752165137,-59.15424296839379,-76.31886337695617,17.164620408562385,132.51201923076923
16.0,0.005,0.9997996367618417,-55.823481307178575,-66.22659904607586,10.403117738897286,0.005,0.9999990837751036,-59.25158065595083,-66.16881442710167,6.917233771150833,0.005,0.9998936471849169,-63.90783932382404,-71.96835280940716,8.060513485583122,0.005,0.9988352255309754,-64.49606798419465,-83.36000192666985,18.8639339424752,132.51201923076923
17.0,0.005,0.9997948579860441,-55.66112350273499,-64.73392668013777,9.072803177402783,0.005,0.9999990249236023,-62.030912206688306,-63.08223728479245,1.051325078104142,0.005,0.9999111677306253,-63.228203800272986,-96.3473036128862,33.11909981261321,0.005,0.9984117269255434,-66.8875465220035,-91.42882584497103,24.541279322967526,132.51201923076923
18.0,0.005,0.999414100834213,-59.18294868384861,-84.28839878591472,25.105450102066115,0.005,0.999997766588232,-63.08006494957396,-72.87204518261527,9.791980233041308,0.005,0.9998210390686626,-66.89062945582106,-75.5001427784583,8.609513322637241,0.005,0.9951285391259365,-70.9351925422826,-82.4158703310964,11.480677788813793,132.51201923076923
19.0,0.005,0.999598269588275,-59.67942035834925,-68.72537377824186,9.045953419892612,0.005,0.9999976778955821,-63.92561931176577,-65.3241062952082,1.3984869834424245,0.005,0.9997480192914768,-68.32012081031839,-81.63367323789222,13.313552427573839,0.005,0.9948705384547439,-71.39206811960722,-110.97840056290894,39.58633244330173,132.51201923076923
20.0,0.005,0.9993505416413313,-59.67942035834925,-63.86461280451597,4.185192446166724,0.005,0.9999979096500549,-64.30024359418029,-69.27660444843346,4.976360854253173,0.005,0.9996978236686443,-67.08859179842705,-95.83247010404898,28.743878305621934,0.005,0.9910882557160516,-73.58365187895389,-95.20001753381338,21.616365654859493,132.51201923076923
21.0,0.005,0.9956353405221238,-61.36583807234997,-84.28839878591472,22.92256071356475,0.005,0.9999959535140593,-65.69989454802601,-79.54998433579627,13.850089787770258,0.005,0.9985323955746003,-72.40434759203484,-79.42483808295124,7.020490490916401,0.005,0.8633978057087218,-75.2464295633274,-84.14186197716433,8.895432413836929,132.51201923076923
22.0,0.02,0.9997901680847943,-15.155006197439583,-36.540602259140144,21.38559606170056,0.005,0.999999361082272,-55.22087506209629,-58.027050484922135,2.806175422825845,0.005,0.9999999504049097,-27.25095508861614,-57.95350863624827,30.70255354763213,0.015,0.9999785025620854,-16.624256229224056,-33.381080306922215,16.75682407769816,132.51201923076923
23.0,0.0075,0.9990919749443498,-25.198724442803687,-71.22414851040786,46.02542406760417,0.005,0.9999994353053449,-56.57955399270659,-58.01609149840718,1.436537505700585,0.005,0.9999966885630551,-43.33479638925394,-84.9620380001268,41.62724161087286,0.005,0.999874059357129,-27.787540006174215,-62.25515415753635,34.46761415136214,132.51201923076923
24.0,0.005,0.9964777802661781,-41.5539874427866,-71.22414851040786,29.670161067621258,0.005,0.9999996322192684,-56.90118484632458,-88.66771723239849,31.766532386073905,0.005,0.9999163161004051,-59.62588309776389,-89.19076178995651,29.56487869219262,0.005,0.9968174154621668,-42.07236194551137,-77.49284742384225,35.42048547833088,132.51201923076923
25.0,0.005,0.9998180546950258,-58.48770655866437,-68.03013165305762,9.542425094393252,0.005,0.9999990349384316,-60.43960925032975,-65.56100182818342,5.121392577853669,0.005,0.9997842754197637,-65.99514233553765,-104.10577871592055,38.1106363803829,0.005,0.9957208046502938,-70.89205805298388,-81.82918861773258,10.9371305647487,132.51201923076923
26.0,0.005,0.9991407224666213,-62.009531739778,-64.73392668013777,2.7243949403597725,0.005,0.9999979733477763,-65.36250226422325,-68.13079434217471,2.7682920779514575,0.005,0.999390298886287,-70.34396933418056,-79.86656234199144,9.522593007810883,0.005,0.9798054001390525,-75.32094730382707,-91.1560067154006,15.835059411573525,132.51201923076923
27.0,0.005,0.9989132335512072,-62.704773864962235,-66.78717351808073,4.0823996531185,0.005,0.9999974688628364,-65.61723952018953,-77.19037914963516,11.573139629445635,0.005,0.9991368100652288,-70.9322843426876,-84.67122452357432,13.738940180886729,0.005,0.9639476908932152,-76.67742550442003,-101.17464063749813,24.4972151330781,132.51201923076923
28.0,0.005,0.9990804086587152,-64.73392668013777,-66.22659904607586,1.4926723659380912,0.005,0.9999967742392807,-66.0186359802793,-67.7482539571438,1.7296179768645032,0.005,0.9992567928982673,-72.6915464912007,-90.3964614072943,17.7049149160936,0.005,0.9760584384847935,-78.0198353365601,-92.74408240092895,14.72424706436884,132.51201923076923
29.0,0.005,0.9985070268374143,-64.28839878591474,-78.2677988726351,13.97940008672036,0.005,0.9999962981517702,-66.85786141844403,-73.76353127962258,6.905669861178552,0.005,0.9978779762209422,-74.85861856332266,-84.36633356767338,9.507715004350715,0.005,0.9695526685252739,-77.82063096611495,-84.51968205317199,6.699051087057043,132.51201923076923
30.0,0.005,0.9981875628760172,-65.20354859712823,-78.2677988726351,13.064250275506865,0.005,0.9999980294716361,-68.47142241189523,-78.38090383659154,9.90948142469631,0.005,0.9975035201960192,-73.72275229223294,-101.08075378529342,27.358001493060485,0.005,0.9605333903750162,-77.96757078704722,-94.46504468553434,16.497473898487115,132.51201923076923
31.0,0.0175,0.9988272530759477,-16.172936758447594,-22.99923900137636,6.826302242928765,0.005,0.9999954199056309,-68.70582387745682,-69.62279410670865,0.9169702292518309,0.005,0.999991334671043,-36.6832166221637,-40.102017213647656,3.418800591483958,0.015,0.9983948771888453,-16.117754010092014,-60.049261237042025,43.93150722695001,132.51201923076923
32.0,0.02,0.999677826333339,-14.989670203480081,-38.898139901556405,23.908469698076324,0.005,0.999999753200625,-50.505304758730986,-63.70359771623385,13.198292957502865,0.005,0.9999999212447941,-27.36746495707786,-69.80249056944496,42.4350256123671,0.0175,0.9998155799023739,-16.328981207585734,-35.540793630925684,19.21181242333995,132.51201923076923
33.0,0.005,0.9985921266243561,-28.164799306236986,-54.05073156633725,25.88593226010026,0.005,0.9999997474421431,-56.24049037393468,-62.82940360363221,6.588913229697525,0.005,0.9999942633873858,-48.2421414938678,-75.89901219545982,27.65687070159202,0.005,0.9998689089277915,-27.596920850089305,-66.45476816535944,38.857847315270135,132.51201923076923
34.0,0.005,0.9994871903409215,-47.08163865449485,-64.28839878591474,17.206760131419884,0.005,0.999999376494769,-58.47351416567548,-63.46284463087954,4.9893304652040555,0.005,0.9997895926347778,-62.001044076605396,-83.22596767681875,21.22492360021336,0.005,0.9996217205489548,-47.422096550782335,-103.46972760129889,56.04763105051655,132.51201923076923
35.0,0.005,0.9992899612172753,-61.36583807234997,-70.30899869919435,8.943160626844374,0.005,0.9999977619350411,-63.457082507430684,-72.36688318176965,8.909800674338967,0.005,0.999324258847649,-72.18170181961003,-85.95735626708307,13.775654447473045,0.005,0.986484405470556,-75.31799359641967,-86.17042691739277,10.852433320973105,132.51201923076923
36.0,0.005,0.9986292548343935,-63.074441978842486,-68.72537377824186,5.650931799399373,0.005,0.9999969047479359,-66.70104849657793,-68.40189755271442,1.7008490561364908,0.005,0.9987733332462809,-74.19321350465582,-91.3873396040631,17.194126099407285,0.005,0.9588202104286488,-77.69526579493903,-101.1764124682317,23.48114667329267,132.51201923076923
37.0,0.005,0.9981329064604831,-64.28839878591474,-71.22414851040786,6.935749724493121,0.005,0.9999952165735293,-66.69528966870891,-70.66831154629836,3.9730218775894457,0.005,0.9976279684008722,-76.27411755243513,-88.11898037657485,11.844862824139724,0.005,0.9561331311113591,-79.21108122877027,-111.72746797727243,32.51638674850216,132.51201923076923
38.0,0.005,0.9979678940180796,-64.73392668013777,-78.2677988726351,13.533872192497327,0.005,0.9999938778554075,-66.60043242401025,-78.88668117333198,12.286248749321729,0.005,0.9967634188107481,-77.38810467944332,-113.80237607220005,36.41427139275673,0.005,0.9456978972558374,-79.45701312685404,-99.45310752554037,19.99609439868634,132.51201923076923
39.0,0.005,0.9978896265093926,-65.20354859712823,-73.40703789890921,8.203489301780976,0.005,0.9999952318964335,-69.03725505933713,-71.14449693045056,2.1072418711134304,0.005,0.9981926530945439,-76.09569932953991,-92.63567497996648,16.53997565042657,0.005,0.9564778179453779,-76.67572088517751,-111.97524644318703,35.29952555800952,132.51201923076923
40.0,0.005,0.9967816254111261,-66.22659904607586,-72.24719895935547,6.020599913279611,0.005,0.9999934322041493,-69.01108628737315,-71.35639423515529,2.345307947782146,0.005,0.9954063777545636,-76.59215617414131,-107.01817229269784,30.426016118556532,0.005,0.9351405303013376,-77.60489134257321,-87.45210248002317,9.84721113744996,132.51201923076923
41.0,0.02,0.9999999239049749,-14.740185027769702,-41.942972872799444,27.202787845029743,0.005,0.9999996066446761,-50.77108240618992,-69.91351291470177,19.14243050851185,0.005,0.9999998866939778,-27.659041963081105,-50.86258914685913,23.203547183778024,0.015,0.9999999672647938,-16.504682149537896,-35.93001885908546,19.42533670954756,132.51201923076923
42.0,0.0125,0.9999096249271747,-19.248338375145558,-41.00134167022599,21.753003295080433,0.005,0.9999999347624976,-52.7820748027403,-58.40406618609602,5.62199138335572,0.005,0.9999997754381988,-35.46895114094464,-54.72742837259635,19.25847723165171,0.015,0.999992917800758,-19.762361893162353,-54.421679483578714,34.659317590416364,132.51201923076923
43.0,0.005,0.9984508296336768,-31.95888850814342,-67.3864379856296,35.42754947748618,0.005,0.9999996368840222,-57.24218679087571,-59.66849792544405,2.426311134568344,0.005,0.9999900953205965,-50.11406621765013,-72.54322154425292,22.42915532660279,0.005,0.9998407180129933,-32.3839791428063,-68.77031949769551,36.386340354889214,132.51201923076923
44.0,0.005,0.9997974893071654,-50.573564013869465,-71.22414851040786,20.650584496538393,0.005,0.999999667863543,-59.51343831133314,-105.53811037316173,46.02467206182859,0.005,0.9996948123778637,-67.28352875509478,-88.70041049866408,21.416881743569306,0.005,0.9996182358354423,-54.56123590946816,-85.94775752212165,31.38652161265349,132.51201923076923
45.0,0.005,0.9987957422021516,-62.3501985257536,-66.78717351808073,4.436974992327137,0.005,0.9999957864228871,-64.49204367164245,-66.67149012066201,2.179446449019565,0.005,0.9984846709514691,-72.17455620346863,-83.803871854627,11.629315651158379,0.005,0.9697302964824795,-76.9218442021332,-89.6866913635522,12.764847161418999,132.51201923076923
46.0,0.005,0.9982185872126129,-63.074441978842486,-71.22414851040786,8.149706531565371,0.005,0.9999962496254589,-66.56169888530385,-72.70450515000392,6.14280626470007,0.005,0.9972676824355821,-74.9396072735542,-82.80184840136714,7.862241127812936,0.005,0.9531322295727648,-77.2412875358541,-96.5576921849022,19.316404649048096,132.51201923076923
47.0,0.005,0.9983575577013198,-63.86461280451597,-71.22414851040786,7.359535705891886,0.005,0.9999955878365638,-66.13352716866116,-87.19581777243565,21.062290603774485,0.005,0.9969708366537585,-74.25281500954381,-99.82223780126219,25.56942279171838,0.005,0.9498110777329427,-78.5123161578195,-129.45861131355747,50.94629515573797,132.51201923076923
48.0,0.005,0.9983807821407417,-65.70002027162887,-69.48114499602985,3.781124724400982,0.005,0.9999965098778214,-68.85128242083076,-68.85128242083076,0.0,0.005,0.9973237439105659,-75.39208283049786,-93.00487743859335,17.6127946080955,0.005,0.9673786005638823,-77.34923653546855,-94.90118610323434,17.55194956776579,132.51201923076923
49.0,0.005,0.9972806638493859,-66.22659904607586,-72.24719895935547,6.020599913279611,0.005,0.9999909906428744,-68.84608034367447,-73.8397938790498,4.993713535375321,0.005,0.9965205547990649,-76.46135299095522,-83.81607855091623,7.354725559961011,0.005,0.9497700788087963,-78.00748029783212,-96.15589541402775,18.148415116195636,132.51201923076923
50.0,0.005,0.9966390279870565,-65.70002027162887,-71.22414851040786,5.524128238778985,0.005,0.9999922040166889,-68.9500700872608,-74.48433590402955,5.534265816768752,0.005,0.9921315724911514,-76.90599244419191,-97.6013572580507,20.695364813858788,0.005,0.9448701641188656,-79.01898316456663,-86.54557937660601,7.5265962120393795,132.51201923076923
51.0,0.0225,0.998547420469067,-13.049683519639109,-27.257117140644958,14.20743362100585,0.005,0.9999992352556043,-52.75923057918816,-64.23605338739151,11.476822808203345,0.005,0.9999999061538294,-27.64842416940549,-40.40545456592065,12.757030396515159,0.02,0.9997486122150772,-14.685736941094662,-24.208202994963038,9.522466053868376,132.51201923076923
52.0,0.0275,0.9992278373252391,-11.856565268730376,-31.83375948262035,19.977194213889973,0.005,0.9999994976306023,-57.24161036899503,-62.670707698737885,5.429097329742852,0.005,0.999999958218264,-29.006852359471157,-40.48255427530651,11.475701915835355,0.02,0.9999441153474559,-14.371417656539265,-30.14648916076039,15.775071504221124,132.51201923076923
53.0,0.01,0.9999990108811144,-20.033995697557888,-38.20289777637217,18.16890207881428,0.005,0.9999999545551381,-56.85451494900448,-64.26544317440006,7.41092822539558,0.005,0.9999999817164146,-32.87253405457915,-49.050268488144624,16.177734433565476,0.01,0.999999923847894,-20.729378119960362,-52.153507493973095,31.424129374012733,132.51201923076923
54.0,0.01,0.9987280308538032,-22.222589354759744,-37.98999766606634,15.767408311306593,0.005,0.9999994863237935,-56.456871380540015,-57.150239940907,0.6933685603669844,0.005,0.999999832864174,-33.54306705156787,-48.3571441261072,14.814077074539334,0.01,0.9998759437463081,-23.54581686357278,-48.87482104520145,25.32900418162867,132.51201923076923
55.0,0.01,0.9999737639769487,-24.477182186034334,-36.72044076695198,12.243258580917647,0.005,0.999999903291053,-56.239145488744256,-64.08004011275824,7.840894624013984,0.005,0.9999996366743401,-38.91705010619115,-71.93429248187444,33.01724237568329,0.01,0.9999967178346288,-25.838937765189836,-38.991925179328405,13.152987414138568,132.51201923076923
56.0,0.005,0.9996855654015477,-26.643601825538266,-47.63822053179,20.99461870625173,0.005,0.9999996781065911,-56.84126541874982,-60.715750856179405,3.874485437429584,0.005,0.9999986746602555,-42.430900417901924,-72.34652194134058,29.91562152343866,0.005,0.9996919118610247,-27.492812156469665,-40.03995461702875,12.547142460559083,132.51201923076923
57.0,0.005,0.9998594227448309,-30.537819561622044,-52.13929832162136,21.601478759999317,0.005,0.9999997501875878,-56.3222718889876,-57.72948529033967,1.4072134013520667,0.005,0.9999980914646384,-47.52613904558154,-58.20144618682335,10.67530714124181,0.005,0.9999088983842823,-31.45046823805739,-72.6999603797333,41.24949214167591,132.51201923076923
58.0,0.005,0.9984810399077905,-34.57397025628313,-40.680146129148255,6.106175872865123,0.005,0.9999998753734889,-56.37311604703052,-66.83217780204168,10.459061755011163,0.005,0.999994536149537,-50.43963635478236,-77.06003187476841,26.620395519986054,0.005,0.9998239215614548,-35.383818877082184,-73.19766729903368,37.8138484219515,132.51201923076923
59.0,0.005,0.9999928515062148,-26.82780254469385,-45.85466927624269,19.02686673154884,0.005,0.9999995502838592,-56.351316235592606,-58.83945484389532,2.4881386083027124,0.005,0.9999998396576613,-35.668961051616726,-36.70979803416308,1.0408369825463524,0.005,0.9999987667409824,-28.4894914697891,-34.54650979424075,6.057018324451647,132.51201923076923
60.0,0.0125,0.9999598742669891,-19.580355182754086,-25.438316662553117,5.85796147979903,0.005,0.9999998585104392,-51.35104555566475,-54.48640130874124,3.135355753076496,0.005,0.9999999491268795,-29.730999263345783,-32.922610744625345,3.191611481279562,0.01,0.9999509664189015,-21.596775724168054,-40.1893823019304,18.592606577762346,132.51201923076923
61.0,0.025,1.0,-11.938955906470882,-35.741923058769785,23.802967152298905,0.005,0.9999999976809969,-39.27756734758585,-41.35701142300335,2.0794440754174985,0.02,0.9999999999995914,-14.097014607796005,-16.164628923913227,2.067614316117222,0.015,0.9999999999999999,-17.28021004578,-28.8035078798425,11.5232978340625,132.51201923076923
62.0,0.0225,0.9999767626774341,-12.232011937260738,-27.851580241905648,15.61956830464491,0.005,0.9999999947897686,-40.61713125051941,-46.65690297065042,6.039771720131014,0.02,0.9999999991418681,-15.236589528592987,-29.402461944184548,14.165872415591561,0.02,0.9999964672399067,-15.914141264184265,-23.812616622989236,7.898475358804971,132.51201923076923
63.0,0.025,0.9999928628554391,-12.021077656598635,-28.864000746924063,16.842923090325428,0.005,0.9999999927450952,-42.24919320231956,-52.044520110118484,9.795326907798923,0.02,0.9999999993075934,-14.2118492794701,-25.072027491409457,10.860178211939358,0.0175,0.9999982957111376,-15.607982435179776,-97.2280043225721,81.62002188739233,132.51201923076923
64.0,0.0225,0.9996419703692973,-13.755152925705445,-25.87028670263425,12.115133776928804,0.005,0.9999999960922941,-33.43839288487045,-41.08630801765155,7.647915132781094,0.02,0.9999999978856567,-15.759896786554856,-21.221529314252056,5.4616325276971995,0.0175,0.9999496997442495,-15.853408416018745,-19.383961175224762,3.5305527592060173,132.51201923076923
65.0,0.0225,0.9999921718732279,-12.79619995911099,-22.661452629832084,9.865252670721095,0.005,0.9999999963473275,-36.05948870312205,-44.668159046146634,8.608670343024585,0.0225,0.9999999994990186,-13.63872587495251,-32.88357672893811,19.2448508539856,0.02,0.999998297573188,-15.194258514927114,-30.18701865199118,14.992760137064067,132.51201923076923
66.0,0.0225,1.0,-13.904969509481553,-23.543854094269246,9.638884584787693,0.005,0.9999999999918312,-31.98649954179098,-42.88612755890001,10.899628017109027,0.0175,0.9999999999999999,-14.801786656029549,-39.30233924569821,24.500552589668658,0.0175,1.0,-14.351001168001416,-24.061775417137955,9.71077424913654,132.51201923076923
