,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.035,0.9059899885820486,-9.733216036380579,-20.366281718945803,10.633065682565224,0.005,0.2927819245196392,-30.0498850672027,-46.49388477527939,16.443999708076692,0.0325,0.911880285307484,-10.164101661616742,-28.015183787345684,17.851082125728944,0.0075,0.8403198727729396,-24.298322110512803,-43.23401366814153,18.935691557628726,198.76802884615384
1.0,0.0375,0.9416092858758139,-8.84017595571855,-16.899132312823752,8.058956357105203,0.005,0.6426616548909175,-28.534208302400224,-29.413816205287112,0.8796079028868888,0.035,0.9478494751655739,-8.241045008196782,-27.106001086263195,18.864956078066413,0.005,0.8722694547216936,-31.48911597877246,-41.64634807262815,10.15723209385569,198.76802884615384
2.0,0.0325,0.9218586612923688,-9.358113140124809,-14.656963413333418,5.298850273208609,0.005,0.3902078785804182,-28.61234112655459,-32.907905965047036,4.295564838492446,0.035,0.9287062259887001,-8.91885553540375,-23.09970767988866,14.18085214448491,0.005,0.8272120081873996,-31.281819021028273,-41.214364447466934,9.932545426438661,198.76802884615384
3.0,0.0325,0.8764580017745219,-9.444990070915333,-20.314863138165293,10.86987306724996,0.005,0.5559875325982961,-30.886482532369296,-33.908598300413345,3.022115768044049,0.0325,0.8811922715214415,-9.845749958544678,-20.905161735723496,11.059411777178818,0.005,0.8129137380183364,-32.01979019205927,-41.53499091950977,9.515200727450498,198.76802884615384
4.0,0.03,0.8504902640472081,-11.251870493183727,-33.04066077630974,21.788790283126016,0.005,0.5106623750001164,-30.057963587172406,-35.475880056671926,5.41791646949952,0.0275,0.8612586624816638,-10.48505691496116,-31.362042093255674,20.876985178294515,0.005,0.7859070084273834,-33.94936909974252,-44.809837710719485,10.860468610976966,198.76802884615384
5.0,0.025,0.877918962648434,-12.3462701140486,-33.139565522831404,20.793295408782804,0.005,0.7370704757620822,-32.24689814460219,-36.7956813371306,4.548783192528411,0.025,0.8814218440637795,-11.360692112383632,-19.415935925059987,8.055243812676355,0.005,0.847225482070876,-34.11403111073885,-67.59331881075875,33.479287700019896,198.76802884615384
6.0,0.025,0.8075642205967164,-13.114985427282942,-25.93489235880291,12.819906931519967,0.005,0.7847045959668402,-28.372852936427186,-46.19757364149086,17.824720705063676,0.0225,0.808859956467535,-13.645178411536774,-21.47188950711207,7.8267110955752965,0.005,0.7983860212392865,-32.52314176587855,-44.2649222816885,11.74178051580995,198.76802884615384
7.0,0.02,0.6720970103570356,-14.41885450457602,-28.695677302445254,14.276822797869235,0.005,0.693705191936296,-31.86586767736265,-69.00412239254075,37.1382547151781,0.0175,0.6739153801690768,-14.903038237946749,-23.888979196464955,8.985940958518206,0.005,0.7180953023764065,-35.519656207380216,-40.2775470352352,4.757890827854986,198.76802884615384
8.0,0.0225,0.7980126068108656,-13.026060784048711,-22.204616896394008,9.178556112345296,0.005,0.7872955953287438,-33.86831990457073,-41.116215342934254,7.247895438363521,0.0225,0.8034746262282435,-13.697190077413621,-33.62272425288574,19.925534175472116,0.005,0.8240846159838885,-33.28435517819296,-47.07070443078991,13.786349252596949,198.76802884615384
9.0,0.0325,0.8934407654753453,-10.324533521367375,-40.041903713839105,29.71737019247173,0.005,0.8198681464263637,-28.635819561381798,-37.30732029541761,8.671500734035813,0.03,0.9037671168524183,-11.201879647584672,-21.43327484123857,10.2313951936539,0.005,0.8452520548553326,-33.42501381546683,-56.46870057453366,23.04368675906683,198.76802884615384
