,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.035,0.8932137684204031,-9.232249251722582,-38.61936712806226,29.387117876339676,0.01,0.959558039675528,-23.37530890537621,-35.35616206588713,11.980853160510922,0.0275,0.862029563631746,-10.719216418159842,-30.270620445953508,19.551404027793666,0.0225,0.9733838641515107,-13.345859604137718,-48.98791752062663,35.64205791648891,139.6748310810811
1.0,0.03,0.8371936454784592,-11.219089812197183,-19.093877302862317,7.874787490665135,0.01,0.9241720112449346,-24.096824726102927,-52.675151458219005,28.57832673211608,0.0225,0.819283381368838,-13.749200966834907,-30.281869833192665,16.53266886635776,0.0175,0.8824640737181186,-15.55022157148976,-21.369125125085354,5.818903553595595,139.6748310810811
2.0,0.03,0.7859151756516246,-10.824834112719735,-22.36956146466119,11.544727351941454,0.005,0.9360886849265017,-27.11814222872663,-36.76429335245024,9.646151123723609,0.025,0.7505079431975863,-13.517647874717573,-26.8282729190164,13.310625044298826,0.015,0.8506581050172765,-18.090114687646338,-37.01652324050967,18.926408552863332,139.6748310810811
3.0,0.0275,0.7231511338105749,-11.831092866417748,-23.093069554284675,11.261976687866927,0.005,0.8424120025299986,-31.812399121580345,-47.81236901640714,15.999969894826794,0.025,0.734465895004378,-13.747969850397421,-26.69995471395295,12.951984863555527,0.015,0.7835633749942179,-18.469023671066275,-43.90559110716509,25.436567436098812,139.6748310810811
4.0,0.0275,0.790733483012929,-11.056471393420825,-17.983530512649725,6.9270591192289,0.005,0.4694801025375784,-32.25031201233949,-37.45994040741291,5.209628395073416,0.02,0.777259644593199,-14.284206597841196,-21.93503556268183,7.650828964840633,0.015,0.8504747777247036,-18.0656654942668,-23.988014813619884,5.922349319353085,139.6748310810811
5.0,0.0275,0.843534384460653,-11.57816034378788,-17.230314100514843,5.652153756726962,0.005,0.6104446682540143,-30.17742922242637,-32.883242140574424,2.7058129181480552,0.025,0.85207826278949,-12.801448011071663,-23.016353049216587,10.214905038144924,0.0125,0.85077285625119,-19.03187867412295,-31.771380449585372,12.739501775462422,139.6748310810811
6.0,0.0225,0.7852625393801943,-12.516695472077897,-26.716701419623547,14.20000594754565,0.005,0.7601825739745312,-30.80842263345367,-43.35002186581733,12.541599232363662,0.0225,0.8064383107809072,-13.70653592170418,-28.042039322581395,14.335503400877215,0.01,0.7356109260260338,-20.561622106022888,-46.27256654035179,25.7109444343289,139.6748310810811
7.0,0.02,0.7171568456697353,-13.593689062788885,-31.418337437425144,17.82464837463626,0.005,0.8249899529593333,-32.882780714790805,-41.022491710490684,8.139710995699879,0.0175,0.712371762596064,-15.991361391835223,-27.189740373543035,11.198378981707812,0.01,0.6832363192145727,-23.289145407106993,-37.71890190976863,14.42975650266164,139.6748310810811
8.0,0.0325,0.844589630465826,-10.256699292975185,-17.811526876205452,7.554827583230267,0.005,0.8635845883912248,-34.62271780730567,-37.22300939590519,2.600291588599518,0.025,0.8098749727300165,-12.408583200114574,-27.499101343423114,15.09051814330854,0.0225,0.9478707728238647,-13.395891312569777,-22.091168322153322,8.695277009583545,139.6748310810811
9.0,0.035,0.920114936891453,-9.206171065214106,-64.5307093106073,55.3245382453932,0.005,0.9519525921381677,-29.357630557504816,-34.33218765227764,4.974557094772823,0.0275,0.8807818658691243,-11.890069387746463,-22.153639345381123,10.26356995763466,0.0225,0.9903346041779464,-13.513491415616718,-26.425541246085565,12.912049830468847,139.6748310810811
10.0,0.0275,0.8702502515986764,-11.726050563102305,-17.146392315288924,5.420341752186619,0.01,0.9877899294245684,-25.410259930248206,-26.63769586440913,1.2274359341609262,0.0225,0.8363592361378315,-13.162565292492353,-43.57300563939483,30.410440346902476,0.015,0.9247812743291721,-18.41939142548506,-39.90117407721006,21.481782651725,139.6748310810811
11.0,0.025,0.862262666405906,-12.900818280589458,-19.036009632382754,6.135191351793296,0.01,0.9959219207367717,-21.04438755946046,-25.365117572817756,4.320730013357295,0.02,0.7988993948062356,-15.491149622338538,-49.38683013982063,33.89568051748209,0.015,0.8713669006023702,-19.228472773011767,-25.63820097483832,6.409728201826553,139.6748310810811
12.0,0.0275,0.8869099453436659,-11.978272773173257,-23.297890830771756,11.319618057598499,0.015,0.9945945680760072,-19.558248434036823,-24.579319993522667,5.0210715594858435,0.015,0.8214832314723258,-16.825915107452648,-19.40828638356339,2.5823712761107416,0.0125,0.802283396873968,-18.417758734819163,-36.58475769107858,18.166998956259416,139.6748310810811
