,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.02,0.8527856253200409,-14.034226971535697,-21.953530378640668,7.919303407104971,0.01,0.9286397395569637,-20.94414748761028,-29.10327287719943,8.15912538958915,0.0125,0.8765895151667072,-19.478138554685223,-32.79960465692028,13.321466102235057,0.0125,0.9141363477698271,-19.788879072319475,-46.464585332043,26.675706259723526,161.4990234375
1.0,0.02,0.8773133394704004,-13.892901827328902,-25.816115359979932,11.92321353265103,0.01,0.8227336841014281,-22.02250490853843,-22.02250490853843,0.0,0.015,0.7746879628008999,-16.799480347232453,-39.761145213449936,22.961664866217482,0.005,0.8619405640712101,-30.851006280234408,-53.08842861087999,22.23742233064558,161.4990234375
2.0,0.0225,0.9572163630704251,-11.995362005379324,-29.40188673574003,17.406524730360708,0.015,0.9826904629550361,-17.484571383062416,-25.71325572925958,8.228684346197163,0.015,0.9176080865508304,-16.588583029525008,-27.056432319916045,10.467849290391037,0.005,0.27759746875538693,-37.464627579179066,-52.811114977643456,15.34648739846439,161.4990234375
3.0,0.02,0.8923458515197776,-15.207689606854904,-20.41170376463962,5.204014157784714,0.01,0.9120375469066102,-20.36267569309611,-42.84118990949251,22.478514216396402,0.015,0.8593142626022063,-17.197805502475585,-25.087873844537523,7.890068342061937,0.005,0.38591866167338884,-31.239532225329405,-62.43502438925847,31.195492163929067,161.4990234375
4.0,0.02,0.9026648239720131,-12.094600727647062,-28.171909467049936,16.077308739402874,0.0125,0.9500118237651848,-19.139164793258033,-26.427865566291572,7.28870077303354,0.0175,0.8756163556584763,-15.143080925401456,-35.507816461649924,20.364735536248467,0.005,0.027716948708402224,-30.148095391681903,-38.97487643151186,8.826781039829957,161.4990234375
5.0,0.025,0.8297343167558541,-12.379396365600236,-13.468141401293956,1.0887450356937194,0.01,0.9165664820655948,-23.10492632655682,-28.338294638440583,5.233368311883762,0.0175,0.7927535305956286,-14.65545801744728,-17.478182907924797,2.8227248904775166,0.01,0.5309498745865779,-22.19909576275231,-27.145171003271862,4.946075240519551,161.4990234375
6.0,0.0275,0.9061279964739798,-9.238204771332237,-18.28580426891873,9.047599497586495,0.02,0.9649269458891198,-15.864662985161129,-36.246376353908815,20.381713368747686,0.02,0.8943407063805555,-13.991678485693582,-23.814435359019434,9.822756873325853,0.01,0.7294257634864554,-21.002270486005745,-47.64149171439203,26.639221228386287,161.4990234375
7.0,0.025,0.8554633236933433,-11.77675050250546,-24.20461561224446,12.427865109739,0.0175,0.9723019324624445,-16.247080907353553,-31.024995509186137,14.777914601832585,0.0125,0.733059893325183,-18.04016910963457,-27.028258948661993,8.988089839027424,0.01,0.7955562308238616,-22.32495702732106,-41.925385069554395,19.600428042233336,161.4990234375
8.0,0.02,0.845704297010321,-14.442082210433774,-24.63224036120088,10.190158150767104,0.0125,0.9554667874943822,-19.671817465393502,-50.139619286859386,30.467801821465883,0.01,0.8401953588556813,-21.154536699974894,-38.57032357166162,17.415786871686723,0.01,0.9311953338373732,-20.82728374922272,-45.58537203857305,24.75808828935033,161.4990234375
9.0,0.0175,0.87194017828994,-15.583297687136625,-21.889858092518214,6.306560405381589,0.01,0.8497191396646511,-22.82926067943791,-23.360775613555262,0.5315149341173537,0.015,0.8024136130070113,-16.02821964780767,-62.21272924136056,46.18450959355289,0.005,0.8122348109301892,-30.45296516729319,-45.45353274755831,15.000567580265123,161.4990234375
10.0,0.02,0.9572634590503486,-12.043993889607208,-29.205035562520717,17.16104167291351,0.015,0.9827426143117928,-16.810844881840822,-25.96791057706609,9.157065695225267,0.015,0.9520144210136375,-16.886286552356392,-44.984472816606875,28.098186264250483,0.005,0.23589129311314633,-36.45726126215982,-57.625071131656604,21.167809869496786,161.4990234375
11.0,0.0225,0.8207799671647938,-13.042403224546405,-20.32381269334379,7.281409468797385,0.015,0.8394524462805713,-18.494859509614038,-37.24306479747551,18.748205287861474,0.0175,0.9005119054025481,-15.098503735342796,-32.25926127159169,17.160757536248894,0.005,0.4135968855989305,-31.35869033325878,-62.9325299334667,31.573839600207915,161.4990234375
12.0,0.02,0.8855769618124197,-13.084080838609559,-33.34947209442271,20.26539125581315,0.015,0.9393663008380347,-17.45662521227713,-23.806755596442073,6.350130384164942,0.0175,0.8130635050372795,-16.29265122590241,-46.01869354644415,29.726042320541737,0.005,-0.10672161969030791,-30.755629427915117,-50.60155119998206,19.845921772066944,161.4990234375
13.0,0.025,0.7845756438532341,-11.713369336765343,-19.473781565706435,7.760412228941092,0.01,0.8116242505362615,-22.118227441142267,-36.90231787418104,14.78409043303877,0.0225,0.7167950738058545,-12.258315079785895,-27.237859077925073,14.979543998139178,0.01,0.670145425387669,-23.53101427849655,-31.476933024850094,7.945918746353545,161.4990234375
14.0,0.035,0.9407915836148821,-7.431784454838931,-14.374169887505705,6.942385432666773,0.0175,0.9789296846130899,-15.526740866032643,-24.631624593001575,9.104883726968932,0.0225,0.9112681856273961,-12.974008107637065,-26.678451960522075,13.70444385288501,0.01,0.8788097887419187,-21.031493822104697,-39.530106862871676,18.49861304076698,161.4990234375
15.0,0.025,0.9019716759618097,-11.75912830710814,-31.400719812398457,19.641591505290315,0.015,0.9644794660996744,-18.044081176818786,-38.99858126704389,20.954500090225103,0.0125,0.8589597367347904,-18.26965366915976,-32.00921017071734,13.73955650155758,0.01,0.7263091464504753,-21.51048455662366,-33.556535993645184,12.046051437021525,161.4990234375
