,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.02,0.4147213786741661,-14.792226272816063,-30.088784276897616,15.296558004081554,0.005,0.5950923438482254,-27.641965154674338,-29.093381667219408,1.4514165125450695,0.02,0.40636630543686986,-15.280578814757629,-19.117584235562372,3.8370054208047435,0.005,0.03901094961407949,-28.405114853567884,-38.08220214356347,9.677087289995587,123.046875
1.0,0.0175,0.5959446097443898,-14.256295079284783,-29.07971994336765,14.823424864082867,0.01,0.6778803178988575,-25.494838486490224,-29.546728523058547,4.051890036568324,0.0175,0.5971234763939396,-16.013049517391373,-30.828287455111933,14.81523793772056,0.005,0.44190881931371084,-27.037895710569536,-46.92828350336307,19.890387792793533,123.046875
2.0,0.0225,0.39006885608674347,-13.566790743237004,-14.73404373785409,1.1672529946170869,0.01,0.6867995442617353,-23.159119950965312,-27.09532652179559,3.9362065708302794,0.0175,0.25082841013461143,-15.323047454435626,-34.54635971890695,19.223312264471325,0.005,0.29595532429110427,-26.88004014825014,-45.09550688320068,18.21546673495054,123.046875
3.0,0.02,0.29782358755331834,-14.931766908017341,-45.52560751952859,30.59384061151125,0.01,0.7847122699245004,-22.833553982190992,-27.15972716350612,4.326173181315127,0.02,-0.011260981861649163,-16.172779558743304,-19.95985080765172,3.787071248908415,0.005,0.2043675206968618,-27.987797703099858,-52.51350758393641,24.52570988083655,123.046875
4.0,0.02,0.37264553267069206,-15.195937331520499,-34.241266051822755,19.04532872030226,0.01,0.8078306805096384,-24.054999833928342,-31.63266300826185,7.577663174333509,0.02,0.2044851669995967,-14.909294724669413,-46.49385702644474,31.58456230177533,0.005,0.5132596550564532,-28.97127165870822,-50.384046675793705,21.412775017085487,123.046875
5.0,0.0225,0.5144090502680324,-13.56262737387068,-16.46979232901495,2.907164955144271,0.01,0.8501637970900355,-24.357013988519363,-26.394231444648383,2.037217456129021,0.02,0.37460874094122626,-15.762263162410148,-19.946971137749493,4.184707975339345,0.005,0.11610027868131154,-28.194390973173107,-40.22853761344422,12.03414664027111,123.046875
6.0,0.02,0.5067445536466533,-13.141378022686208,-30.322837480066845,17.181459457380637,0.005,0.8253946505715467,-26.064391080271413,-44.51646969964447,18.452078619373054,0.0175,0.47636221259578543,-16.451522669873476,-26.71827310627954,10.266750436406063,0.005,0.07237810342045112,-27.321323465102616,-30.975648682294896,3.65432521719228,123.046875
7.0,0.0175,0.44149285588979786,-14.423978535518707,-36.942392488899536,22.51841395338083,0.005,0.8772623476545863,-27.035959368149484,-28.586602241690848,1.5506428735413635,0.015,0.29003005616834243,-17.33469786238745,-25.68976347076039,8.35506560837294,0.005,0.1514411655656438,-28.82740767244503,-40.01662946909675,11.189221796651719,123.046875
8.0,0.0175,0.1339104458078644,-16.160097820400495,-33.14476357313308,16.98466575273259,0.005,0.4445412453009131,-27.16784075701967,-38.08547574700786,10.917634989988194,0.015,0.07754421438123064,-18.114217195493797,-28.7689887915859,10.654771596092104,0.005,0.1911225249791368,-29.416197054017825,-34.658008393709615,5.24181133969179,123.046875
9.0,0.02,-0.031694929377232076,-13.937792944839664,-32.724680733111185,18.78688778827152,0.01,0.18127432405582447,-23.845381674914513,-31.931594937015,8.086213262100486,0.015,-0.07253903501071063,-18.306167614783927,-35.21230814246509,16.906140527681163,0.005,0.07084934635494465,-29.629291778136096,-36.47882727571965,6.849535497583556,123.046875
