,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0225,0.7699648068023932,-12.943164938837244,-45.64907649135128,32.70591155251404,0.005,0.7010151722833036,-58.09671804401155,-59.926846641067314,1.8301285970557615,0.01,0.8432303791799672,-20.99635265763858,-40.120750116571806,19.124397458933224,0.02,0.7557898391535092,-14.162535914737957,-36.42214107772879,22.25960516299083,123.046875
1.0,0.01,0.4134784116793539,-23.951908912564974,-78.2677988726351,54.31588996007012,0.005,0.6049625027870884,-57.64769213740066,-61.9459544701133,4.298262332712639,0.005,0.6833824399372284,-29.873456721842295,-69.76207494780067,39.888618225958375,0.0075,0.14435859494882258,-24.80851947840611,-78.91087789740604,54.10235841899993,123.046875
2.0,0.005,0.34743037319299763,-43.61992367617574,-63.86461280451597,20.244689128340234,0.005,0.5147300224947267,-60.61688052591428,-83.90061456038384,23.28373403446956,0.005,0.331828659735196,-53.3992523380664,-85.5414626637674,32.14221032570101,0.005,0.04510848026377796,-44.544973740417326,-63.35918710668761,18.81421336627028,123.046875
3.0,0.035,0.9661692606108416,-8.589637158272877,-29.95164431992424,21.362007161651363,0.005,0.9802747871495044,-38.831904024783725,-45.684366520785254,6.852462496001529,0.0275,0.9750478535999222,-11.744003002412981,-12.256523108639518,0.5125201062265372,0.015,0.9066931847617961,-17.504954013132014,-38.03406145391669,20.529107440784678,123.046875
4.0,0.0475,0.7890215566346446,-6.791807228320296,-16.52282151672195,9.731014288401655,0.005,0.9605553828568082,-28.63891042455699,-55.66056781616262,27.02165739160563,0.0325,0.7792329102263402,-9.561730313763325,-11.858414778779112,2.2966844650157867,0.025,0.8170387026589273,-12.207895692339516,-22.06666984348142,9.858774151141905,123.046875
5.0,0.05,0.9168664694262382,-5.317694462687424,-16.587003259276038,11.269308796588614,0.005,0.9117654787645855,-44.279495006798726,-54.50434157647662,10.224846569677894,0.035,0.9432921993749155,-9.481448735407762,-26.884888401234473,17.40343966582671,0.025,0.7837573352068051,-13.080483474630888,-21.30346002397488,8.22297654934399,123.046875
6.0,0.03,0.3513963524824259,-10.394540259285051,-55.34523815907035,44.9506978997853,0.005,0.9034306677064374,-48.456673293397536,-68.04776065456545,19.591087361167915,0.0225,0.2981072198018894,-12.496551490215522,-69.67921168887221,57.18266019865669,0.015,0.6862349440667482,-18.860508532419537,-74.16361847799033,55.30310994557079,123.046875
7.0,0.005,0.36248384849873017,-42.88764145375963,-58.26779887263511,15.380157418875484,0.005,0.48382814780429173,-61.12677262254078,-75.34163248768569,14.21485986514491,0.005,0.13325591343023221,-51.157355870174186,-66.41901488905395,15.261659018879769,0.005,0.14715588413660313,-45.60795869760425,-70.33782611393308,24.729867416328823,123.046875
8.0,0.0275,0.8800160099253262,-10.92161246452381,-17.9984142264517,7.076801761927891,0.005,0.930191190804742,-35.30397304105215,-35.30397304105215,0.0,0.02,0.8721915141206634,-14.664773964084208,-17.973426479487003,3.3086525154027946,0.025,0.9021273235356982,-12.376944425305126,-33.09187493235225,20.71493050704712,123.046875
9.0,0.05,0.6826096042787074,-6.569871989886113,-20.942052090951208,14.372180101065094,0.005,0.6590650295956229,-29.94247506211535,-42.38368782488169,12.441212762766341,0.035,0.7151133015514812,-9.567223781247638,-24.120893018066752,14.553669236819115,0.0225,0.623535879721051,-13.545422129231087,-61.311609973465906,47.76618784423482,123.046875
10.0,0.035,0.7893839731348693,-8.430763878206793,-15.701429327441499,7.270665449234706,0.005,0.6516342845579077,-35.748920469470605,-64.71148477575478,28.96256430628418,0.0225,0.7753008206936626,-12.134534217309348,-22.384511935575713,10.249977718266365,0.0225,0.8370830577550212,-12.932081651513968,-35.37368599802049,22.441604346506523,123.046875
11.0,0.0325,0.7845662486092938,-9.053599702891795,-27.74747844582005,18.693878742928256,0.005,-0.12666441578017892,-40.95907927758741,-45.85902413780602,4.8999448602186035,0.025,0.7717013844441185,-11.4596128687056,-43.45628026748599,31.99666739878039,0.0175,0.8716757966022084,-15.391230786085227,-26.455812651633824,11.064581865548597,123.046875
12.0,0.0125,0.2226162467620207,-16.787936206156925,-32.41160556428931,15.623669358132386,0.005,-0.026553494796230873,-41.95691872997715,-59.23133945434422,17.274420724367076,0.0075,-0.018918938029306963,-25.84588122733157,-39.60223359886256,13.75635237153099,0.01,0.6876733500125084,-21.73367540823163,-32.40156422638398,10.667888818152353,123.046875
13.0,0.02,0.8295638824756578,-15.135301701545538,-42.07660457992975,26.941302878384214,0.005,-0.04006157125368113,-45.0841840767557,-65.96913082797697,20.88494675122127,0.01,0.39461846238779547,-22.548751092877218,-36.72592024754901,14.177169154671795,0.0175,0.9331942779059645,-15.342323659610337,-31.618380823604973,16.276057163994636,123.046875
14.0,0.045,0.6623657230019557,-7.062490915380817,-17.273749751592142,10.211258836211325,0.005,0.6584785151678765,-29.063387615396493,-37.51383439090971,8.450446775513214,0.0375,0.7181805640928058,-8.066929264864802,-29.910109677064227,21.843180412199423,0.0225,0.6635401635127147,-12.617563154781822,-26.292035650724728,13.674472495942906,123.046875
