,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0125,0.41510103239159474,-19.58097368115135,-45.71157809423073,26.130604413079382,0.005,-0.9167150546203121,-36.91306029271289,-44.189424657867924,7.2763643651550325,0.005,0.861560582954018,-29.60869421919866,-34.52804349559446,4.919349276395799,0.01,0.8990131742645888,-22.396613957003698,-39.2769432644657,16.880329307462002,161.4990234375
1.0,0.015,0.6866550409679023,-17.224339467426116,-54.52872488064844,37.30438541322232,0.005,-0.908401955440884,-39.85705064027383,-47.45182346789089,7.5947728276170565,0.005,0.8109921171657566,-28.231784877304307,-45.463411664108264,17.231626786803957,0.015,0.9201402805688409,-18.189655320937206,-24.35280242773395,6.1631471067967425,161.4990234375
2.0,0.0125,0.3609828808477934,-19.129356513263833,-54.89393381665978,35.76457730339595,0.005,-0.8863959121045131,-41.60506571929658,-49.16049121180922,7.55542549251264,0.005,0.7879541233318871,-36.899456628279495,-50.86970383792313,13.970247209643638,0.01,0.881618771705619,-20.394118789508212,-39.825925793807706,19.431807004299493,161.4990234375
3.0,0.0225,0.1666420972445686,-13.888038716948724,-19.98761450358026,6.0995757866315365,0.005,-0.8323621748241242,-40.59308767486617,-54.005016551506216,13.411928876640047,0.005,0.6333785240017233,-31.37139202795598,-31.37139202795598,0.0,0.02,0.931747038222423,-15.031513968590698,-23.141491535839442,8.109977567248745,161.4990234375
4.0,0.02,0.857172519421365,-16.28443509594799,-27.318605708627167,11.034170612679176,0.005,0.07831881528035134,-39.62860520687109,-66.74414066342243,27.115535456551335,0.005,0.7923253883630085,-29.12623895378556,-49.81640179414071,20.69016284035515,0.015,0.8905402177572846,-17.42101974095663,-30.09979420025687,12.67877445930024,161.4990234375
5.0,0.01,-0.61060106186409,-24.519641015916047,-31.930126314871504,7.410485298955457,0.005,-0.5844499816045825,-42.43908685129643,-52.817924567867806,10.378837716571375,0.005,0.6863449571290036,-39.22697193599823,-76.39250315457103,37.1655312185728,0.0075,0.8660473632237451,-25.714032438547218,-40.82337442998493,15.109341991437713,161.4990234375
6.0,0.015,-0.05456130604375448,-15.49680575147758,-28.092239813324667,12.595434061847087,0.005,-0.9120233919395975,-35.44673266499351,-45.24154363442035,9.794810969426841,0.005,0.8292370575530772,-26.968539065712672,-48.67110059160244,21.702561525889767,0.015,0.9142634367129651,-18.288407675133687,-35.065493794802975,16.77708611966929,161.4990234375
7.0,0.0125,-0.5834105110759594,-18.567880970523735,-28.613251335622397,10.045370365098663,0.005,-0.9336447141309058,-37.87592993049759,-44.77354262068047,6.897612690182882,0.005,0.6689479414389933,-35.415470819871956,-63.74211773086416,28.326646910992203,0.01,0.8828941381284177,-22.607968632349408,-48.62401952043881,26.0160508880894,161.4990234375
8.0,0.005,-0.9823467548332171,-26.13609867892635,-28.875613331755265,2.739514652828916,0.005,-0.78985833686787,-41.587498553122785,-59.09238957894972,17.504891025826936,0.005,0.23998183014900867,-48.08103841667969,-60.364705289435406,12.283666872755717,0.005,0.9458371431615811,-35.74884647128215,-99.87464679447577,64.12580032319362,161.4990234375
9.0,0.01,-0.3117488041611613,-20.56065040451052,-31.590122071563236,11.029471667052718,0.005,-0.762211676696512,-37.759611502241704,-37.759611502241704,0.0,0.005,0.6370831636366706,-36.208197798505594,-55.131780644822484,18.92358284631689,0.01,0.9173822657166317,-22.640455260896584,-46.97185497232383,24.33139971142725,161.4990234375
10.0,0.0075,-0.694581115319365,-25.329511607330492,-45.118554350710724,19.789042743380232,0.005,-0.9891384360266481,-34.15772530833425,-37.31023211005292,3.1525068017186726,0.005,0.571038496141785,-47.48725065010774,-76.4801987484747,28.992948098366966,0.005,0.8548341836064485,-31.526703745167094,-40.50728239422308,8.980578649055989,161.4990234375
11.0,0.02,0.7439974797695598,-14.616806755241644,-30.277134558477748,15.660327803236104,0.005,-0.9780261027442837,-36.726573268784925,-41.847512032438594,5.120938763653669,0.005,0.7456221752417952,-27.10571726125737,-37.151748734050585,10.046031472793214,0.015,0.9017582702875478,-16.862065669733884,-25.66173003168555,8.799664361951667,161.4990234375
12.0,0.015,0.6950091950796589,-16.86484183161971,-27.223734135470043,10.358892303850332,0.005,-0.504129780418931,-37.84021582216886,-51.3689308523882,13.528715030219345,0.005,0.8653987196189906,-27.392932729611704,-41.269311873282746,13.876379143671041,0.015,0.8706360653688924,-18.703359969165547,-36.7141606818944,18.01080071272885,161.4990234375
13.0,0.015,0.47599027441380676,-16.034718135343283,-28.895332580277877,12.860614444934594,0.005,-0.9233165680573604,-39.605003872178386,-49.71768487809456,10.112681005916173,0.005,0.3272464927287658,-27.17428503397807,-36.102131540347855,8.927846506369786,0.01,0.5697825876600062,-20.520775188274488,-33.67481592064599,13.154040732371502,161.4990234375
14.0,0.015,0.6184570126064626,-15.678798825229363,-42.35795163919755,26.679152813968187,0.005,-0.90061661738547,-41.083851809821496,-54.653863387300134,13.570011577478638,0.005,0.8451443159397158,-31.845101831370393,-50.511960551514676,18.666858720144283,0.015,0.917136873864987,-19.172331026921928,-53.462389832897685,34.29005880597576,161.4990234375
15.0,0.01,0.796784827755802,-23.10535040246979,-41.555602212199865,18.450251809730077,0.005,-0.8351239964349331,-38.16410451159393,-49.897447732210516,11.733343220616582,0.005,0.8508498207497405,-33.580745639280416,-59.22857739071909,25.647831751438673,0.01,0.8529177999839502,-23.623515181837185,-36.08401251886815,12.460497337030965,161.4990234375
16.0,0.01,0.3402667525427814,-21.155552689268326,-33.94849812507006,12.792945435801734,0.005,-0.726067512784126,-44.47598456916188,-49.50814385756202,5.032159288400138,0.005,0.8855343352336925,-31.288637910897922,-39.41250600406535,8.123868093167427,0.01,0.8969680333223011,-24.65824725335098,-33.30151574314048,8.643268489789499,161.4990234375
17.0,0.0175,0.37879886217605363,-16.384586713585684,-52.22560007700277,35.84101336341708,0.005,-0.4259272032221348,-46.278185969298434,-62.108316754386536,15.830130785088102,0.005,0.7766182243191573,-27.627817603215146,-44.40872617988742,16.78090857667227,0.015,0.9030901368511,-16.77210014544643,-25.704287708403623,8.932187562957193,161.4990234375
18.0,0.0075,-0.20533337341907212,-22.52548486364844,-37.142839832147445,14.617354968499004,0.005,-0.517287407057845,-48.81789290920727,-62.1903359210574,13.372443011850123,0.005,0.6635370094650442,-39.058378514194835,-69.48002018645428,30.421641672259447,0.005,0.8360801826121074,-26.398252030851218,-48.01169590784818,21.61344387699696,161.4990234375
19.0,0.01,0.30083461463240807,-20.98826203433488,-34.10829906133681,13.120037027001928,0.005,-0.35842656758779584,-44.1814931301592,-44.1814931301592,0.0,0.005,0.649108320906281,-35.63359119914998,-66.08885276185502,30.45526156270504,0.01,0.863275772475822,-22.092897915800606,-27.527793972156157,5.4348960563555515,161.4990234375
20.0,0.01,0.8186163032917462,-20.803470050640026,-33.4189189887364,12.615448938096375,0.005,-0.6830071594656705,-43.75684823876118,-58.76131778393771,15.004469545176534,0.005,0.7313620276710628,-34.57125921161352,-70.8516167935369,36.28035758192338,0.01,0.8820047056959625,-21.846675095005878,-33.64670268742141,11.800027592415532,161.4990234375
21.0,0.0075,0.5585977366030308,-24.356830464272953,-47.5584136640541,23.201583199781147,0.005,-0.40228873869879406,-47.179841238652706,-58.37009462522193,11.190253386569225,0.005,0.7440824070607533,-40.53187688756541,-51.1028959158149,10.571019028249488,0.005,0.8869535225740338,-28.229095261654656,-37.35761426327788,9.128519001623225,161.4990234375
22.0,0.02,0.6848440470296788,-12.855817562564917,-41.96104997525214,29.105232412687222,0.005,0.6407256470016099,-42.02472937633611,-46.50991146231125,4.48518208597514,0.0075,0.7874953065247143,-25.284933015306787,-38.0562801839218,12.771347168615012,0.02,0.8698285469885272,-15.388614424194385,-38.19083265031941,22.80221822612502,161.4990234375
23.0,0.015,0.2132436478813974,-16.805387805693517,-33.964622264043754,17.159234458350237,0.005,-0.6112823916642964,-40.45701539105978,-48.811150434871394,8.354135043811617,0.005,0.6595668636910681,-33.965715369683956,-72.64621759970645,38.68050223002249,0.0125,0.8522531241294351,-18.259321086925308,-44.582325556993325,26.323004470068017,161.4990234375
24.0,0.0075,-0.6621697037180833,-24.917994794064853,-52.29452044375598,27.376525649691125,0.005,-0.5859391764394439,-45.97532216743238,-58.0772328972956,12.10191072986322,0.005,0.7141787770335322,-46.27938480414465,-109.87392175968714,63.59453695554249,0.005,0.8784433096258416,-29.741819496974536,-58.80283453687619,29.061015039901655,161.4990234375
25.0,0.0125,0.44473986971049445,-17.289195235865172,-51.13440010070433,33.84520486483916,0.005,-0.383452201922074,-41.076689272502094,-49.42057209297331,8.343882820471215,0.005,0.7308371079448117,-28.035602073966942,-58.218596104705505,30.182994030738563,0.015,0.9349363624923404,-17.57926914036061,-36.59549109877918,19.01622195841857,161.4990234375
26.0,0.005,-0.6264773322239937,-26.2419337544668,-30.65133466807844,4.409400913611641,0.005,-0.827554900943847,-42.49859589377793,-47.7890708368378,5.29047494305987,0.005,0.4045973862971598,-41.9660172950502,-91.12367510970822,49.157657814658016,0.005,0.8857129414475112,-28.631306541840026,-48.481405143217415,19.85009860137739,161.4990234375
27.0,0.0175,-0.4697648592941316,-15.984800128033843,-32.821066194723194,16.83626606668935,0.005,-0.8320987614884471,-39.511585870778696,-88.28513115170423,48.77354528092554,0.005,0.7612800699884045,-26.47086961772688,-48.07786064523444,21.606991027507558,0.015,0.8234266364139339,-18.128075208426154,-28.27110160593935,10.143026397513196,161.4990234375
28.0,0.015,0.392599414460399,-15.740418569246051,-31.643689247629744,15.903270678383693,0.005,-0.5959469601391507,-43.02299999844617,-43.02466756577331,0.0016675673271464575,0.005,0.6907656107290367,-33.139193416161504,-50.03672653762925,16.897533121467745,0.0125,0.857347351823813,-19.21467513734904,-36.869652486034035,17.654977348684994,161.4990234375
29.0,0.0075,-0.4773398426333396,-22.428884641384286,-30.888916273892733,8.460031632508446,0.005,-0.6644637976940411,-43.0259997487685,-50.883303626812825,7.857303878044327,0.005,0.7679300897763881,-40.90848284080921,-53.50572870306956,12.597245862260351,0.005,0.8854301259091026,-27.790940344090295,-47.091010294644676,19.30006995055438,161.4990234375
