,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0225,0.9474859184905392,-13.826482020863377,-33.46930260739208,19.642820586528703,0.005,0.9769005660291616,-30.936701752504995,-32.805082153774485,1.8683804012694907,0.015,0.9516445779668866,-17.014402950385524,-24.888611015212003,7.87420806482648,0.0125,0.9557402524993514,-17.16774527368615,-44.03787546848104,26.87013019479489,132.51201923076923
1.0,0.0175,0.9277697942219284,-15.413753957882797,-37.499369959785916,22.08561600190312,0.005,0.9720635372220597,-32.74482700641756,-45.6572804886099,12.91245348219234,0.01,0.9324630147167194,-20.868819080224476,-31.050905604200402,10.182086523975926,0.01,0.9025355324335592,-20.162335943575606,-41.66774631698794,21.50541037341233,132.51201923076923
2.0,0.01,0.8952528674321224,-24.3625444150883,-40.59457016956276,16.232025754474456,0.005,0.9658346104086449,-34.4164384551562,-45.75781006181568,11.341371606659486,0.005,0.8788624786292324,-28.027333245388885,-43.83145268749193,15.804119442103048,0.005,0.8945569441221701,-26.79689107167382,-47.14779201592865,20.350900944254832,132.51201923076923
3.0,0.0275,0.924147829423193,-11.748254571056698,-42.99923900137636,31.25098443031966,0.005,0.969216985434766,-30.825477777256506,-47.34040582954464,16.514928052288138,0.0175,0.9228717908768104,-14.585657829298837,-41.56562691592859,26.97996908662975,0.01,0.940820765890629,-22.27495923420431,-47.79319556274052,25.51823632853621,132.51201923076923
4.0,0.01,0.8853800977552918,-22.92097042526187,-44.64297412512336,21.72200369986149,0.005,0.9758315422437563,-44.23520284804019,-47.404040507037315,3.168837658997127,0.005,0.8960254549002754,-26.256757115470485,-38.06151152983705,11.804754414366563,0.005,0.8680304305965162,-26.895077385319482,-44.868561733778954,17.973484348459472,132.51201923076923
5.0,0.02,0.9617208640615629,-15.459209407558854,-37.88547306369365,22.4262636561348,0.005,0.9699981805232977,-47.46920629141349,-70.70266395790226,23.233457666488768,0.01,0.9553706556206655,-20.52171005736474,-54.35134990546779,33.82963984810306,0.0125,0.9695192267827748,-19.911977952452446,-30.61067495427954,10.698697001827092,132.51201923076923
6.0,0.015,0.958679680965038,-18.392463157729892,-29.170901672464904,10.778438514735011,0.005,0.9907181804525359,-47.66190838924207,-80.83707756212227,33.1751691728802,0.01,0.9627601846484308,-21.212008101964763,-62.58342341004987,41.371415308085105,0.01,0.9463330885396537,-21.563843224142044,-51.429649222751834,29.86580599860979,132.51201923076923
7.0,0.0175,0.9265826572326218,-14.152888053781867,-18.581754233037042,4.428866179255175,0.005,0.9893603642749919,-41.895224147718906,-53.075891965707164,11.180667817988258,0.0125,0.937752329331146,-19.780419813710488,-34.79567103698098,15.01525122327049,0.01,0.8813880125662252,-21.532015042336322,-39.87746245219098,18.34544740985466,132.51201923076923
8.0,0.015,0.9618287216055921,-17.889629986308563,-24.98436476539649,7.094734779087926,0.005,0.9857241189720274,-40.766988780349614,-59.77087177743791,19.003882997088297,0.01,0.9601242834658876,-21.149191165199937,-36.343381382075826,15.194190216875889,0.01,0.9661173914950059,-20.995365907863352,-43.03408467254228,22.038718764678926,132.51201923076923
9.0,0.01,0.9047634880541011,-23.472397560784152,-39.502409203376885,16.030011642592733,0.005,0.9814598028235237,-42.827351627289005,-53.67285492497664,10.845503297687635,0.005,0.9098448112098978,-26.144197536116224,-41.75782742850231,15.613629892386086,0.005,0.9100171943507925,-26.552877219729666,-49.14791271860348,22.595035498873813,132.51201923076923
