,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0725,0.9742192253438222,-3.012727573967631,-7.102029483972412,4.089301910004782,0.0475,0.9876285568764928,-6.455249038418771,-14.017871723104093,7.562622684685323,0.035,0.9721542910287785,-9.25052010736803,-48.66294656210263,39.4124264547346,0.03,0.8420853357996236,-9.31687155172747,-21.02567144153561,11.708799889808141,123.046875
1.0,0.055,0.9640248983139971,-5.354442040999896,-25.349533371958227,19.99509133095833,0.0325,0.9843901865987484,-9.827218030635827,-14.084820111832848,4.257602081197021,0.025,0.9658684503483554,-12.680517279877638,-71.68253419932435,59.00201691944672,0.02,0.8757673962764588,-14.660239708923406,-20.664618903488538,6.004379194565132,123.046875
2.0,0.045,0.9373243532174705,-6.689859672512862,-13.162348770568988,6.472489098056126,0.02,0.9838973619124034,-14.029937907088303,-22.21049276679928,8.180554859710977,0.02,0.987291604683318,-14.117942970356214,-20.985598124396688,6.867655154040474,0.015,0.8005821793054676,-17.472451290745656,-35.45800701657675,17.985555725831095,123.046875
3.0,0.0325,0.7857676094560686,-9.272061932919641,-18.22663857535366,8.95457664243402,0.015,0.9874542666483003,-17.388722035941495,-28.48796299053212,11.099240954590627,0.02,0.9773251267400412,-14.990591306571355,-41.17441151554688,26.183820208975526,0.015,0.7633901389162583,-16.861128860670192,-28.141216355506486,11.280087494836295,123.046875
4.0,0.065,0.8939696027409009,-3.7190071839375003,-11.293915067324287,7.5749078833867864,0.01,0.9335878489016762,-21.751687009795575,-28.153870478526407,6.402183468730833,0.06,0.9559546418735205,-4.9073774364489395,-25.998116270317013,21.090738833868073,0.02,0.8215793801840459,-14.492591264524373,-32.16100866128016,17.668417396755785,123.046875
5.0,0.05,0.8908784686215415,-5.480061492281431,-22.006191655276904,16.52613016299547,0.0075,0.7828477009119948,-25.305251812621876,-40.1759757936034,14.870723980981523,0.045,0.9545054610502995,-7.447081870397248,-28.39712273067258,20.950040860275333,0.0125,0.8275086891287939,-18.44753895327678,-29.64005244705377,11.192513493776989,123.046875
6.0,0.0325,0.9143236992913241,-8.650420398891752,-33.15029340480577,24.49987300591402,0.005,0.7167389600185287,-29.077614545409006,-35.22428117503193,6.146666629622928,0.0275,0.9684979930281121,-11.719894501338201,-26.36603621796462,14.646141716626419,0.0125,0.777348249226432,-18.6569987199485,-30.24894553265263,11.59194681270413,123.046875
7.0,0.0325,0.9121989970753893,-9.553299864121607,-17.956412744037518,8.403112879915911,0.005,0.576738218657324,-33.21390346525499,-62.20748053560768,28.993577070352693,0.0325,0.9814059099447432,-9.952236629222917,-34.69953466649586,24.74729803727294,0.015,0.7745203984516495,-17.46724518722993,-32.458838806036525,14.991593618806593,123.046875
8.0,0.0475,0.9345057080055912,-6.714516777992566,-12.46710664538475,5.752589867392183,0.005,0.4916355717881656,-28.33865448103523,-28.33865448103523,0.0,0.0375,0.9809716355855157,-8.744608308459439,-33.43309859468425,24.688490286224813,0.0175,0.6505634175320378,-15.539888826444912,-44.50345818574184,28.96356935929693,123.046875
9.0,0.095,0.9385501239938142,-0.6441014805640222,-15.651477871940225,15.007376391376203,0.05,0.9363666569786846,-5.315463320440834,-7.526071233711088,2.2106079132702536,0.0825,0.9469453999245171,-1.2252064086964085,-6.426417506768552,5.201211098072144,0.0275,0.7232551429843035,-11.27090275702271,-23.791773913356607,12.520871156333897,123.046875
