,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.025,0.9212878207408404,-12.043320663985988,-38.311337257720595,26.268016593734608,0.02,0.9578304436284252,-15.469786311964384,-37.133617216381495,21.66383090441711,0.015,0.9311695330667238,-16.813703432273527,-38.643336680741015,21.829633248467488,0.015,0.728198644776821,-18.84168016400405,-65.42558066072925,46.58390049672521,120.18531976744185
1.0,0.0275,0.9179847394888151,-11.895056009795956,-25.339724348173714,13.444668338377758,0.0125,0.9418192356302788,-19.187963570546884,-24.9661433004028,5.778179729855914,0.015,0.9246467771145562,-17.231418855939545,-27.03198278883263,9.800563932893084,0.015,0.8036836177826115,-18.878954600270898,-27.465868260765024,8.586913660494126,120.18531976744185
2.0,0.025,0.9093699156197955,-12.427110152740381,-21.736585245755577,9.309475093015196,0.0125,0.9765102681870156,-17.46576847176484,-17.46576847176484,0.0,0.01,0.9174437902629554,-20.321704207337362,-26.383855422316174,6.062151214978812,0.015,0.8479761685958748,-17.89012098228955,-31.969978890905175,14.079857908615626,120.18531976744185
3.0,0.025,0.8716756702407182,-12.249370703244299,-15.47021714461038,3.2208464413660813,0.015,0.9536177212823791,-16.527914115992196,-23.13994315919873,6.612029043206533,0.0125,0.8479143256523495,-19.912895158169597,-40.91259162791179,20.99969646974219,0.015,0.7914903099711476,-18.11099560172878,-30.636069789160395,12.525074187431613,120.18531976744185
4.0,0.045,0.9168380697856278,-6.9072864118765755,-16.88739404441737,9.980107632540793,0.015,0.8938201804525657,-16.643347872792813,-29.163985154329133,12.52063728153632,0.0275,0.979867425512749,-11.430475747194608,-17.798673125497903,6.368197378303295,0.02,0.9237165158828657,-14.15881704286412,-37.17796290177923,23.01914585891511,120.18531976744185
5.0,0.035,0.9257551452019834,-9.262046714701082,-22.14419939295737,12.882152678256286,0.02,0.9381725517019278,-15.718636378293647,-17.145036641804904,1.4264002635112565,0.0275,0.9551371849444383,-11.845877689813927,-47.042579889817105,35.19670220000318,0.02,0.9425943716771137,-15.112491365324768,-29.26404391441072,14.151552549085952,120.18531976744185
6.0,0.0375,0.8961169006107194,-9.015347374624126,-26.070577013024167,17.055229638400043,0.015,0.9278279616589404,-16.77831407019926,-29.357564953154537,12.579250882955275,0.02,0.9378681072759582,-14.201570861987268,-20.779040762554782,6.577469900567515,0.02,0.8777283072250759,-14.735640746071923,-65.15146539564425,50.41582464957233,120.18531976744185
7.0,0.04,0.910795759541041,-7.5828333540780966,-12.840261434753618,5.257428080675521,0.02,0.9188547111242077,-15.720668761691403,-18.162560170513142,2.441891408821739,0.0275,0.9465915939338815,-11.449330096477272,-31.157839198790448,19.708509102313176,0.015,0.7209169406110347,-16.54994206179851,-34.941537961537264,18.391595899738753,120.18531976744185
8.0,0.035,0.9256004416690599,-8.581090156709358,-25.578253469420478,16.99716331271112,0.02,0.9368035076786503,-14.57244132110781,-20.873634123963253,6.301192802855443,0.015,0.9452283504046455,-16.866381940954863,-26.912862805200763,10.0464808642459,0.02,0.8702141762956328,-14.977721269920824,-24.95784246458936,9.980121194668534,120.18531976744185
9.0,0.0325,0.9223830454103407,-9.156437240082987,-24.06121971178252,14.904782471699534,0.0175,0.9329354423821536,-15.387657982553389,-32.354852527984505,16.967194545431116,0.0175,0.9371808610571697,-15.866614569562374,-24.773507582202594,8.90689301264022,0.0175,0.8483308835594179,-15.21865595719806,-35.97100196092115,20.75234600372309,120.18531976744185
