,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.005,0.9827075480031634,-28.752957661164416,-38.896352984926516,10.1433953237621,0.005,0.9954931981420176,-39.45823672115763,-56.943433090435605,17.485196369277972,0.005,0.9991858799604281,-33.7595430895784,-51.729957145895014,17.970414056316613,0.005,0.9831321673181371,-33.65008402163809,-61.04378295674106,27.393698935102975,120.18531976744185
1.0,0.05,0.9943318857874129,-5.94694240312211,-36.454842136530104,30.507899733407996,0.01,0.9998681303347601,-23.31005582080387,-24.966980989763247,1.6569251689593756,0.035,0.9999137106969554,-9.238848983567399,-17.111723991019062,7.872875007451663,0.0375,0.987996457209955,-7.962227419337918,-37.72841401055106,29.766186591213145,120.18531976744185
2.0,0.04,0.9964225246664825,-7.775622368424408,-34.80330144887112,27.02767908044671,0.01,0.9998909655035642,-20.714142986090273,-24.285809497194634,3.571666511104361,0.03,0.9997994143659493,-11.00280840312884,-36.0294646377192,25.026656234590362,0.0225,0.9807988020573933,-12.630445025016918,-38.422943029407364,25.792498004390445,120.18531976744185
3.0,0.0225,0.9973567016169957,-12.255000359176657,-22.811996441046016,10.55699608186936,0.01,0.9998938810735126,-20.804372797884877,-29.903956679790706,9.09958388190583,0.0225,0.9999835203806563,-12.860811381677642,-43.7177801600457,30.856968778368056,0.01,0.9587515155276118,-22.798269341922577,-50.270945515738596,27.47267617381602,120.18531976744185
4.0,0.02,0.9964117723074218,-14.266650302055904,-41.39106696013991,27.124416658084005,0.01,0.9999998584129584,-21.710977476794895,-43.18566904914756,21.47469157235267,0.015,0.9999993993970238,-18.439709769706198,-29.56080419193958,11.121094422233384,0.01,0.9615592337048748,-23.942935236475172,-45.21889293616965,21.27595769969448,120.18531976744185
5.0,0.01,0.9916501953330397,-20.28165392048762,-29.26780093157367,8.98614701108605,0.005,0.9999832047464017,-26.548078003789968,-34.52846011395275,7.980382110162779,0.0075,0.9999993002231857,-24.684276394803785,-52.02598083643071,27.341704441626927,0.005,0.9621288906343083,-27.351402681444572,-42.997868024544424,15.646465343099852,120.18531976744185
6.0,0.045,0.9939049945351577,-5.102838911027381,-11.923241674379932,6.8204027633525515,0.005,0.9994669701688444,-27.63974993175992,-38.25629497169872,10.616545039938803,0.0275,0.9999485131961457,-11.822664990682625,-11.822664990682625,0.0,0.035,0.9619234347696245,-5.088538608251778,-45.30882723443579,40.220288626184015,120.18531976744185
7.0,0.0425,0.9994907816530061,-7.763034012543714,-10.743948002772743,2.9809139902290296,0.04,0.9994694689441261,-8.467719372498602,-9.026004824789476,0.5582854522908747,0.03,0.9998162598873331,-11.251526690250273,-41.92549626846236,30.673969578212088,0.005,0.9532767836241512,-27.621555989403582,-57.23799854586495,29.616442556461365,120.18531976744185
8.0,0.045,0.9992914493765478,-6.951391677214337,-15.73017547055204,8.778783793337702,0.04,0.9995953407702605,-8.076375867749249,-13.4961221401656,5.419746272416351,0.01,0.9995019416100487,-23.346845247485582,-46.424526999655015,23.077681752169433,0.005,0.9736728385601758,-28.054252681512647,-52.75329091536616,24.69903823385351,120.18531976744185
9.0,0.0475,0.9931390341560583,-6.097302749695049,-23.64393212627629,17.54662937658124,0.025,0.9953108037635545,-12.998703953238564,-20.957430379219947,7.958726425981382,0.02,0.9994833975648415,-14.36656555528112,-28.155508230852565,13.788942675571445,0.03,0.9744696314919773,-11.617127144750466,-59.713635820790564,48.0965086760401,120.18531976744185
10.0,0.0375,0.9972316103563543,-9.024632744760563,-15.848418263021983,6.82378551826142,0.02,0.9976765193316336,-14.788599333276323,-31.706316509133345,16.91771717585702,0.02,0.9997524001913687,-15.001779828379531,-25.287043367044543,10.285263538665012,0.0175,0.9846239864995822,-14.490565708165942,-30.831935609876183,16.34136990171024,120.18531976744185
11.0,0.025,0.9971172631675235,-12.95221197483505,-29.429727903346055,16.477515928511004,0.0175,0.9961707139424376,-14.782898187592313,-27.995197660437935,13.212299472845622,0.015,0.999984015013285,-18.253651870663116,-42.500404079323914,24.246752208660798,0.0075,0.9758190260574046,-23.913124821035492,-65.49333238308441,41.58020756204891,120.18531976744185
12.0,0.05,0.9875388808273037,-5.949087434234954,-14.190528557695783,8.24144112346083,0.0125,0.9979280008718063,-18.352720968256097,-32.29369887449796,13.940977906241866,0.025,0.9998769689106929,-12.052898017471264,-22.700273995476834,10.64737597800557,0.0425,0.9772013668799807,-6.883551378867249,-22.851966711450572,15.968415332583323,120.18531976744185
13.0,0.0275,0.9975005458814667,-10.54111470343974,-26.735702957428153,16.194588253988414,0.01,0.9956474941650025,-21.9221165214808,-47.936986969221394,26.014870447740595,0.0225,0.9999959499683896,-13.93247488697108,-34.93952291587776,21.00704802890668,0.015,0.9905901375083573,-16.94229883504159,-43.04400205976993,26.10170322472834,120.18531976744185
14.0,0.015,0.9933006260283058,-17.226556901049282,-59.313074120400806,42.08651721935152,0.005,0.9956305895925115,-27.21507324330835,-58.1202724989667,30.90519925565835,0.0125,0.9999970853624781,-19.256637669035204,-45.69519947214963,26.43856180311443,0.01,0.9694701011904223,-23.541543678800963,-46.89610193729831,23.35455825849735,120.18531976744185
15.0,0.01,0.9867645593289665,-23.35183623518089,-58.508606127131095,35.156769891950205,0.005,0.9964500630362204,-29.98373387117535,-42.41315167480553,12.429417803630184,0.0075,0.9999926198318475,-25.896796049876233,-40.31195923327738,14.415163183401145,0.005,0.972086537436544,-27.65532104019561,-41.45807529523892,13.802754255043311,120.18531976744185
16.0,0.01,0.9797817652012291,-25.253171419806044,-41.37653180025272,16.123360380446677,0.005,0.9997610837651036,-36.97509712926955,-60.94341516697307,23.96831803770352,0.005,0.999998250846636,-28.90209446791338,-43.358260134826196,14.456165666912817,0.005,0.9695342945140676,-29.253891106780227,-42.77471197485131,13.52082086807108,120.18531976744185
