,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.04,0.673884020402266,-8.580378286066985,-38.48770655866437,29.907328272597386,0.005,0.7636333083601506,-39.44208876795492,-48.59562802304174,9.15353925508682,0.03,0.6372429151059571,-10.046068767551755,-23.87596170682816,13.829892939276405,0.03,0.7632122724463328,-11.144196001851494,-14.93366647524571,3.789470473394216,112.34714673913044
1.0,0.065,0.8681026801691947,-3.224908471788097,-7.5574860255535405,4.332577553765443,0.005,0.8821275187404825,-33.179872366038566,-42.00605797984658,8.826185613808015,0.05,0.8435167021306671,-6.149254175834301,-23.00061308843771,16.85135891260341,0.0425,0.9199740168818725,-7.48783705814816,-26.02218833816235,18.534351280014192,112.34714673913044
2.0,0.05,0.8897163001677806,-5.794028215557066,-27.232701412303776,21.43867319674671,0.005,0.39283506435983495,-39.98311330075688,-52.919968457373365,12.936855156616488,0.0425,0.8989452248855805,-7.397654698286362,-24.634899368546638,17.237244670260274,0.025,0.8479447058755493,-12.740810642997234,-53.322135057923376,40.581324414926144,112.34714673913044
3.0,0.035,0.6953346478517486,-9.661459274995636,-22.98801450318965,13.326555228194014,0.005,0.7901990551802001,-42.78196650701965,-52.29034887331041,9.508382366290753,0.03,0.726934570035284,-9.572317898004748,-31.460927316489773,21.888609418485025,0.015,0.5777121550626402,-16.94618954981016,-22.525303357689957,5.579113807879796,112.34714673913044
4.0,0.03,0.744875098683113,-10.97677896555567,-45.34953337195822,34.37275440640255,0.005,0.8938664462546613,-43.59445034774197,-72.7424712005447,29.14802085280273,0.0325,0.7420057572689672,-10.298106083349975,-16.591536017586186,6.293429934236212,0.0175,0.7394942280316732,-16.23751904038035,-32.2129388479458,15.975419807565451,112.34714673913044
5.0,0.025,0.8176584465456461,-12.898579698939072,-26.113338402224056,13.214758703284984,0.005,0.9892844721987767,-34.96375874732722,-48.95969888914021,13.995940141812994,0.0225,0.828874201115721,-13.840665713463027,-33.50531515356293,19.664649440099907,0.0125,0.7564620743207351,-18.692275698145338,-35.76181743092632,17.069541732780984,112.34714673913044
6.0,0.0975,0.9061077372179331,0.0,-19.800327630617957,19.800327630617957,0.025,0.9629199877274208,-13.158564234271523,-25.36642095798614,12.207856723714617,0.08,0.920691705294747,-0.009066482657830163,-19.969239275002167,19.960172792344338,0.05,0.9246383723885512,-4.596819450012603,-14.062223026830347,9.465403576817744,112.34714673913044
7.0,0.1,0.7733500305379202,-0.003181450363899509,-23.512023038441615,23.508841588077715,0.035,0.9053860702626803,-8.572912632236227,-26.000687359323734,17.42777472708751,0.0625,0.6844945278181837,-3.3401917648151396,-21.372348433038137,18.032156668223,0.045,0.8574482111748207,-6.816861835313437,-42.44986983589514,35.633008000581704,112.34714673913044
8.0,0.055,0.7091674223155179,-4.574481592117893,-10.26049340563633,5.686011813518437,0.0225,0.8450147996025805,-13.565956421390531,-21.031700278235892,7.465743856845361,0.0425,0.6624454659516414,-7.464195855155569,-30.035928380018785,22.571732524863215,0.03,0.5822057227347894,-10.998528844645465,-28.939853129099696,17.941324284454232,112.34714673913044
9.0,0.0575,0.7337678783826146,-5.028707099574793,-23.089561024675636,18.060853925100844,0.02,0.9255476020517761,-14.435103323212722,-18.073030165379834,3.6379268421671114,0.05,0.7573191302200935,-5.41901647783072,-20.67333937803292,15.254322900202201,0.025,0.49459970118135727,-12.157726149615222,-26.18861602072997,14.030889871114749,112.34714673913044
