,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.03,0.9949227889821345,-10.509329533166376,-27.741013324838228,17.231683791671852,0.005,0.8373277381665444,-36.41950726466294,-53.59882433475362,17.179317070090683,0.02,0.9989424677518103,-14.786744815734888,-40.3847924022277,25.598047586492815,0.025,0.997586886947431,-12.762629005330552,-34.872050075599354,22.1094210702688,120.18531976744185
1.0,0.01,0.8763098925052016,-22.607603172555663,-40.94205209095121,18.334448918395545,0.005,0.3054210804952535,-41.271736837081434,-44.918823297288725,3.6470864602072908,0.01,0.9416051606003261,-23.439789776397962,-49.55243409903532,26.112644322637355,0.005,0.7979116069060727,-28.17181421905472,-43.449596938211585,15.277782719156864,120.18531976744185
2.0,0.0925,0.9992849758152382,-0.6985119658057325,-63.46054508275023,62.762033116944494,0.0575,0.9993559002865289,-3.8344036931467422,-7.515881385015141,3.6814776918683987,0.075,0.9992196523303329,-2.2365788588074595,-18.2474658845701,16.010887025762642,0.0125,0.6835635437753584,-18.722236215041114,-52.90766534536692,34.18542913032581,120.18531976744185
3.0,0.065,0.999552580956198,-3.781462095718192,-13.460558632041362,9.67909653632317,0.0725,0.9996791079068296,-3.0109428130415914,-14.832066831058562,11.82112401801697,0.0175,0.9889011027035984,-16.12242141353074,-54.79855010014464,38.67612868661389,0.005,-0.03144364262386951,-39.549538586679446,-56.56825537133966,17.018716784660214,120.18531976744185
4.0,0.06,0.9993506208110787,-4.1779249324491365,-12.925538152760694,8.747613220311557,0.06,0.9994725162890705,-4.4639707320518625,-16.251702696813066,11.787731964761203,0.005,0.9682085224392801,-27.154179657666283,-50.475934975239596,23.321755317573313,0.005,-0.0926250177385042,-43.25684639144655,-55.321305249664015,12.064458858217463,120.18531976744185
5.0,0.0375,0.9997083840499018,-9.028828968559873,-13.190139774548037,4.161310805988164,0.0425,0.9997575746489492,-7.2605513343495955,-10.70068762234609,3.440136287996494,0.005,0.950576292216581,-32.54370301556327,-77.58000137150695,45.036298355943686,0.005,0.4913303017708015,-44.26389415765469,-53.393769728437206,9.129875570782517,120.18531976744185
6.0,0.025,0.9992146807368972,-12.372964745895922,-27.561916471779696,15.188951725883774,0.03,0.9995321525465147,-10.712170173388039,-22.0076334390189,11.295463265630861,0.005,0.93510018707898,-33.348295884193334,-52.88390982087324,19.53561393667991,0.005,0.5812866694165856,-48.86965566071666,-71.22236839404655,22.352712733329895,120.18531976744185
7.0,0.0175,0.996320905842772,-15.965578162548155,-21.801575370415534,5.835997207867379,0.02,0.9989628779506587,-15.846830775107714,-23.349252798061897,7.502422022954184,0.005,0.6394974921359485,-37.62103234187557,-65.01963392058636,27.39860157871079,0.005,-0.01801767458240795,-45.45570485448606,-65.241847616369,19.786142761882942,120.18531976744185
8.0,0.0325,0.40913878652302826,-9.93082981286781,-26.028025110955525,16.097195298087716,0.01,0.9954176804468636,-20.000346419598884,-24.34606167346646,4.345715253867574,0.02,0.013261939628314501,-14.599655615619563,-31.672340623193872,17.072685007574307,0.015,-0.013671303401782013,-17.18767929731497,-38.76178043943828,21.574101142123315,120.18531976744185
9.0,0.0225,0.31322451891074543,-12.696156171108658,-40.59457016956276,27.8984139984541,0.0075,0.9729127996226421,-24.080823834791012,-39.376671637917646,15.295847803126634,0.02,0.12192997550704229,-15.898138045871784,-39.98622468703685,24.08808664116507,0.005,0.43332885156554307,-36.212688440622955,-66.31340965524025,30.100721214617295,120.18531976744185
