,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.035,0.26169356392528115,-8.437763547888581,-31.31144461845686,22.87368107056828,0.01,0.7722603829177533,-22.33685482622186,-33.05584312726585,10.718988301043993,0.02,-0.015692662907380455,-13.90237718346195,-44.138756290159584,30.236379106697633,0.025,0.1617605995440198,-12.497533107826118,-37.27249090033747,24.774957792511355,126.04801829268293
1.0,0.0225,0.46153360506653623,-13.263059382655848,-23.87703008988748,10.613970707231632,0.01,0.5650250906158563,-20.246849322984353,-21.191334249273304,0.9444849262889505,0.01,0.1940661550078798,-22.587407186381316,-34.48075060800802,11.893343421626707,0.0175,0.3354430126680832,-15.683442648867027,-33.58575055004066,17.90230790117363,126.04801829268293
2.0,0.02,0.6409903338304999,-16.213980613380937,-51.32119856629609,35.10721795291515,0.01,0.7925929668665693,-20.843750613516583,-47.132365418359726,26.288614804843142,0.005,0.28972658650478994,-27.409149211315018,-68.11950253996315,40.71035332864813,0.01,0.26942585369577565,-20.82025020611625,-68.1876675117619,47.36741730564565,126.04801829268293
3.0,0.005,-0.9270851609746645,-32.56791113817521,-47.7669027318982,15.198991593722987,0.005,-0.7337191597736442,-32.232271656250234,-37.4121202217897,5.179848565539466,0.005,-0.5248972483242174,-47.44954988935045,-56.885575217164835,9.436025327814384,0.005,0.008368117434725493,-52.7291574106024,-106.9259491074652,54.1967916968628,126.04801829268293
4.0,0.04,0.24388128694417516,-6.378842860400442,-15.52229949527277,9.14345663487233,0.005,-0.6161404832197376,-31.28372646486199,-32.34318258645907,1.0594561215970835,0.0225,0.1815229878624149,-13.626540721059623,-15.609255795592311,1.9827150745326882,0.025,0.31625765339997636,-13.332236383824362,-29.890763551615205,16.558527167790842,126.04801829268293
5.0,0.0475,0.5700453605251907,-6.786015476663369,-16.574486277703514,9.788470801040145,0.025,0.8229604357201985,-13.055628786256753,-16.49387682781094,3.4382480415541874,0.025,0.1952036994135532,-13.108463940928578,-26.773305912035372,13.664841971106794,0.0225,0.3444434595581015,-13.743018230680589,-23.944028322316395,10.201010091635807,126.04801829268293
6.0,0.0325,0.7065578546299368,-9.523889823064632,-28.560469558468643,19.03657973540401,0.02,0.9278595827422151,-15.187427792266696,-20.338896859635902,5.151469067369206,0.01,0.06990940403579637,-20.79800569204255,-48.01444248566183,27.21643679361928,0.015,0.26738794958837625,-16.93456632025489,-20.23821193240625,3.30364561215136,126.04801829268293
7.0,0.0325,0.7089566461248632,-10.288177539472487,-34.731509259139564,24.44333171966708,0.0175,0.9421939356348384,-15.985631574613029,-35.6233673084114,19.637735733798372,0.01,0.17641335352412785,-20.18180289084286,-21.02196337279343,0.8401604819505692,0.025,0.3090915504427465,-12.68499075724021,-32.706322642647656,20.02133188540745,126.04801829268293
8.0,0.035,0.2768280704191351,-9.646959965917402,-30.326387873446933,20.67942790752953,0.01,0.8180737814414081,-21.81215594759108,-22.910390812632578,1.0982348650414977,0.0175,-0.03385642806210231,-14.63535860954364,-37.06577225424227,22.43041364469863,0.025,0.19112162108028194,-11.609978434310673,-20.9301251642487,9.320146729938028,126.04801829268293
9.0,0.0225,0.33664471981161803,-13.86302127394703,-49.64052358945536,35.77750231550833,0.01,0.49903559294133903,-21.449123524563305,-33.05892832667229,11.609804802108982,0.0075,0.1623631989593359,-24.718293050593406,-30.7186979841174,6.0004049335239955,0.015,0.22425948471519155,-17.200615638321647,-48.86407931499737,31.663463676675722,126.04801829268293
10.0,0.0275,0.500968925814574,-11.760564798185984,-39.88623702511363,28.125672226927648,0.01,0.8739164370844569,-20.370241452092287,-33.594382136829935,13.224140684737648,0.005,0.33686719062135784,-26.735589904320676,-65.44954793494229,38.71395803062161,0.015,0.16492691090601053,-17.92790422330134,-58.591177204818045,40.663272981516705,126.04801829268293
11.0,0.005,-0.5877312310975583,-28.232924280075217,-44.68833135423981,16.45540707416459,0.005,-0.013211253313246636,-27.658715128127092,-33.12449851346519,5.465783385338099,0.005,-0.5509393790488777,-48.28094939170129,-57.073021818826106,8.792072427124815,0.005,-0.14560508430057087,-51.749165056934324,-96.14382436830441,44.394659311370084,126.04801829268293
12.0,0.04,0.4798361731382142,-6.9408170288018365,-21.010270116759706,14.06945308795787,0.0225,0.731516564821018,-13.131224822373333,-13.131224822373333,0.0,0.025,0.11340223968860856,-13.063260384396893,-32.42596571614559,19.3627053317487,0.025,0.3705648727265679,-12.215007623036948,-30.304023469438903,18.089015846401956,126.04801829268293
13.0,0.0375,0.6629535596896455,-7.998785451494389,-16.991752695131254,8.992967243636866,0.0225,0.8992877931258844,-13.083614658203738,-27.2826560045836,14.199041346379863,0.0125,0.15936377919448622,-19.460858315603982,-35.313121336347,15.85226302074302,0.02,0.23429921027695558,-15.221147046814822,-31.9534087602783,16.73226171346348,126.04801829268293
14.0,0.0325,0.7533183916136319,-10.141254096911183,-24.477182186034334,14.33592808912315,0.0175,0.9158702543232538,-16.085690366545716,-23.628607182692633,7.542916816146917,0.0075,0.2373573012545136,-25.053627572383157,-29.540729289396896,4.48710171701374,0.015,0.320750529953043,-16.72786301838891,-26.39608785866399,9.66822484027508,126.04801829268293
15.0,0.035,0.44279652757980303,-10.288177539472487,-22.134026575509473,11.845849036036986,0.015,0.8434842197515505,-16.585491934891635,-40.137492260291,23.552000325399362,0.0175,0.04066869216095046,-14.407323138436446,-35.81640882445996,21.409085686023516,0.0275,0.21557894412220116,-11.654408760063994,-67.87354647493106,56.21913771486707,126.04801829268293
16.0,0.025,0.26734965658414367,-13.42069788971787,-20.225020328405456,6.804322438687587,0.01,0.6727645775909665,-21.399720126284535,-39.73824620828425,18.338526081999717,0.01,-0.04355581507001261,-22.807480768480247,-31.63290498442293,8.825424215942682,0.0175,0.22572998659425553,-15.48384912677248,-30.990786242762294,15.506937115989814,126.04801829268293
17.0,0.0175,0.528921875532724,-14.705533826342474,-37.38092417473297,22.675390348390494,0.01,0.5991138789932368,-21.74732813782502,-38.627643079090035,16.880314941265016,0.005,0.24951568787818457,-27.669482914102726,-74.67465319756381,47.005170283461084,0.01,0.1801803569138765,-20.101951762119448,-66.00819853673771,45.90624677461826,126.04801829268293
