,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.05,0.9999151221947025,-6.238006764179534,-8.889780383175681,2.651773618996147,0.05,0.9999178165938212,-6.094491869786761,-13.34547735466316,7.250985484876399,0.025,0.9998604296129763,-11.302323202543821,-48.66780457557043,37.36548137302661,0.02,0.9951012447636912,-13.355343688972209,-63.94627142548161,50.5909277365094,161.4990234375
1.0,0.0425,0.9999263712711738,-7.2773119119964225,-11.745179738419218,4.467867826422795,0.0475,0.9999401599704554,-6.546792433056684,-11.99001707761332,5.443224644556636,0.005,0.9980751077753391,-31.268137524600313,-45.870913332344536,14.602775807744223,0.005,0.4410076792031245,-52.02274553038993,-60.99681557220117,8.974070041811238,161.4990234375
2.0,0.0375,0.9999127802552814,-8.769639655235986,-13.842122882781387,5.072483227545401,0.0375,0.9999178934892857,-8.217022663662014,-14.020379131482104,5.803356467820089,0.005,0.997469748715621,-33.27471650704077,-52.27071691755144,18.996000410510668,0.005,0.3105261485662889,-52.0073945247531,-59.92266581209438,7.915271287341277,161.4990234375
3.0,0.035,0.9999278073164695,-10.032880152382509,-11.86591219457318,1.8330320421906716,0.035,0.9999451231647698,-9.504128835815647,-10.766106142586105,1.2619773067704578,0.005,0.9944859258327465,-36.55459473705034,-43.52536860892214,6.970773871871806,0.005,0.13953877872148784,-55.81561169573463,-80.63742147789424,24.821809782159605,161.4990234375
4.0,0.03,0.9998989274529116,-11.844118326588827,-19.51994886820514,7.675830541616314,0.03,0.9999223781314434,-10.77174218240674,-19.796248892597898,9.024506710191158,0.005,0.9880630622173716,-38.94350517659879,-50.57019527999007,11.626690103391276,0.005,-0.01608898919262781,-57.109458276736774,-89.77684766870954,32.66738939197276,161.4990234375
5.0,0.025,0.9998921751640869,-13.000996335608326,-28.63894630258901,15.637949966980683,0.025,0.9999097193977506,-12.700671688973772,-29.849687038356052,17.14901534938228,0.005,0.9871626397208815,-41.645141302329726,-67.6171663608303,25.97202505850057,0.005,0.28972417425614955,-54.29064228900323,-85.33147173737083,31.040829448367603,161.4990234375
6.0,0.02,0.9998537691266461,-14.97033682244868,-21.316345689792865,6.346008867344185,0.02,0.999894865139683,-14.753330957487094,-21.431342501570363,6.678011544083269,0.005,0.8791788345467964,-48.65164084384091,-61.397666399821,12.74602555598009,0.005,0.17535733093544145,-55.47841971792166,-74.00900874330969,18.530589025388032,161.4990234375
7.0,0.0175,0.9999098334617746,-16.43270162140602,-20.798480398408742,4.3657787770027205,0.0175,0.9999383484038239,-16.24067823855713,-20.375202295825204,4.134524057268074,0.005,0.8210897363505277,-54.7608554807241,-56.62061392859289,1.859758447868785,0.005,0.3597755525737854,-57.071854282849124,-67.34210077156087,10.270246488711742,161.4990234375
8.0,0.015,0.9999316260064391,-18.006838950330476,-21.27633975005454,3.2695007997240637,0.015,0.9999407673225641,-17.84527408896212,-20.750938324281222,2.905664235319101,0.005,0.6863660405663271,-53.7028177753103,-59.62049721543006,5.9176794401197625,0.005,0.38505951532211363,-58.73697540814844,-78.28914566495106,19.552170256802626,161.4990234375
9.0,0.0775,0.9986394001839717,-2.125558319366287,-4.5431197034700235,2.4175613841037364,0.065,0.9999918648831917,-3.617689818188574,-5.726548878685962,2.1088590604973882,0.0375,0.9997020500374755,-8.220202973204723,-25.289752971063685,17.069549997858964,0.01,0.7817074857913444,-23.22763647385929,-71.3573542699324,48.12971779607311,161.4990234375
10.0,0.06,0.9985759511648006,-4.447938230637722,-7.518973204476157,3.071034973838435,0.065,0.9999194498961371,-3.7075112598381654,-12.785000101825435,9.07748884198727,0.0075,0.9847579463186868,-24.098205760519424,-62.87230739747682,38.7741016369574,0.005,0.2733255030434531,-31.08838312911059,-67.27471141987877,36.18632829076818,161.4990234375
11.0,0.05,0.9990355614768505,-6.180577394434587,-14.735846060247253,8.555268665812665,0.0525,0.9999124217488662,-5.5186197309252,-13.573826196584298,8.055206465659097,0.005,0.9789338254490091,-29.422053033502653,-45.54917880520744,16.127125771704787,0.005,0.338341409723923,-36.20311945343151,-46.6700050465483,10.466885593116785,161.4990234375
12.0,0.0425,0.9987680787425306,-7.676625412211848,-10.441155950214307,2.764530538002459,0.0425,0.9999208913969868,-7.196823931852218,-10.134461503228561,2.937637571376343,0.005,0.975768279115791,-31.577831374606504,-56.44405249611836,24.866221121511856,0.005,0.5063896602667421,-39.71781037563605,-49.65703157541177,9.939221199775723,161.4990234375
13.0,0.0375,0.9990353258098782,-9.029578559899115,-15.471790817889087,6.442212257989972,0.0375,0.9999354256929048,-8.709537627736992,-12.318170927400082,3.60863329966309,0.005,0.9808925314780323,-33.98871530912054,-40.6167630135818,6.62804770446126,0.005,0.515325708628534,-40.69683559003755,-46.37941361889909,5.682578028861542,161.4990234375
14.0,0.03,0.998463657018637,-10.557460804654609,-16.513944776411225,5.956483971756617,0.035,0.9999145766443037,-10.245424888221347,-23.175224431716188,12.929799543494841,0.005,0.9722420896766818,-36.1561774512501,-43.13517234590877,6.978994894658669,0.005,0.6986859823793936,-28.442255732542563,-31.947559836143434,3.5053041036008707,161.4990234375
15.0,0.03,0.9962542102305513,-10.588800062129133,-14.269954002108722,3.6811539399795894,0.03,0.9999579433531726,-11.266341423899712,-13.830640974882833,2.5642995509831206,0.005,0.9064921446026816,-37.52353014013232,-66.04999577134343,28.52646563121111,0.005,0.635938043056171,-27.62511769566345,-63.5858888749448,35.96077117928135,161.4990234375
