,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.1,0.9294572395191187,0.0,-4.326264824314073,4.326264824314073,0.085,0.9717359331351819,-0.8122342933352639,-1.3936143701473092,0.5813800768120453,0.0625,0.9123186310264125,-3.596410780986451,-21.13498226038738,17.53857147940093,0.0825,0.6742679203414746,-0.21093084035811316,-27.672899817732812,27.4619689773747,123.046875
1.0,0.0975,0.9957299640511035,-0.4061633080819145,-3.343680476721112,2.9375171686391974,0.09,0.9991228135543943,-0.9563667685749161,-1.7350907662970765,0.7787239977221604,0.02,0.8616740844021353,-14.510721289649151,-26.736583256934008,12.225861967284857,0.01,0.3748948805684546,-20.49699438502468,-44.091346120633936,23.594351735609255,123.046875
2.0,0.0675,0.9905769082518853,-2.8994771083084774,-20.370405737730056,17.47092862942158,0.08,0.9959524746611642,-1.4994692346728322,-47.790953083128,46.29148384845517,0.015,0.9448364621595786,-18.6054473357059,-31.80978906908105,13.204341733375148,0.005,0.514941010499586,-29.882702950953405,-50.07106777298732,20.188364822033915,123.046875
3.0,0.05,0.9650391602065316,-6.563661935608471,-8.723926250592804,2.1602643149843326,0.04,0.9700134842863763,-8.422794494299456,-28.218783838703022,19.795989344403566,0.025,0.9507764942778866,-12.928432124312902,-23.142847853201197,10.214415728888294,0.005,0.5211918418660725,-33.19232066680391,-56.33468336634476,23.142362699540854,123.046875
4.0,0.045,0.9445425822502839,-7.290801225171922,-17.10497467158072,9.814173446408798,0.035,0.9629490119028674,-9.679191614366191,-27.701994654399,18.022803040032812,0.025,0.9476777534279305,-13.252775063454589,-23.041905311675883,9.789130248221294,0.005,0.4182906080865264,-42.635178867431264,-58.4472494543915,15.812070586960239,123.046875
5.0,0.0625,0.8362736423324963,-3.5866113030206237,-20.065987960753745,16.47937665773312,0.03,0.9188533268712971,-11.503835828210073,-15.14955621043522,3.6457203822251465,0.035,0.9086265884922134,-7.44393799171214,-19.389811899648393,11.945873907936253,0.035,0.33053906947198963,-9.167792603574371,-27.467307113883955,18.299514510309585,123.046875
6.0,0.0925,0.9333876500397448,-0.7480634440653506,-11.825481293155939,11.077417849090589,0.0575,0.9830684394694881,-4.819202944651779,-8.170173769787885,3.3509708251361063,0.04,0.8740243831428145,-8.293944502744656,-20.068708854835528,11.774764352090871,0.0325,0.6616890920394435,-9.097022416556896,-29.832012430902,20.734990014345104,123.046875
7.0,0.0575,0.9351524565478969,-4.998020716787858,-22.0195597066083,17.021538989820442,0.0425,0.9548097660039525,-7.381325891821868,-12.176463538926882,4.795137647105014,0.035,0.9143866565733825,-9.140343892940475,-22.778235977134837,13.637892084194362,0.01,0.3029529397506507,-20.6371044218435,-49.017359625697424,28.380255203853924,123.046875
8.0,0.08,0.8206323065533829,-1.4384194936931243,-14.115111524855878,12.676692031162755,0.0375,0.8965577062829485,-8.961653772236849,-31.453142520651475,22.491488748414625,0.0625,0.8418747510630805,-2.7415341715109114,-23.964835108315363,21.223300936804453,0.0425,0.7257412537168009,-7.250344151590231,-21.081082686180466,13.830738534590235,123.046875
9.0,0.0575,0.8734339935075874,-4.620384022303969,-27.355472214372384,22.735088192068414,0.025,0.8381128150092948,-12.494709876616108,-17.655336279146844,5.1606264025307365,0.045,0.9266539538544646,-7.279239892881721,-26.660794352047603,19.381554459165883,0.0275,0.6733904123953992,-10.816461695723351,-44.45493298739706,33.63847129167371,123.046875
10.0,0.0675,0.7520051104152273,-0.754421863543303,-1.22033413686259,0.465912273319287,0.0225,0.8440896361025452,-12.596614916943565,-19.007828196288308,6.411213279344743,0.0425,0.8706560073206394,-7.497396933757673,-12.929174717658263,5.43177778390059,0.04,0.03982386975069334,-5.401522942584144,-23.297397368035245,17.8958744254511,123.046875
11.0,0.09,0.9636259812511858,-1.0979572419631978,-9.170139785736811,8.072182543773614,0.08,0.9892880236713799,-1.9734247470517132,-5.581554629447498,3.608129882395785,0.06,0.9101877932248083,-2.544154223780219,-33.39907898523607,30.854924761455855,0.045,0.38916008753779996,-7.017244588989724,-26.840085331585016,19.82284074259529,123.046875
12.0,0.0925,0.9516878497464889,-0.8529923945686662,-17.031212726741128,16.17822033217246,0.0875,0.9963822884667041,-1.2754919015541701,-9.876167425518208,8.600675523964037,0.0125,0.8742099941692997,-18.946655577521867,-25.19665547702967,6.249999899507802,0.02,-0.28913301895316623,-15.908890548181065,-47.36238208653483,31.453491538353767,123.046875
13.0,0.0425,0.23598029880575042,-7.152613010848409,-15.001589093361387,7.848976082512978,0.0275,0.9181038456529955,-9.875705895462657,-25.387340256106008,15.51163436064335,0.01,0.7282536125953067,-22.332245379566118,-30.785412272953707,8.45316689338759,0.025,-0.10592160341124907,-13.049250331727876,-14.687538118064419,1.6382877863365426,123.046875
14.0,0.055,0.3552737805218854,-5.029653017314695,-17.881318129561294,12.851665112246598,0.0325,0.8897179265325891,-10.354336178240008,-26.322461139376045,15.968124961136038,0.01,0.6713708967748551,-22.593030039934554,-41.876300799938484,19.28327076000393,0.035,-0.012584712605697457,-9.372714903082652,-21.66118886253443,12.288473959451778,123.046875
15.0,0.0425,0.17430601238917398,-5.6328373847037225,-23.448708756179006,17.815871371475282,0.015,0.6891079543024675,-16.866657375789845,-30.253826046804896,13.38716867101505,0.01,0.7600340135640431,-20.250463882804624,-33.09346475371504,12.843000870910416,0.0325,0.08137792715972311,-10.004733570678972,-19.25695089379107,9.252217323112099,123.046875
16.0,0.095,0.7755342590428437,-0.0002650763603796191,-22.64706010021247,22.646795023852093,0.0275,0.8212551276731646,-11.292266375953526,-14.528912287109755,3.236645911156229,0.0725,0.8942398891098426,-2.330047544992271,-13.282163035739892,10.952115490747621,0.075,0.6848806400334505,-2.2000723172392975,-19.574583935768985,17.374511618529688,123.046875
17.0,0.0925,0.6702257771680493,0.0,-16.576273313948487,16.576273313948487,0.02,0.893818414467534,-14.188571618322019,-25.872052702164865,11.683481083842846,0.0625,0.8910630703804252,-4.2512275446741175,-16.709888385670965,12.458660840996847,0.06,0.4959312287306563,-4.800112742203468,-15.381554932965873,10.581442190762406,123.046875
18.0,0.08,0.46501247462188167,-1.798966407524982,-33.431890246731136,31.632923839206153,0.0125,0.7102836470704778,-19.390804501825684,-23.264922683910374,3.8741181820846897,0.045,0.8965786136063226,-6.147016427479869,-16.330484788159644,10.183468360679775,0.07,0.23158734150992072,-2.2497412531526257,-22.547670179276803,20.29792892612418,123.046875
19.0,0.095,0.3970100787258773,-0.2522659267742965,-28.52503136309138,28.272765436317083,0.025,0.751646313772344,-11.910075313234502,-25.249688900466815,13.339613587232312,0.04,0.8905503802792859,-8.176698725329043,-36.64127121108141,28.464572485752367,0.0675,0.2138921115263747,-3.61363059419923,-10.424761030622516,6.811130436423286,123.046875
20.0,0.0675,0.657255572948963,-3.4262640756767104,-17.96479680804568,14.538532732368969,0.015,0.7663721764206938,-17.38840404143303,-26.957625525016006,9.569221483582975,0.035,0.9592316463472996,-9.261121429467389,-13.617699529498555,4.356578100031166,0.0525,0.5777778944667635,-5.843870306222688,-23.967230948615548,18.12336064239286,123.046875
21.0,0.095,0.9167811473983066,-0.06198247779686854,-3.1092552103685263,3.0472727325716575,0.0875,0.9634961687340063,-0.7827734160213596,-3.618978133422162,2.8362047174008023,0.055,0.8716975077985181,-4.393311514676583,-33.34518528441971,28.95187376974313,0.0575,0.6256919492093148,-4.317350135068142,-34.5479127641033,30.23056262903516,123.046875
22.0,0.085,0.997129937334598,-1.4381066859272469,-3.866267417272298,2.4281607313450513,0.09,0.9979942344675194,-1.1428718239391713,-1.4975212073679272,0.35464938342875585,0.015,0.9465816784604643,-17.564617188717474,-31.186472825667035,13.621855636949562,0.0075,0.49292744297790564,-25.3968271327846,-49.82099575303111,24.424168620246512,123.046875
