,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0225,0.8583284462572174,-13.679217521892657,-31.787536424697173,18.108318902804516,0.005,0.9900283220476036,-34.114815721859124,-34.32259705601434,0.20778133415521438,0.01,0.9892608723905657,-23.558372222599356,-31.221012627705143,7.662640405105787,0.015,0.8347068388533705,-17.680201232055314,-35.33027987483329,17.650078642777974,147.65625
1.0,0.01,0.9082761485898275,-20.385789495179914,-37.515852827839666,17.130063332659752,0.005,0.9891702504036857,-34.341110947791584,-59.45830323652845,25.117192288736867,0.0075,0.9880122636329753,-25.6270739909623,-49.5776493454883,23.950575354525995,0.01,0.8211421166441636,-25.026381926600095,-43.27061387519229,18.244231948592194,147.65625
2.0,0.01,0.9512211416162354,-20.993245851066384,-42.10204559299711,21.108799741930724,0.005,0.9888221328313089,-36.10125313880272,-44.51297230269394,8.41171916389122,0.005,0.9582429942585907,-27.324194234632778,-40.371230570136106,13.047036335503329,0.01,0.9425858649714153,-23.01996318827657,-29.27698150343292,6.257018315156351,147.65625
3.0,0.01,0.9572234156590691,-22.209208343259217,-37.7472259060739,15.538017562814684,0.005,0.9621364698030797,-37.91386014910525,-48.96217137285334,11.048311223748094,0.005,0.9751679360312444,-28.569388143629947,-51.869455537811824,23.300067394181877,0.005,0.9355606927518746,-26.820652635174827,-49.43487897585613,22.614226340681302,147.65625
4.0,0.005,0.95088170841811,-31.456889432819075,-35.93649295479357,4.4796035219744965,0.005,0.9718227219639325,-39.800438599998664,-41.00609187602211,1.2056532760234475,0.005,0.9582817607654273,-34.15244714032083,-45.936618809688056,11.784171669367225,0.005,0.7532480486146667,-39.85257849200088,-65.3655135290915,25.51293503709062,147.65625
5.0,0.005,0.9697375694487682,-29.4781940376214,-61.385607849919275,31.907413812297875,0.005,0.9914013382099118,-39.278464727201666,-41.17970528985532,1.9012405626536548,0.005,0.9793092678659587,-32.67148530215053,-45.036343831002625,12.364858528852096,0.005,0.8240098134418066,-41.289378383990254,-48.045065768576805,6.755687384586551,147.65625
6.0,0.005,0.9533078471505049,-31.19599872684224,-49.16471594840132,17.968717221559082,0.005,0.9905113185912208,-38.46871059126968,-49.19245416919276,10.72374357792308,0.005,0.9557381804291987,-32.82929842909836,-49.03016181237621,16.20086338327785,0.005,0.7450096563499918,-41.37958443138902,-78.73900641398815,37.35942198259913,147.65625
7.0,0.005,0.8807004387321427,-38.53391581874989,-55.62010240538228,17.086186586632394,0.005,0.925985319628804,-48.08491750279092,-49.81353824094721,1.7286207381562875,0.005,0.9044263141073957,-40.90601463198973,-45.03760103215406,4.1315864001643305,0.005,0.7249476181226729,-43.15310113898626,-65.99507373429174,22.841972595305478,147.65625
8.0,0.005,0.9337313609217462,-36.81561159351681,-88.99789418540627,52.182282591889454,0.005,0.9697013369083387,-43.44050861459182,-51.221739512735724,7.781230898143903,0.005,0.9444106022299271,-41.08566909785906,-47.486562305049546,6.400893207190485,0.005,0.6660118523596021,-47.737384722745624,-58.414247612207,10.676862889461376,147.65625
9.0,0.02,0.8510077011890526,-14.085408536858193,-40.22183506373321,26.136426526875017,0.005,0.9974694250653404,-31.038937773131433,-46.13886438199626,15.099926608864823,0.01,0.9928705259552733,-20.897269006830342,-59.066216983303235,38.16894797647289,0.015,0.8306111541433354,-17.2126541215578,-36.791590432665366,19.578936311107565,147.65625
10.0,0.005,0.8357273564378848,-26.34268575921383,-36.40173350722327,10.05904774800944,0.005,0.9616579218116302,-40.925807699253546,-45.346025272854874,4.420217573601327,0.005,0.9621395433771364,-35.155298737853336,-43.66767525545335,8.51237651760001,0.005,0.7759054498400094,-28.604441782003228,-86.85593479837107,58.25149301636784,147.65625
11.0,0.02,0.9650247518524167,-15.598133300586277,-28.619806963061976,13.021673662475699,0.005,0.9855019187625135,-35.834689155319765,-58.374429403984294,22.53974024866453,0.01,0.9763165872833853,-25.624122326574017,-28.936628055096204,3.3125057285221864,0.015,0.962722057505562,-16.582554480423404,-34.91934248943679,18.336788009013382,147.65625
12.0,0.0125,0.9435613669731026,-18.361932788693196,-36.19418767938855,17.832254890695353,0.005,0.9872984155338378,-33.54278164869043,-66.32285143719757,32.78006978850714,0.005,0.9597723588415369,-26.905244981593665,-34.007125358519325,7.10188037692566,0.01,0.9338479592249803,-20.581634025740808,-37.083443885776404,16.501809860035596,147.65625
13.0,0.005,0.9549563789718392,-28.805605949414495,-45.06729844780188,16.261692498387387,0.005,0.9863493523971387,-34.17307606622144,-46.49339601992857,12.320319953707127,0.005,0.9686178904270732,-32.33867502724066,-79.72601703675005,47.38734200950939,0.005,0.765020371467658,-35.22703949850931,-57.755423945370055,22.52838444686074,147.65625
14.0,0.0125,0.9868287529520062,-19.305629399529792,-28.35570879368811,9.050079394158317,0.005,0.9601478283431847,-40.31790004695531,-52.09629205719263,11.778392010237319,0.01,0.9887929284592755,-23.367715593522448,-28.464097238230735,5.096381644708288,0.01,0.9878173538842436,-23.37665292194042,-35.84498301517018,12.46833009322976,147.65625
15.0,0.01,0.9127111112787551,-21.556253042376348,-55.863117393589505,34.30686435121316,0.005,0.9532916832602427,-49.547316032748334,-73.21833637847539,23.67102034572705,0.0075,0.9710841222038034,-23.636940591182842,-49.18544761422101,25.54850702303817,0.005,0.8097796729378461,-28.15073024393749,-59.307257340508784,31.156527096571295,147.65625
16.0,0.005,0.7801535375633198,-27.872085507969103,-45.953926866218914,18.08184135824981,0.005,0.7587336083406225,-50.71176000684696,-59.66925620379154,8.957496196944582,0.005,0.7582835092904961,-40.21440217442529,-49.40822480617115,9.19382263174586,0.005,0.8189162381762793,-30.449802825048327,-65.57757936056372,35.127776535515395,147.65625
17.0,0.005,0.7089044948706508,-34.5711172993587,-38.731020216244104,4.159902916885407,0.005,0.5960684633400501,-53.31415966692585,-73.88208051503965,20.567920848113793,0.005,0.7364418300604653,-43.82199500693236,-56.83120562145059,13.009210614518231,0.005,0.7190608925440405,-39.74432444915923,-40.34942535474205,0.6051009055828231,147.65625
18.0,0.01,0.9441762136765501,-24.98198547135914,-35.39658360558689,10.414598134227752,0.005,0.8870761389739507,-46.74946817357608,-64.41177158843996,17.662303414863878,0.005,0.9344502947603597,-33.16231495801865,-45.870281721532265,12.707966763513618,0.0075,0.9474109077221402,-25.541982732177047,-44.67029474032475,19.128312008147702,147.65625
19.0,0.005,0.9208281632624236,-27.720415771447353,-51.73874429957647,24.018328528129114,0.005,0.9620760700378536,-49.42481050097824,-54.73022441338786,5.30541391240962,0.005,0.9231059190300147,-37.226110722328244,-80.42298584141093,43.19687511908269,0.005,0.9185761974709752,-29.592774829207666,-54.28205594079583,24.689281111588162,147.65625
20.0,0.005,0.9081945722391026,-37.61806039422599,-49.22913097941472,11.611070585188727,0.005,0.9706955925284477,-51.49153368646207,-57.586097709444985,6.094564022982915,0.005,0.9250758120663642,-39.625667969871856,-47.58761287703264,7.961944907160785,0.005,0.852783835827238,-40.94612902012522,-54.57663477987607,13.630505759750854,147.65625
21.0,0.005,0.9807605406078148,-27.436732728293375,-32.86351815584575,5.426785427552378,0.005,0.9925094798758113,-48.19901485435216,-66.54972392065342,18.350709066301263,0.005,0.9825668780693344,-30.364862971155013,-67.74786968837952,37.38300671722451,0.005,0.9786755657398665,-31.96543218349351,-42.14388520888796,10.17845302539445,147.65625
22.0,0.02,0.9919821473026761,-15.572984646979315,-23.799030183107917,8.226045536128602,0.005,0.9984118023700903,-28.900815405755512,-43.41709443276105,14.516279027005535,0.02,0.99371649817631,-12.957330882574446,-29.77829470058581,16.820963818011364,0.005,0.942904064711996,-27.828118147242623,-39.00473381989107,11.176615672648449,147.65625
23.0,0.015,0.9792312663951295,-18.532350523799536,-49.5327685184879,31.000417994688362,0.005,0.9819477405070659,-37.84616338839492,-45.90496463958738,8.058801251192456,0.01,0.9828923183277476,-20.37959782462793,-37.3737629261462,16.99416510151827,0.005,0.8627791972618212,-34.929621146602635,-37.64607967473519,2.7164585281325557,147.65625
24.0,0.0075,0.9596684508383438,-25.85373347852738,-36.57806846444289,10.724334985915512,0.005,0.982749279600096,-41.93508056742136,-55.821030754475416,13.885950187054057,0.0075,0.9636873948515988,-25.97025442797776,-35.01543088636743,9.045176458389673,0.005,0.9306550591682416,-35.38643959266714,-44.97052502891253,9.584085436245395,147.65625
25.0,0.005,0.9286391453501661,-27.255291486058226,-65.77945679403999,38.52416530798176,0.005,0.9783700194405005,-42.782097696587485,-45.24626511997936,2.4641674233918778,0.005,0.9298738537838346,-29.096036312678976,-41.86001659524388,12.763980282564901,0.005,0.9261598829719829,-31.65885925071016,-70.7215277936323,39.06266854292214,147.65625
26.0,0.005,0.8888358182983239,-27.879901009057523,-34.277858073933714,6.397957064876191,0.005,0.9610808536325706,-45.28553417387758,-52.15405917098151,6.868524997103933,0.005,0.8814394165733515,-30.49983361946667,-42.07969763630434,11.579864016837668,0.005,0.8939624019358521,-31.524694736345303,-41.426401114028636,9.901706377683333,147.65625
27.0,0.0075,0.9496508647464765,-24.318438301887426,-72.78220401363407,48.463765711746646,0.005,0.9908069393267389,-41.99095413958421,-60.791020993984745,18.800066854400534,0.005,0.9544834621985725,-27.22432101893572,-36.867220087671896,9.642899068736178,0.005,0.9332106681694495,-30.059333974062163,-51.33531713995616,21.275983165893997,147.65625
28.0,0.01,0.9390378163553174,-23.330801651787823,-29.141540417915955,5.810738766128132,0.005,0.9927009925169206,-41.001111012636606,-53.34135325922067,12.340242246584062,0.005,0.9480386814290628,-27.18898848804317,-33.839995767543336,6.651007279500167,0.005,0.9198507002116602,-27.54169308259979,-29.19965303614594,1.6579599535461504,147.65625
