,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0975,0.9642004109891233,-0.31470732437186844,-5.306456283656418,4.99174895928455,0.0625,0.9826077397356521,-3.1233725195155855,-15.867268621846613,12.743896102331027,0.0625,0.9893024898415884,-4.042693710371077,-30.522495646243122,26.479801935872047,0.05,0.684767925072193,-6.481328368130125,-49.48913221319951,43.00780384506939,123.046875
1.0,0.06,0.990802464723728,-4.4046962218683925,-41.84408122045819,37.4393849985898,0.0575,0.9948889652767502,-5.176349761220353,-32.997160749900324,27.820810988679973,0.0125,0.9779455824786791,-19.45264386591225,-26.44441435339384,6.991770487481588,0.01,0.8939897230882844,-23.701887251487864,-50.60675116970284,26.904863918214975,123.046875
2.0,0.06,0.9746963404018,-4.945867164386479,-11.288079736477961,6.342212572091482,0.0425,0.9797473374589328,-6.562761782768324,-17.78301148204919,11.220249699280867,0.0125,0.9269281174225311,-17.38361315896412,-33.924450070074265,16.540836911110144,0.0375,0.9657449872334433,-8.761836848079104,-9.064379605494054,0.3025427574149493,123.046875
3.0,0.06,0.9486538121972473,-1.8825151499171229,-20.81302232318173,18.93050717326461,0.03,0.954898478562709,-11.615786743796024,-24.685228411893256,13.069441668097232,0.0075,0.8894657321286988,-20.205195994005585,-54.9942700644813,34.78907407047571,0.0425,0.9891069543574017,-6.86352225727833,-43.24139054676529,36.377868289486955,123.046875
4.0,0.015,0.4424438301744812,-16.839364757727413,-25.393811579848816,8.554446822121403,0.01,0.4420634016027436,-20.924730975278656,-37.52728988201065,16.602558906731993,0.005,0.9677980611483858,-28.423172877532178,-41.465233120953926,13.042060243421748,0.005,0.9051039157281997,-28.020883710628354,-37.396447712013874,9.37556400138552,123.046875
5.0,0.0925,0.8897402086212394,-0.36598093394712206,-26.40761876982255,26.04163783587543,0.015,0.5113177531363019,-19.14494956769687,-25.106800358426582,5.961850790729713,0.04,0.870898189743194,-8.16727898914803,-23.856547893775357,15.689268904627326,0.0875,0.9372729010693045,-0.3500652727242748,-22.52434333039606,22.174278057671785,123.046875
6.0,0.05,0.9241626355718828,-5.515002765461151,-21.756031275455705,16.241028509994553,0.01,0.6425614327325089,-24.74561643288595,-43.88363454854514,19.13801811565919,0.025,0.9828814868704839,-13.100421104580583,-39.313508321159084,26.2130872165785,0.0375,0.9972513410887085,-8.526054416680443,-27.193765830498435,18.66771141381799,123.046875
7.0,0.0275,0.8886024630466691,-11.676790571935118,-28.356912121706138,16.68012154977102,0.0075,-0.16135936705243195,-23.50324721903492,-30.530134304465598,7.026887085430676,0.01,0.9835934744527655,-20.540543365166812,-42.10204379258318,21.56150042741637,0.0225,0.9988633029224017,-13.763626862706271,-30.085407479180443,16.32178061647417,123.046875
8.0,0.0825,0.8940099565010636,-0.9146196827603448,-20.173487967061487,19.25886828430114,0.0125,-0.46411780724520496,-19.07476704563974,-29.03172276180864,9.956955716168903,0.0425,0.9599678602857504,-7.83864809592909,-44.25558721557452,36.416939119645434,0.075,0.951882343329342,-1.0979148451645542,-20.178381838234113,19.08046699306956,123.046875
9.0,0.03,0.6401793782563691,-10.941207862252991,-30.213975587374332,19.27276772512134,0.01,-0.336308170620262,-22.591592669114547,-31.718915848177105,9.127323179062557,0.015,0.9893077341461721,-17.761094830023254,-38.81738881646072,21.056293986437467,0.02,0.9910190011482768,-15.302319090760045,-33.474437379971924,18.17211828921188,123.046875
10.0,0.0925,0.8677480396563948,-0.2217565922806132,-9.843126238462256,9.621369646181643,0.01,0.004552634954453002,-20.14870727416261,-20.14870727416261,0.0,0.0725,0.9718394186266872,-2.6954143631270973,-5.24333742987194,2.547923066744843,0.07,0.721915090221272,-1.6132179817820798,-10.220968408620957,8.607750426838876,123.046875
11.0,0.1,0.8499409998915661,0.0,-28.75437510614651,28.75437510614651,0.0525,0.9759875882915982,-5.8782301033771525,-8.539881090700653,2.661650987323501,0.0775,0.8850165717118325,-2.407286373343129,-16.13932069673288,13.732034323389751,0.0875,0.7092433209668652,-0.21538289315933595,-14.04749154113237,13.832108647973033,123.046875
12.0,0.0875,0.9687673729444443,-1.241408619660207,-7.785071340783739,6.543662721123532,0.05,0.9905241622371764,-5.9404983507486815,-12.132649087619477,6.192150736870795,0.0275,0.9517073514893146,-10.510132499998452,-47.82690191164342,37.31676941164497,0.055,0.9342146329780884,-4.585203603842948,-22.678051730995186,18.092848127152237,123.046875
13.0,0.065,0.9700741073188285,-1.5555726037797868,-13.697225325491472,12.141652721711685,0.04,0.9833944999576917,-7.848284229867648,-13.265027145274546,5.416742915406898,0.015,0.9316572560305174,-18.16222787486631,-34.95613535308411,16.793907478217797,0.0475,0.9632151338733662,-6.605668775858893,-22.929185296467374,16.32351652060848,123.046875
