,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
0.0,0.0725,0.9814133930929102,-3.0758191732717837,-16.491846979750743,13.41602780647896,0.0525,0.99816633637807,-4.82504361143144,-14.481104039593735,9.656060428162295,0.035,0.9650894135566375,-9.220580573561081,-19.586039383890245,10.365458810329164,0.0325,0.8589415073347965,-9.861934461575741,-24.781532952738132,14.919598491162391,123.046875
1.0,0.0575,0.977234965575299,-4.812941937501529,-33.747546612341154,28.934604674839626,0.035,0.9920651976631646,-9.925931866796079,-20.0477967915024,10.12186492470632,0.0225,0.9600959640441763,-12.942010568391229,-27.401008293276796,14.458997724885567,0.02,0.965588512784888,-15.264630349974588,-20.456160329681296,5.191529979706708,123.046875
2.0,0.045,0.9205685429553615,-7.226855047949955,-35.775999336353806,28.549144288403852,0.01,0.9738028642635467,-20.10111196511869,-22.446614532000066,2.3455025668813754,0.0225,0.9369719920224524,-13.203079849699932,-41.040644273072274,27.837564423372342,0.0375,0.8818438256077348,-7.110134077699129,-21.27422737570438,14.164093298005252,123.046875
3.0,0.0375,0.9587335387344219,-8.755153159268044,-14.583252398726508,5.828099239458464,0.0175,0.9867666970220239,-16.274675744396166,-26.10491601081028,9.830240266414112,0.025,0.96111498646935,-11.317768480910306,-65.57463479250096,54.256866311590656,0.025,0.9473197752645113,-12.47935716871525,-36.98093659462269,24.50157942590744,123.046875
4.0,0.0275,0.975211183203706,-11.579894173642796,-23.78112424198067,12.201230068337875,0.015,0.9853252704326334,-17.34597697035382,-25.89044943563217,8.54447246527835,0.015,0.9729429721063171,-17.611431987890803,-28.419533496477158,10.808101508586354,0.015,0.9766885999431605,-17.13296121139835,-44.042450697147714,26.909489485749365,123.046875
5.0,0.025,0.8847238268083882,-11.816266539652805,-31.748374203243102,19.932107663590298,0.01,0.9656331634710551,-21.038378923033434,-53.09270723323874,32.05432831020531,0.0125,0.9303871148308791,-17.482422104186952,-28.711056906429864,11.228634802242912,0.0225,0.87881969938386,-13.374951224382466,-44.96708607659195,31.592134852209483,123.046875
6.0,0.02,0.9516915312152275,-14.8027464651811,-32.54458518109324,17.741838715912138,0.005,0.6074791293597104,-29.437580752432545,-57.93403424792149,28.496453495488943,0.0175,0.9777776878393689,-16.330364226341693,-30.500082260997647,14.169718034655954,0.0125,0.9729379920133955,-19.764977251110643,-33.54440300785251,13.779425756741865,123.046875
7.0,0.015,0.9244411574067105,-16.954579196400438,-30.212430387310715,13.257851190910277,0.005,0.0641483734872245,-35.183855360627796,-56.65254293170196,21.468687571074163,0.0125,0.975887935201681,-19.443415287115517,-30.88870259754821,11.445287310432693,0.0125,0.9614080413078696,-19.732335178101916,-26.821183845732527,7.088848667630611,123.046875
8.0,0.0175,0.9199272518514711,-16.03519780051329,-27.793710824613495,11.758513024100203,0.005,0.08871619856208682,-40.41336604905135,-52.72129353423219,12.30792748518084,0.015,0.9764441209173915,-18.940925128284768,-34.135244532397756,15.194319404112989,0.015,0.9679514540043409,-19.26606604398662,-33.92803233662753,14.661966292640912,123.046875
9.0,0.015,0.8539314503624618,-18.314064600661098,-33.382868183482714,15.068803582821616,0.005,0.6870157135707252,-43.842958315679454,-50.00779117830734,6.16483286262789,0.015,0.9753415058314208,-18.475405603766045,-40.94106020770495,22.465654603938905,0.01,0.9791153730833094,-22.21757916862497,-53.06806272467505,30.850483556050083,123.046875
10.0,0.065,0.9696959701448225,-3.9983259973522856,-6.024426184320771,2.0261001869684856,0.0325,0.9985428673824424,-9.681119984529868,-13.363862494268409,3.6827425097385404,0.0425,0.9846309591802798,-7.9007973274176795,-19.964391715588455,12.063594388170776,0.0275,0.7814847156186405,-11.289400263808622,-50.43756068023848,39.14816041642985,123.046875
11.0,0.07,0.973183293900083,-2.5860986471932934,-25.11583872105001,22.52974007385672,0.055,0.9980899158713085,-5.000753296920239,-19.14423953131101,14.14348623439077,0.02,0.976037618779374,-14.90863339092317,-43.461817768266286,28.553184377343115,0.0275,0.938713906314019,-11.311323939471503,-28.350006015664807,17.038682076193304,123.046875
12.0,0.04,0.8091535108456794,-7.9179124726294505,-28.831853910196834,20.913941437567384,0.015,0.9626635892043416,-17.384654885639787,-20.217810845817034,2.8331559601772476,0.015,0.9626487833522105,-18.790360190611196,-52.192819090769255,33.40245890015806,0.025,0.9607903350427949,-13.398535248302522,-42.019707892655305,28.621172644352782,123.046875
13.0,0.0425,0.8934214470464781,-7.174897769194132,-27.95606820974043,20.781170440546298,0.0125,0.9189703635538528,-16.711426181618705,-33.664199479772286,16.95277329815358,0.0175,0.7739333535657703,-16.361941675126587,-34.493669992698884,18.131728317572296,0.035,0.9418332287316857,-9.529879532513476,-35.21451169918728,25.6846321666738,123.046875
14.0,0.025,0.9657984810772305,-12.490323726330129,-16.304153351745413,3.813829625415284,0.0225,0.9930983037951638,-13.870534255489337,-30.732116805297384,16.86158254980805,0.01,0.974782463964739,-20.40252580892682,-33.87759909264923,13.475073283722406,0.01,0.949224062359193,-23.471042633563258,-37.07125368138885,13.600211047825596,123.046875
15.0,0.04,0.8925049695234921,-5.777580532855011,-15.93366711883692,10.15608658598191,0.015,0.9901666482320016,-16.479526573111478,-22.577413658492414,6.097887085380936,0.0175,0.37434475510906423,-14.974653047228975,-65.67747016183957,50.70281711461059,0.0325,0.9186016894199442,-9.779891616682718,-43.134114988350454,33.354223371667736,123.046875
16.0,0.0375,0.956779859918186,-8.842434630222455,-18.177873671656755,9.3354390414343,0.02,0.994651824738933,-15.845675628462146,-20.259177555759976,4.41350192729783,0.0125,0.8740596667063569,-19.919325776884115,-55.353218412054275,35.43389263517016,0.0275,0.9294299594158291,-11.887622069155528,-50.688495715834534,38.80087364667901,123.046875
17.0,0.02,0.8082377160092544,-14.439464318712078,-42.29801389264239,27.85854957393031,0.015,0.9819992141361655,-16.585714453432573,-29.48027428396799,12.894559830535417,0.005,0.9657004916388324,-30.564537506361688,-45.87847385196825,15.313936345606564,0.005,0.44272044245632775,-38.16667162788904,-45.69580556159262,7.529133933703584,123.046875
18.0,0.05,0.7970055582510763,-5.957441570994031,-26.391812723961934,20.434371152967902,0.0125,0.7156913610130496,-19.05198126530094,-36.340091436254966,17.288110170954024,0.025,0.6822311758012234,-13.468842965915753,-39.09342302773927,25.624580061823515,0.0325,0.8700786956443014,-9.927512643522554,-28.59152200963823,18.664009366115675,123.046875
19.0,0.025,0.7126745347661005,-12.277727379876326,-29.257528149950552,16.979800770074228,0.02,0.9557981262337962,-14.358417134794204,-33.20641997909956,18.848002844305356,0.0075,0.9451648626768926,-21.786730579354185,-60.254921881589745,38.46819130223556,0.015,0.9435511079013537,-18.511031054751538,-42.9002972378628,24.389266183111264,123.046875
20.0,0.0675,0.8752106976380268,-2.234526288231754,-11.639168910377496,9.404642622145742,0.01,0.9146229893378973,-25.174302212211416,-32.85672151235106,7.682419300139642,0.035,0.961562511769218,-8.539936353295586,-13.080036250251428,4.540099896955843,0.02,0.8603423829511351,-14.638621961513218,-16.64090621886446,2.0022842573512403,123.046875
21.0,0.07,0.9508722955493455,-2.621866703051576,-12.354434238047617,9.73256753499604,0.045,0.9964746016110457,-6.818241104602794,-18.35823201644313,11.539990911840334,0.055,0.9488549098562389,-4.937599798629847,-17.41622477243337,12.478624973803523,0.035,0.8508110151520405,-9.629477673829562,-27.03583806068774,17.40636038685818,123.046875
22.0,0.05,0.951254800456266,-6.288066819737114,-22.59861873472334,16.310551914986224,0.03,0.996431328631818,-9.567814121902053,-34.34109199441177,24.773277872509716,0.0225,0.9670557657100942,-13.783187799192032,-57.315441896988986,43.53225409779695,0.015,0.9584360071680597,-17.42185999834743,-44.75469061471203,27.332830616364603,123.046875
23.0,0.0275,0.8928730501036309,-11.706209218584064,-24.65088295425315,12.944673735669085,0.0125,0.9851178070657709,-17.171517122052652,-30.748712758780805,13.577195636728153,0.015,0.9362824475075917,-17.027792727522527,-53.951569157189006,36.923776429666475,0.02,0.9156213573324011,-15.204088794309394,-28.42573728924672,13.221648494937325,123.046875
24.0,0.015,0.790935493002879,-16.83229484303681,-26.078167678080778,9.245872835043969,0.0075,0.9854535019100982,-21.66164383423407,-36.28761946199368,14.625975627759608,0.005,0.9672910591031009,-26.08247586561992,-37.90341737788718,11.820941512267261,0.01,0.9490623874082976,-21.994489035030828,-32.737347061173786,10.742858026142958,123.046875
25.0,0.02,0.9340100412136156,-15.015609470140268,-22.849100972821446,7.833491502681179,0.005,0.9277249099989533,-30.951088360212683,-44.586974214319184,13.635885854106501,0.005,0.9299044116756018,-32.50166812060439,-40.16396635450049,7.662298233896095,0.02,0.981026915425078,-15.99165196859017,-37.784096459465964,21.792444490875795,123.046875
26.0,0.03,0.92473746170578,-10.267499875745134,-33.52431476338009,23.256814887634956,0.005,0.8874951010282565,-35.87969740856697,-68.06868939677412,32.18899198820715,0.015,0.9675402636576008,-17.13188384709671,-31.83615852078143,14.704274673684722,0.0275,0.9242412722781868,-11.1557597724685,-26.34113136695841,15.185371594489911,123.046875
