Song,Nation,Year,BPM,PhSp,ChCo,Peak
100 Prozent - Eclypse,Germany,1994,151.99908088235293,0.035,0.6658660510172646,-9.094840531695358
100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,143.5546875,0.045,0.8924239798925251,-6.312250255031213
100 Prozent - Power Of The Light (Radio Edit),Germany,1994,135.99917763157896,0.0625,0.3715278142850464,-4.032125361251525
1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,128.0,0.025,0.9292923716291163,-11.90719235811322
16 Bit - Where are you,Germany,1986,114.84375,0.0525,1.0,-5.189760706216871
2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,120.18531976744184,0.025,0.8836249707737128,-12.603502694108997
2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,126.04801829268293,0.045,0.6305793137369502,-6.968036768810389
2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,123.046875,0.0375,0.6357658632291409,-8.208687354053177
2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,123.046875,0.025,0.956462851597718,-12.49790853744728
2 X-Treme - Der General (Bewegt Euch),Germany,1992,126.04801829268293,0.04,0.9319077997679328,-7.43247088240313
2Hard Out On Hi - One Good Nite On Hi,Germany,1988,100.0,0.0375,0.8730780002553514,-8.718138551136237
3 Minute Tantra - Skydiver,Germany,1994,143.5546875,0.0475,0.8525319092926429,-5.589326894705872
3 Of The Living - Rhythm Of Life (Chill-out),Germany,1993,119.0,0.0175,0.3625016349754236,-16.322565381208577
3 Of The Living - Rhythm Of Life (Extended Version),Germany,1993,135.99917763157896,0.035,0.6011587998670942,-8.738562898330304
3 Of The Living - Rhythm Of Life (Techno(per)version),Germany,1993,151.99908088235293,0.0325,0.8893694284333937,-9.606557160348304
3 Phase - Road 3,Germany,1994,143.5546875,0.0375,0.4473696382142274,-8.446026176040714
3 Phase - Road 4,Germany,1994,143.5546875,0.0325,0.4554949193017473,-9.744830325132316
3 Phase - Road 5,Germany,1994,143.5546875,0.04,0.3610153226164186,-7.6840060956558185
3 Phase - Rota,Germany,1993,135.99917763157896,0.035,0.8665749091097509,-8.453004260667875
3 Phase - The Sun,Germany,1992,139.6748310810811,0.085,0.9137570830536776,-0.7799023111164627
3 RD Electric - Hydro,Germany,1991,132.51201923076923,0.0225,0.7440862078341041,-13.239225547726992
3 RD Electric - Hydro - Electric,Germany,1991,129.19921875,0.025,0.7987402950388639,-12.58592035891694
3 RD Electric - Hydro - Galactica,Germany,1991,129.19921875,0.0325,0.8791106618080545,-9.922001164394281
3 Times 6 - You Can Run (Hypnotic Mix),Germany,1990,129.19921875,0.0475,0.9238214295221332,-6.508558485635562
3 Times 6 - You Can Run (Mellow Mix),Germany,1990,129.19921875,0.05,0.884995723111201,-5.674624462550285
3Phase - Der Klang Der Familie,Germany,1992,143.5546875,0.0375,0.8592823160383287,-8.472171509734402
4 Reeves - Jumpin',Germany,1992,110.0,0.0475,0.8646930012687164,-6.287067398405018
4Voice - Catching The Scent,Germany,1992,151.99908088235293,0.0475,0.8092519829666216,-6.243565125601796
4Voice - Catching The Scent Of Mystery,Germany,1992,150.0,0.07,0.6402237658303448,-2.579732844900787
4Voice - Eternal Spirit (Northern Mix),Germany,1993,143.5546875,0.05,0.9180455581942266,-5.431027477357562
4Voice - Eternal Spirit (Southern Mix),Germany,1993,143.5546875,0.0425,0.92550589587485,-7.508491065666924
4Voice - Fairlight 1,Germany,1993,139.6748310810811,0.04,0.864343925354542,-7.929671249537952
4Voice - Fairlight 2,Germany,1993,139.6748310810811,0.035,0.8933765654984321,-8.999666570626932
4Voice - Fairlight 3,Germany,1993,139.6748310810811,0.04,0.8903343642556735,-7.827786316504043
4Voice - Join Us On Our Way To The Final Frontier,Germany,1993,143.5546875,0.0625,0.8203283748338914,-3.8777294997183462
4Voice - Light,Germany,1993,161.4990234375,0.0425,0.9568044338146872,-7.391387007920428
4Voice - Move #2,Germany,1993,150.0,0.075,0.9427948965037622,-2.3302439203269456
4Voice - Move,Germany,1993,132.51201923076923,0.055,0.7938635882594587,-4.910140911887371
4Voice - Music Hypnotizes,Germany,1992,147.65625,0.0475,0.7749316993540486,-6.362846879034537
4Voice - Music Hypnotizes (Hypnotizing Mix),Germany,1992,150.0,0.0425,0.8161583238869963,-7.127284445781793
4Voice - The Final Frontier,Germany,1993,147.65625,0.03,0.26982136012593116,-10.830286133930272
5 Freunde - Blop,Germany,1994,166.70866935483872,0.0425,0.8819561394746538,-7.301546476330168
5 Freunde - Judgement Day,Germany,1994,172.265625,0.1,0.18434286426004196,0.0
5 Freunde - Wake Up,Germany,1994,172.265625,0.0675,0.3704143469460184,-3.509905626911606
6-Pack - Drunken Piece Of Shit (Mix 1),Germany,1994,169.44159836065575,0.0825,0.9515441353199028,-1.1671125602842516
6-Pack - Drunken Piece Of Shit (Mix 4),Germany,1994,191.40625,0.06,0.8955209993462964,-4.497792158900571
8 A.M. - The Fog Track,Germany,1994,151.99908088235293,0.0575,0.2144226896105494,-4.800467964361578
9 - 10 - Boy - Videobash,Germany,1992,135.99917763157896,0.0375,0.9845074490507354,-8.313743848878959
A-Head - Deep Down (Pressure Mix),Germany,1991,129.19921875,0.05,0.9673796856864856,-5.223839354717658
A.B. Free Feat. Linda Rocco - Go Deeper (Platin & Blond Mix),Germany,1993,139.6748310810811,0.04,0.870724844369211,-7.632024430710654
A.B. Free Feat. Linda Rocco - Go Deeper (Trance Mix),Germany,1993,139.6748310810811,0.025,0.8167839385796858,-11.931623831574669
Abfahrt - Alone (It's Me) (Alley Cat Edit),Germany,1989,125.0,0.0175,0.7510781294274897,-15.515458522269522
Abfahrt - Alone (It's Me) (Breathless),Germany,1989,125.0,0.025,0.8212539103817738,-11.752105652447211
Abfahrt - Come Into My Life (Breathless Version),Germany,1992,132.0,0.05,0.7623378664427485,-5.697024036794877
Abfahrt - Come Into My Life (S.M.I².L.E. Version),Germany,1992,129.19921875,0.0525,0.8556704298067328,-5.296058942902099
Ace The Space - 1 Gun - 2 Gun - 3 Gun - Roar!,Germany,1993,139.6748310810811,0.0425,0.9484478443441108,-7.450577548882062
