Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
100 Prozent - Eclypse,Germany,1994,0.03649925363851225,0.5964656193724349,-9.708473682848622,-23.74387307610659,14.035399393257967,0.01874828958825725,0.7653315534569477,-17.77315873396519,-28.882887333830183,11.109728599864997,0.02641248911556164,0.3919484311598691,-13.224707251532767,-28.296665289938453,15.071958038405686,0.010875730812290086,0.270328306338476,-23.658613771499198,-43.29374051453686,19.63512674303766,151.99908088235293
100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,0.04373821339950373,0.8311337847861325,-7.726938776912264,-24.524476837757824,16.797538060845557,0.02303796526054591,0.8902261057693786,-15.157577514044066,-28.95497497384923,13.797397459805163,0.022638213399503726,0.7196738740217966,-14.838498375058814,-31.22356489703683,16.38506652197802,0.020041439205955337,0.6796884274765583,-18.115581658310454,-39.30868318735633,21.193101529045876,143.5546875
100 Prozent - Power Of The Light (Radio Edit),Germany,1994,0.05813371740448758,0.3711179460546492,-4.958411539197139,-19.329412911409957,14.371001372212817,0.031528704265211246,0.49174601331900236,-13.29629944246412,-25.522073762197365,12.225774319733246,0.0384950475035375,0.22781481591046732,-9.036451763969623,-24.366100880770674,15.32964911680105,0.026089549221750555,0.21098468071877027,-12.561687189951323,-31.634843787811047,19.073156597859718,135.99917763157896
1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,0.02774184348619667,0.8675136140221861,-12.629132026485097,-27.884790636261126,15.25565860977603,0.016012434405658228,0.9867838639025328,-20.724269480798927,-31.829907837682978,11.105638356884056,0.01450205338809035,0.6831424926191559,-20.117664558360765,-37.01122785168579,16.893563293325023,0.011858886607346568,0.7898029090119394,-22.5961107049847,-43.29436096021304,20.698250255228327,128.0
16 Bit - Where are you,Germany,1986,0.04950455828087693,0.9999325474051002,-9.622533622177482,-24.711322528999972,15.088788906822492,0.020790102018667246,0.9999999977278174,-18.31288074328221,-29.664880349644054,11.351999606361836,0.039264705882352945,0.9999997194218313,-12.264990766663118,-26.67003814125702,14.405047374593902,0.01304590840026047,0.9987417790266465,-25.06916732423226,-43.95112718629334,18.88195986206109,114.84375
2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,0.027849977457168624,0.6839917910731815,-13.840540990822165,-28.820763600659635,14.98022260983747,0.019340340396753836,0.7544858349230527,-20.95532171299853,-33.154806065820345,12.199484352821818,0.011172790802524797,0.7851217030672126,-24.65823151372716,-41.966141828833734,17.307910315106582,0.012317403065825069,0.5077760469895577,-23.394956461030443,-47.00833736540424,23.613380904373795,120.18531976744183
2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,0.04448602571268866,0.5912970732363986,-7.491950974441444,-23.0329983451275,15.541047370686055,0.01826802683063164,0.5947319914082295,-17.709974307736946,-29.165426609783154,11.455452302046215,0.029406651760760204,0.5742593309190418,-12.125147124137081,-28.23411489151758,16.1089677673805,0.019512297372833987,0.6661333198873952,-16.883512654726033,-36.058720163866624,19.17520750914059,126.04801829268291
2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,0.03796547036432844,0.6248815464628417,-10.358000415218125,-26.005791189473058,15.647790774254934,0.015808319738988583,0.6460432592684687,-20.709128200116243,-32.555204507131236,11.846076307015,0.025084556824361066,0.5962796989634461,-14.663993882636111,-30.49443941854908,15.830445535912967,0.017346927678085922,0.5808104716995062,-19.24898284337554,-38.145436304311204,18.896453460935668,123.046875
2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,0.030983509234828503,0.892580135904573,-12.678879929028216,-29.490660052870098,16.81178012384189,0.018032981530343013,0.9107939839233107,-21.851046224986387,-33.79775537142487,11.946709146438481,0.015201187335092351,0.887568006526218,-20.51256568440047,-37.70664960631524,17.194083921914757,0.015477242744063325,0.8463491296044362,-20.092269556200744,-40.5356907164365,20.44342116023575,123.046875
2 X-Treme - Der General (Bewegt Euch),Germany,1992,0.039979440284767395,0.9004440035739519,-8.30693127665723,-24.590370151426484,16.28343887476926,0.020184116852829264,0.9627715301142298,-16.251831328825073,-28.239811806616526,11.98798047779145,0.023234626242788763,0.8422105291686117,-14.20312923208931,-31.827066932918804,17.62393770082949,0.017416533693384074,0.6647812283655199,-18.068917800774113,-39.51933253729207,21.450414736517956,126.0480182926829
