Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh,bpm
100 Prozent - Eclypse,Germany,1994,0.035,0.6658660510172646,-9.094840531695358,-21.880885906228325,11.672710637530914,0.015,0.9028660023687124,-16.570824106464734,-27.087668970985906,8.89814821863365,0.025,0.3972641670080399,-12.519215898062228,-26.649570973980147,12.99402631456309,0.01,0.2821960076363995,-21.66924522827544,-40.748069241978335,17.74447565107969,151.99908088235293
100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,0.045,0.8924239798925251,-6.312250255031213,-22.766517852265235,14.921322732372506,0.02,0.9794228563811604,-14.411563437470225,-26.93438543973071,11.513141087864486,0.02,0.7900350985910958,-14.871327480824252,-29.35833086177434,14.421760931576646,0.02,0.7372491542920675,-13.912271758613992,-36.82531071684684,19.48336089039028,143.5546875
100 Prozent - Power Of The Light (Radio Edit),Germany,1994,0.0625,0.3715278142850464,-4.032125361251525,-17.343556116633376,12.31305914058779,0.03,0.6242917753207762,-10.188073210699816,-22.923971751385157,9.81238620752778,0.0375,0.1930636732899163,-8.541827977279274,-22.444520495948485,13.105743027904216,0.025,0.1856034577372655,-12.055062463516483,-30.086660025155204,17.34636600857862,135.99917763157896
1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,0.025,0.9292923716291163,-11.90719235811322,-25.71582484357942,13.088016825907431,0.015,0.9988966480121655,-17.48057236639081,-28.338142852359606,8.979443661984918,0.0125,0.7626144424953718,-19.09230870953019,-35.43942989187249,15.085539240211501,0.01,0.8343377976991779,-21.73422426387335,-41.83497598975666,18.971677358713222,128.0
16 Bit - Where are you,Germany,1986,0.0525,1.0,-5.189760706216871,-20.034405659759894,13.129573322518365,0.0175,0.9999999999999998,-15.452120404908404,-25.31385707779449,9.488204785529428,0.04,1.0,-8.007810234864682,-21.73528895403985,12.483918656518393,0.01,1.0,-20.894186926361822,-39.5735881225844,16.79228819230385,114.84375
2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,0.025,0.8836249707737128,-12.603502694108997,-26.09714374282222,12.77530954940137,0.015,0.984617024294414,-16.71490438701559,-29.668261089351628,9.955463787694454,0.01,0.9261528283503395,-22.329425167379377,-39.02158410848683,15.53013502662159,0.01,0.5138913780930324,-20.417986028716715,-45.48083922560972,22.563141158610215,120.18531976744184
2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,0.045,0.6305793137369502,-6.968036768810389,-20.95847106791529,13.292204788692423,0.015,0.7338400436241199,-17.05094102596832,-27.55198214270872,9.14533809314934,0.0275,0.5972318522370014,-11.250077514039798,-26.280443920659128,14.142956232485457,0.015,0.6967449858236596,-16.485239237657698,-33.93073992615676,17.301361243220853,126.04801829268293
2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,0.0375,0.6357658632291409,-8.208687354053177,-22.87295601016407,13.668921188055425,0.0125,0.7390628183106537,-18.229211042303685,-28.872810992580344,9.715189407209431,0.025,0.6151504056414038,-12.649333522338187,-27.409755561178724,13.89799170330548,0.015,0.5753590200077223,-17.265579461032956,-35.16460106084956,16.990327485066594,123.046875
2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,0.025,0.956462851597718,-12.49790853744728,-28.002688488049863,14.756288387752939,0.01,0.9935922623803621,-21.269199482280328,-31.473933604924365,9.59714076139521,0.0125,0.9509926639735188,-19.14836600823329,-35.52147762022655,15.158074304763563,0.015,0.9046476755769182,-18.38410940365296,-38.31972311338268,18.498933770008485,123.046875
2 X-Treme - Der General (Bewegt Euch),Germany,1992,0.04,0.9319077997679328,-7.43247088240313,-22.80670500534985,14.415710784980098,0.0175,0.988729378397116,-14.78102390551896,-25.97368787223257,9.845848017004505,0.02,0.8704013258283533,-13.890618328271383,-30.32291155228561,15.776724235730915,0.0175,0.7311243336310174,-16.021885865210894,-37.44599119918856,19.7205057016886,126.04801829268293
2Hard Out On Hi - One Good Nite On Hi,Germany,1988,0.0375,0.8730780002553514,-8.718138551136237,-24.539542687198708,14.043796250127356,0.01,0.9100436005715824,-20.381427156183182,-33.487686051901704,10.947914988756104,0.0275,0.8564075763637333,-11.567457157266766,-27.72756107831766,13.98906680435844,0.01,0.7061321541063386,-20.097249179202656,-40.1454069510996,18.790130632414723,100.0
3 Minute Tantra - Skydiver,Germany,1994,0.0475,0.8525319092926429,-5.589326894705872,-20.513902404321414,13.45044804504554,0.025,0.9858807040235481,-11.014793027216607,-24.02911250492594,11.577871263858563,0.03,0.6576713844188061,-10.902187786062077,-24.98614011219709,13.74910825109215,0.0125,0.5655546595623595,-19.342873490021617,-35.48771710677275,15.365311434389001,143.5546875
3 Of The Living - Rhythm Of Life (Chill-out),Germany,1993,0.0175,0.3625016349754236,-16.322565381208577,-29.75219371065453,12.333209841315565,0.01,0.3821261379214268,-22.689692111004813,-36.338785688836914,9.211504011175196,0.0125,0.3723947152620306,-19.30598638597931,-32.54495442577539,12.15673606210208,0.005,0.2073886389720094,-30.88595062358804,-46.930236930275896,13.546185922543655,119.0
3 Of The Living - Rhythm Of Life (Extended Version),Germany,1993,0.035,0.6011587998670942,-8.738562898330304,-22.40402895065931,13.299677396659781,0.0175,0.8159386728771629,-16.17504473390288,-27.762816103789884,9.808201165628336,0.0225,0.4068628440699576,-12.768444319954085,-26.88964851992489,13.358312479915416,0.015,0.33068210195624037,-17.14931729247667,-35.148086946453496,15.751883413067766,135.99917763157896
3 Of The Living - Rhythm Of Life (Techno(per)version),Germany,1993,0.0325,0.8893694284333937,-9.606557160348304,-23.309941036801817,12.565743521481675,0.0175,0.9813628606152742,-15.807717490572703,-26.186637449268964,9.357328542745764,0.015,0.7567968045585587,-16.996449826272105,-30.91472875027385,13.714451789614678,0.01,0.5424832166827576,-21.132917856766632,-38.839061749258406,16.751512096730693,151.99908088235293
3 Phase - Road 3,Germany,1994,0.0375,0.4473696382142274,-8.446026176040714,-22.00893065812543,13.16679235587953,0.0175,0.70818094529213,-15.196878595720316,-26.54345245053676,11.203717589774122,0.025,0.3410616451018157,-12.55197314387227,-25.907514192291288,12.570916191012866,0.01,0.3390299897826028,-23.328267170990262,-41.224668684554345,17.278313340332247,143.5546875
3 Phase - Road 4,Germany,1994,0.0325,0.4554949193017473,-9.744830325132316,-23.576419830598454,13.464223609019198,0.0175,0.7350455703626056,-16.12906492582299,-27.154434811010425,10.888223809296864,0.02,0.2744246843506132,-15.074575852572668,-28.747234101466553,12.841325255213725,0.01,0.2591554836282679,-22.130836661498627,-40.425124145012234,17.198229283271026,143.5546875
