Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
100 Prozent - Eclypse,Germany,1994,0.014726920386350833,0.3092907209777134,4.520443949673638,10.885376973876705,9.511894848182664,0.01140630019978231,0.32525234649007806,7.618924066789067,12.299494430468513,9.193263047674911,0.013298804338235562,0.34214036975088863,5.337137466618581,11.375508597216195,10.108742507749064,0.003935753251325843,0.281469765013203,8.594556260050698,13.195679364150621,10.556352250936584
100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,0.017091551492018714,0.2108508971795935,4.651275718130735,11.571472112282438,10.605506614760579,0.01375318010868143,0.2567078688284852,6.6617189482271595,13.669073672749345,11.511830866830357,0.012911967660219945,0.25270006461650996,5.377303881047207,11.611620724369134,10.162984416773563,0.010844806690541001,0.2435588945904563,10.179294675669986,14.578089572142188,11.039202920588771
100 Prozent - Power Of The Light (Radio Edit),Germany,1994,0.014300659244224941,0.3431616074955408,2.7375773978809788,10.905153584607167,10.123616391079251,0.019629390332328515,0.45211764860183995,9.17589615754708,14.23815636173412,10.23796766485702,0.014982606364119652,0.3259572486600041,4.0367304906453,10.757148824963098,10.05156311651234,0.009248745335120389,0.18892154075043968,3.930953336955599,10.833651808687595,10.163771864405582
1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,0.012777606676519514,0.1639016585929382,5.154000324015261,11.736480742921227,9.882268877659195,0.009863310780905582,0.04943976235045606,9.88912412237071,14.49264540759508,9.200684524739692,0.007969576084045221,0.27111501786566256,7.264670244268125,12.58692412477238,10.78626105379362,0.0066021046509726344,0.18081585546642062,7.480010984424325,12.998431349377064,10.95006926651276
16 Bit - Where are you,Germany,1986,0.02009422228046919,0.001347885822283875,18.135538770663306,20.335358431922845,9.683686753188725,0.010867186889965776,2.9525773279377558e-08,17.015480607183576,19.603518856870704,9.032674268426245,0.0172169620513861,3.4388508687127603e-06,18.30213184056289,20.613594652982712,9.504512231350926,0.008745876025536147,0.010590601625788893,17.572291833083614,19.535051238916225,10.856655712706145
2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,0.017755020819126676,0.4296071208423414,10.612516390681801,14.780172746253983,10.110362199869328,0.017126394572964745,0.4705735831876402,13.760610600851315,17.256006933483135,9.953126301543149,0.006452436137195008,0.2900532533231794,11.934584624837463,16.137678600324804,10.734365170810886,0.006707545951672107,0.20384118893009578,11.760664052769963,16.07816127938696,11.257886710574903
2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,0.015838609648321875,0.3103825761401098,4.039892213736521,10.740630106837878,9.989232660426985,0.010726091771294006,0.41688887994130214,7.005843176880039,12.146143026033336,9.658016269082777,0.013715834338741774,0.28892638062001236,5.626226130869039,11.557022862943708,10.37098780816657,0.010590863278463937,0.17544856833176461,6.955949875284798,11.801094285174639,10.437488202242127
2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,0.014808463834429164,0.25088561455349206,11.77385502649875,15.170207829632067,9.619078209589867,0.009300273979815145,0.33489073461403435,14.162997700961103,17.471296470192062,9.610425976146633,0.011430137011149715,0.2569959637439391,11.710664827856775,15.32531108442045,10.133917052828453,0.009022114690097989,0.16053955582791102,12.43454831847849,15.322014261263439,10.24993978126215
2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,0.021634476934950197,0.18420419361770932,6.990862546706026,12.941665055297147,10.399343617724082,0.018446776960682244,0.27110275615221535,11.693711708234547,15.02989579618536,9.83328504075197,0.010109364950692581,0.16571411399938596,8.503241171808545,13.285082927080332,10.712822161686196,0.008863304345622079,0.15899564170929695,8.447078588607082,13.724582941487105,11.086546106302873
2 X-Treme - Der General (Bewegt Euch),Germany,1992,0.015154709191731256,0.10345545226066209,4.379466429511266,10.694880488814007,9.892854864447491,0.010653942216077822,0.1034413965554079,7.166565062057628,11.955613840773964,9.566765814772875,0.01140719425485934,0.13640194199442926,5.0495451515906495,11.855984093682178,10.751050646604444,0.008093436390608538,0.24624582181639576,7.737559137107313,12.721785382723787,11.135304361332924
