Song,Nation,Year,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
100 Prozent - Eclypse,Germany,1994,0.3024300000484962,-0.9068466865735856,-1.4716850725799013,-1.1862693831059972,1.4899358314171702,0.8531959466650161,-2.209221723479357,-0.9691974687795804,-0.9734220624858759,1.8110031300273584,0.8287897939711859,-0.228978119949468,-0.7987265309378943,-1.0580167515887344,1.387670337265798,0.14687839766410343,-0.027939884807964586,-2.254921705933821,-1.095878765910393,1.2363965527016278
100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,-0.1406888589833422,-3.1651922589245256,-1.2611256910665147,-1.155135096177628,1.4247385741748166,1.010325135615289,-3.71561264856791,-1.0621569984147607,-0.7980258798445184,1.150280355925999,1.352144839740352,-1.8444968418424723,-0.20094914717224713,-1.1246469158281598,1.4041028688347166,0.021380377755433645,-1.6745389423619483,-1.4464376938676045,-0.9548016171914292,1.1021764854280967
100 Prozent - Power Of The Light (Radio Edit),Germany,1994,-1.0789347433202938,-0.26880916906645036,-2.4986035580593744,-1.2443985982880053,1.393009900242774,0.22395399532415738,-0.8943356764437265,-1.0987665241247397,-0.9238062208975358,1.529026577941811,0.4986169076575206,0.2692399219359428,-0.8603636821878033,-1.203511027652264,1.3874045850328764,0.2733688540189499,0.827600162269177,-1.1164653864913872,-0.9974364814627648,1.209498607251638
1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,0.7259061431121692,-2.325047695854094,-1.0606896651130833,-1.2005259213832582,1.5229701618278741,0.6788613653443544,-9.96761950471088,-1.0860535907943039,-1.0878939838992085,1.8260397260630126,1.0800709508908928,-1.3758827282406323,-1.1295455443991678,-0.9071812835008124,1.235686434199001,1.0806126561300777,-1.4071098010941938,-0.8199053235621034,-0.8728825620615646,1.2408876306427916
16 Bit - Where are you,Germany,1986,-0.5162274768560444,-38.491427653197796,-5.255903385237611,-3.6923187315629913,1.4964682604265251,0.7075977958782858,0.0,-4.864366801477075,-3.5028829862630606,1.505605240334668,-0.1544223815707691,-14.80930886181345,-4.868996815993012,-3.477524460067814,1.4992930834317668,1.5811702124227536,-11.898994951641683,-3.7083460229805105,-2.4500016945893073,1.3919603885950558
2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,1.3338896189242637,-1.9354520266487445,-6.070342716428103,-2.5662004590058642,1.4178458931571083,1.6348109978678955,-2.11029012822337,-2.4763141547291365,-1.5949467864091238,1.420270999379949,1.180295728087122,-2.0464788544776913,-3.7123110042003167,-1.6997502397861253,1.2122263030586014,0.6941573372419212,-0.18531552652594374,-4.1783621260628845,-1.387921276558169,0.849250083220073
2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,0.4357478940307112,-0.9139776117013317,-1.759973781274994,-1.5187636454638287,1.7655825630479862,0.867574554819543,-1.1886527793111357,-0.9067078247893746,-1.0008021924724573,1.733824194336778,0.6337094235897588,-0.5121682299374318,-1.432223025839629,-1.0915713976278199,1.3550571505734548,0.8625834611445673,-1.3564531987122013,-1.476943469918272,-1.0990873099514593,1.1794303309052065
2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,-0.06458710804986426,-0.48395935699796616,-7.263042347100894,-3.571587509365755,1.4260958676988003,1.1161795098530318,-1.0892698319978575,-4.40064183477109,-2.711325108761545,1.595054772515002,0.3678016336753316,-0.4551464203712844,-6.5215473649456115,-3.0999419210516392,1.3758687599689035,0.6207790393184583,-0.5935333605657914,-5.097486926138802,-2.673274078577304,1.278793667670712
2 Megabite - Beat The Feet (Insert Disk Version),Germany,1990,1.2743946890848692,-4.958543263910081,-0.6208206111580185,-0.8436961330057531,1.4375575314420643,1.7195062711534421,-4.181489709415983,-0.5005985924841683,-0.6162732021919055,1.5122014990324888,1.4055607454115369,-3.3793302274964567,-0.9005998490715921,-0.9250083736319931,1.234890318884228,1.0376369565945296,-1.5800381186449375,-1.480440606730847,-0.9285323360816601,1.1965023353364894
2 X-Treme - Der General (Bewegt Euch),Germany,1992,0.15597075949845485,-2.8860905956472953,-1.403089159205577,-1.2253039607925862,1.4030664544555427,0.6024331551860334,-7.252496710380345,-1.357731583833243,-1.1075832968036865,1.548726478135283,1.1392279429878671,-1.7700835095954683,-0.6561836155405093,-0.906388848278479,1.1972073453005092,0.11581898133945132,-0.860714617044376,-1.592672077253815,-0.9535818193800294,1.1307643476481213
