Year,Version,Mean BPM,Standard Deviation BPM
1992,a,136.65472964424447,3.4988442345160022
1992,b,146.07918142992472,7.00026420732782
1993,a,156.0003669822138,10.003546497964503
1994,a,161.24448401290317,10.45870904609234
1994,b,158.2716157983754,16.911518195252818
1995,a,152.6505711917785,12.682756967504922
1995,b,143.07988617506442,12.414735855089884
1996,a,139.65137653164166,10.848905376797498
1996,b,140.13815793582768,7.172197412020081
1997,,141.65946482014496,15.45730944224487
1998,,134.3381291627844,10.360115920296396
1999,,132.36348014765647,6.17308299407445
2000,,133.8802045729986,3.6806956614028516
2001,,133.0363238917024,4.490361578689451
2002,,133.9015133522846,4.152946372369753
2003,,135.3847659493061,5.3106760806513345
2004,,132.97899824204475,4.935488749807388
2005,,130.02530056722256,5.0427415290367295
2006,,127.94765695752385,3.9591562733835093
2007,,128.37004812425275,3.472744076774621
2008,,130.5805063998517,6.004145442093752
2009,,127.89695237347667,3.2911177157047073
2010,,131.29873068414452,7.67670839034456
2011,,128.71939672796117,2.048445677525143
2012,,128.1919050969356,2.2463380550875724
2013,,127.79530095714122,2.1204683614008655
2014,,127.1019081466251,2.4472877335896777
2015,,127.6236185213415,1.5956723783485272
2016,,126.22436642530488,2.5754082592119576
2017,,129.80414727981773,8.083657873527553
2018,,128.51466586858993,7.288567356124501
2019,,138.28034111252552,17.166126054395324
2020,,127.18364902796357,5.410263461858369
