year,record_labels,number_of_labels
1992,"Bash Records, Chill Music, Direct Drive Records, ESP Records, GTO, Hardhouse Records, Low Spirit Recordings, MFS Records, Music Man, Overdrive Records, Plus 8 Records, R&S Records, Rabbit City Records, Rising High Records, Spacemate Recordings",15
1993,"Boscaland Recordings, Dataflow, Delirium Records, Direct Drive Records, Fire Recordings, Genlog, Industrial Strength Records, Jeff Mills of Axis Records, Little Idiot, Low Spirit Recordings, Lower East Side Records, Marco Zaffarano & Jürgen Kreschel, Mate Galic, N.R.G., Now ! Records, PCP, René Löwe & Peter Kuschnereit, Sonic Infusion Records, Target Records, USA Import Records, Vortex Records",21
1994,"Bonzai Records, Choci's Chewns, Clubscene Records, Combined Forces Records, DJ Hooligan, DJ Tom, Devision by Zero, Disko B, Djax Up Beats, Edge Records, Evolution Records, Fire Recordings, Gangsta, Ilsa Gold, Low Spirit Recordings, Out Soon Records, Overdrive, Pascal F.E.O.S., Pierre Morgan, Pyramide Records, R&S Records, RMB, Think Green Records, Thomas Wurm, Ultimate Music Management, lightning Records, Épitèth Records",27
1995,"430 West Records, André S., Black Acid, Bonzai Records, DJ Manu Le Malin, Disko, Disko B, Djax Up Beats, Edge Records, Essential platinum, Experience Grooves, Fire Recordings, Force Mass Motion, G104, Gary D., Harthouse, Hybrid Sound Architecture, Klark Teknik, Low Spirit Recordings, MMR Records, Mute Records, Opium Records, Peace Records, Pharma Berlin, Roland Casper, Smile Communications, Space Teddy Recordings, Suck Me Plasma, Syntox Records, Talla 2XLC, Tantra, Tom Wax",32
1996,"430 West Records, Axis Records, Beroshima Electric Music, Big Time International, Black Nation Records, Bonzai Records, Cajual Records, Clemek, Clockwork Recordings, DJ Dan, DJ Hooligan, Daz Saund, Direct Beat, Edge Records, Experience Grooves, Eye Q Music, Future Frontier, Future Funk, Junkfood Records, Kay Lippert, Kurbel Records, Low Spirit Recordings, M.Wells, Matrix, Mijk Van Dijk, Miss Yetti, Missile Records, Nigel Walker, Noiz, Overdive, Peacefrog Records, Petra, Plastic City, Pussyfoot Records, RMB, Rabbit City Records, React Music, Sonic Solution, Steve Bug, Synewave, Talla 2XLC, The Dentist, Urban Sound Of Amsterdam, Veto & Absence, Voyeur Records",45
1997,"Afrika Islam, Beats&Friends, Beroshima Electric Music, DJ Appollo, DJ Sebel, Direct Beat, Disko B, Djax UP Beat, Electrofunk, Furry Windmill Records, Jive, Low Spirit Recordings, Marshall Jefferson, News, Partysan Schweiz, Petra, Piet Blank, Pilot Music, Sony Music Entertainment, The Jeyenne, Ultrahigh, Under Cover Music Group",22
1998,"Beroshima Electric Music, Big Time International, Cajual Records, Christopher Just, DJ Appollo, Dave Angel, Djax Up Beats, Dr. Motte, Electrofunk, Furry Windmill Records, Kosmo Records, Low Spirit Recordings, Office 7, Piet Blank, Roberto Q. Ingram, Superfly, The Advent, Upright Songs",18
1999,"Alphabet City, BMG Entertainment International UK & Ireland, DNS Records, Duty Free Recordings, Intercord Tonträger, International Deejay Gigolo Records, Kanzleramt, Ladomat 2000, London Records, Low Spirit Recordings, MFS, Motor Music, Müller Records, Sony Music Entertainment, V2 Records, Virgin Records",16
2000,"B-Sides, Dave Diggler, Disco B, EMI Electrola, International Deejay Gigolo Records, Kontor Records, Kosmo Music, Kosmo Records, Low Spirit Recordings, Müller Records, Nathalie De Borah, Netrecord-Z, Old Mortales, Paul van Dyk, Sony Music Entertainment (Japan), Virgin Schallplatten, Zeitgeist",17
2001,"430 West Records, BPitch Control, Gang Go Music, International Deejay Gigolo Records, Kitty-Yo, Low Spirit Recordings, Media Records, Müller Records, Paul van Dyk, Punx Records, R&S Records, Sony Music Entertainment (Japan), Sony Music Entertainment（Germany）, Timo Maas, Tresor Records, Under Cover Music Group, Ural 13 Records, V2 Records, Virgin Schallplatten",19
