year,country,count
1992,Belgium,5
1992,Germany,18
1992,Netherlands,5
1992,UK,10
1992,USA,4
1993,Belgium,4
1993,Germany,20
1993,Italy,1
1993,Netherlands,1
1993,UK,6
1993,USA,7
1994,Austria,2
1994,Belgium,7
1994,France,1
1994,Germany,40
1994,Iran,2
1994,Netherlands,6
1994,Switzerland,1
1994,UK,8
1994,USA,1
1995,Belgium,5
1995,France,1
1995,Germany,39
1995,Netherlands,1
1995,Sweden,1
1995,Switzerland,1
1995,UK,13
1995,USA,8
1996,Australia,1
1996,Austria,3
1996,Belgium,8
1996,France,1
1996,Germany,39
1996,Iran,1
1996,Netherlands,1
1996,Slovenia,1
1996,UK,14
1996,USA,14
1997,Austria,2
1997,Belgium,2
1997,Germany,20
1997,Iran,1
1997,Japan,1
1997,Netherlands,1
1997,Switzerland,1
1997,UK,2
1997,USA,6
1998,Austria,1
1998,Belgium,3
1998,Germany,19
1998,Japan,3
1998,Netherlands,1
1998,UK,5
1998,USA,3
1999,France,2
1999,Germany,35
1999,UK,6
1999,USA,5
2000,Argentina,1
2000,France,1
2000,Germany,34
2000,Italy,1
2000,Japan,1
2000,Switzerland,1
2000,UK,4
2000,USA,2
2001,Finland,2
2001,France,2
2001,Germany,41
2001,Italy,1
2001,Japan,3
2001,Sweden,1
2001,USA,7
2002,Argentina,2
2002,Austria,2
2002,Canada,1
2002,Czech,1
2002,Finland,1
2002,France,5
2002,Germany,25
2002,Italy,1
2002,Japan,1
2002,Netherlands,1
2002,UK,3
2002,USA,7
2003,Argentina,1
2003,Austria,2
2003,Belgium,1
2003,Brazil,1
2003,Germany,30
2003,Italy,1
2003,Japan,1
2003,Netherlands,1
2003,Slovenia,1
2003,UK,1
2003,USA,3
2004,Austria,1
2004,Belgium,2
2004,France,2
2004,Germany,48
2004,Japan,1
2004,Slovenia,1
2004,Sweden,1
2004,Switzerland,1
2004,UK,1
2004,USA,4
2005,Argentina,1
2005,Austria,2
2005,Belgium,3
2005,Canada,1
2005,France,1
2005,Germany,44
2005,Italy,1
2005,Poland,1
2005,UK,3
2005,USA,1
2006,Argentina,1
2006,Belgium,2
2006,Germany,40
2006,Japan,1
2006,Russia,1
2006,Sweden,3
2006,Turkey,1
2006,UK,5
2006,USA,1
2007,Brazil,2
2007,France,2
2007,Germany,42
2007,Iceland,5
2007,Israel,1
2007,Netherlands,1
2007,Sweden,2
2007,UK,1
2008,Brazil,3
2008,Canada,3
2008,France,1
2008,Germany,35
2008,Greece,1
2008,Netherlands,1
2008,UK,1
2009,Finland,1
2009,France,1
2009,Germany,35
2009,Israel,1
2009,Italy,1
2009,Netherlands,4
2009,Sweden,1
2009,UK,7
2009,USA,1
2010,Belgium,1
2010,Croatia,1
2010,Finland,1
2010,Germany,33
2010,Italy,2
2010,Netherlands,9
2010,Portugal,1
2010,Sweden,3
2010,UK,6
2010,USA,4
2011,Asutralia,1
2011,Australia,3
2011,Belgium,1
2011,Canada,2
2011,Czech,8
2011,France,2
2011,Germany,35
2011,Greece,1
2011,Israel,2
2011,Italy,8
2011,Netherlands,6
2011,Slovakia,1
2011,Slovenia,2
2011,Spain,2
2011,Sweden,4
2011,Switzerland,2
2011,UK,7
2011,USA,3
2012,Australia,8
2012,Austria,5
2012,Belgium,3
2012,France,2
2012,Germany,38
2012,Hungary,1
2012,Italy,6
2012,Netherlands,7
2012,Poland,1
2012,Spain,3
2012,Sweden,5
2012,Switzerland,1
2012,UK,2
2012,USA,6
2012,Uk,1
2013,Australia,3
2013,Belgium,1
2013,Bulgaria,1
2013,Canada,2
2013,Denmark,1
2013,France,1
2013,Germany,37
2013,Hungary,1
2013,Italy,2
2013,Japan,1
2013,Netherlands,15
2013,Romania,1
2013,Slovenia,1
2013,Sweden,1
2013,Switzerland,1
2013,UK,6
2013,USA,5
2014,Australia,5
2014,Austria,3
2014,Belgium,5
2014,Brazil,1
2014,Canada,1
2014,Costa Rica,1
2014,France,7
2014,Germany,36
2014,Hungary,4
2014,Italy,8
2014,Netherlands,18
2014,Poland,1
2014,South Korea,1
2014,Spain,1
2014,Sweden,3
2014,Switzerland,3
2014,UK,5
2014,USA,10
2015,Australia,1
2015,Austria,4
2015,Belgium,5
2015,Canada,1
2015,Denmark,3
2015,France,3
2015,Germany,29
2015,Ireland,1
2015,Italy,3
2015,Japan,1
2015,Netherlands,22
2015,Poland,3
2015,South Africa,1
2015,Sweden,1
2015,Türkiye,1
2015,UK,12
2015,USA,8
2016,Austria,1
2016,Belgium,6
2016,Brazil,1
2016,Canada,1
2016,Denmark,1
2016,Estonia,1
2016,Finland,3
2016,France,2
2016,Germany,33
2016,Italy,3
2016,Latvia,1
2016,Netherlands,19
2016,Russia,1
2016,Spain,1
2016,Sweden,1
2016,Switzerland,2
2016,UK,8
2016,USA,2
2017,Belgium,5
2017,Bulgaria,2
2017,Colombia,1
2017,Denmark,1
2017,France,12
2017,Germany,18
2017,Ireland,1
2017,Israel,3
2017,Italy,9
2017,Moldova,1
2017,Netherlands,14
2017,Poland,2
2017,Romania,1
2017,Spain,2
2017,UK,7
2017,USA,7
2018, Israel,2
2018,Australia,1
2018,Belgium,2
2018,Brazil,1
2018,Denmark,4
2018,Egypt,2
2018,France,2
2018,Germany,24
2018,Greece,1
2018,Italy,1
2018,Netherlands,15
2018,Nigeria,1
2018,Portugal,2
2018,Russia,2
2018,Spain,1
2018,Sweden,1
2018,Switzerland,4
2018,UK,12
2018,USA,5
2019,Argentina,1
2019,Australia,3
2019,Belgium,6
2019,Canada,3
2019,Denmark,1
2019,Germany,29
2019,Italy,10
2019,Moldova,1
2019,Netherlands,18
2019,Poland,2
2019,Russia,1
2019,Sweden,3
2019,Switzerland,6
2019,UK,3
2019,USA,2
2019,Ukraine,2
2020,Australia,6
2020,Belgium,5
2020,Canada,2
2020,Colombia,1
2020,Finland,1
2020,France,1
2020,Germany,33
2020,Ireland,1
2020,Italy,3
2020,Moldova,1
2020,Netherlands,7
2020,Romania,1
2020,Spain,1
2020,Switzerland,2
2020,UK,13
2020,USA,5
2020,Ukraine,2
