Song,Nation,Year,BPM
100 Prozent - Eclypse ,Germany,1994,151.99908088235293
100 Prozent - Power Of The Light (100 Prozent-Mix),Germany,1994,143.5546875
100 Prozent - Power Of The Light (Radio Edit) ,Germany,1994,135.99917763157896
1000 Micro Dats - The Centre (Tuned Mix),Germany,1993,129.19921875
16 Bit - Where are you,Germany,1986,114.84375
2 German Latinos - Gigolo Gigolette (Delkom Dance Mix),Germany,1989,120.18531976744183
2 German Latinos - Viva La Droga Electronica (Subliminal Style),Germany,1991,126.04801829268291
2 German Latinos - Yo Soy Tu Droga (Dominant Style),Germany,1991,123.046875
2 Megabite - Beat The Feet (Insert Disk Version) ,Germany,1990,123.046875
2 X-Treme - Der General (Bewegt Euch),Germany,1992,126.0480182926829
2Hard Out On Hi - One Good Nite On Hi,Germany,1988,101.33272058823528
3 Minute Tantra - Skydiver ,Germany,1994,143.5546875
3 Of The Living - Rhythm Of Life (Chill-out),Germany,1993,105.46875
3 Of The Living - Rhythm Of Life (Extended Version),Germany,1993,135.99917763157896
3 Of The Living - Rhythm Of Life (Techno(per)version),Germany,1993,151.99908088235293
3 Phase - Road 3,Germany,1994,143.5546875
3 Phase - Road 4,Germany,1994,143.5546875
3 Phase - Road 5,Germany,1994,143.5546875
3 Phase - Rota,Germany,1993,135.99917763157896
3 Phase - The Sun,Germany,1992,139.67483108108104
3 RD Electric - Hydro,Germany,1991,132.51201923076925
3 RD Electric - Hydro - Electric,Germany,1991,129.19921875
3 RD Electric - Hydro - Galactica ,Germany,1991,129.19921875
3 Times 6 - You Can Run (Hypnotic Mix),Germany,1990,129.19921875
3 Times 6 - You Can Run (Mellow Mix),Germany,1990,129.19921875
3Phase - Der Klang Der Familie,Germany,1992,143.5546875
4 Reeves - Jumpin',Germany,1992,107.666015625
4Voice - Catching The Scent ,Germany,1992,151.99908088235293
4Voice - Catching The Scent Of Mystery,Germany,1992,198.76802884615384
4Voice - Eternal Spirit (Northern Mix) ,Germany,1993,143.5546875
4Voice - Eternal Spirit (Southern Mix),Germany,1993,143.5546875
4Voice - Fairlight 1 ,Germany,1993,139.67483108108104
4Voice - Fairlight 2 ,Germany,1993,139.67483108108104
4Voice - Fairlight 3 ,Germany,1993,139.67483108108107
4Voice - Join Us On Our Way To The Final Frontier ,Germany,1993,143.5546875
4Voice - Light,Germany,1993,161.4990234375
4Voice - Move #2,Germany,1993,198.76802884615384
4Voice - Move,Germany,1993,132.51201923076928
4Voice - Music Hypnotizes,Germany,1992,147.65625
4Voice - Music Hypnotizes (Hypnotizing Mix),Germany,1992,198.76802884615387
4Voice - The Final Frontier,Germany,1993,147.65625
5 Freunde - Blop,Germany,1994,166.70866935483872
5 Freunde - Judgement Day,Germany,1994,172.265625
5 Freunde - Wake Up,Germany,1994,172.265625
6-Pack - Drunken Piece Of Shit (Mix 1),Germany,1994,169.44159836065572
6-Pack - Drunken Piece Of Shit (Mix 4) ,Germany,1994,191.40625
8 A.M. - The Fog Track,Germany,1994,151.99908088235293
9 - 10 - Boy - Videobash,Germany,1992,135.99917763157896
A-Head - Deep Down (Pressure Mix),Germany,1991,129.19921875
A.B. Free Feat. Linda Rocco - Go Deeper (Platin & Blond Mix),Germany,1993,139.67483108108107
A.B. Free Feat. Linda Rocco - Go Deeper (Trance Mix),Germany,1993,139.67483108108104
Abfahrt - Alone (It's Me) (Alley Cat Edit),Germany,1989,198.76802884615387
Abfahrt - Alone (It's Me) (Breathless) ,Germany,1989,198.76802884615384
Abfahrt - Come Into My Life (Breathless Version) ,Germany,1992,105.46875
Abfahrt - Come Into My Life (S.M.I².L.E. Version) ,Germany,1992,129.19921875
Ace The Space - 1 Gun - 2 Gun - 3 Gun - Roar!,Germany,1993,139.67483108108104
Ace The Space - 9 Is A Classic,Germany,1992,135.99917763157893
Ace the Space - Ace goes crazy,Germany,1991,103.359375
Ace The Space - Ace In The Hole (Original Godfather Mix),Germany,1991,123.046875
